run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-013,visible,FN,,No matched finding for H21-013.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-036,visible,FN,,No matched finding for H21-036.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-039,visible,FN,,No matched finding for H21-039.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-047,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-060,visible,FN,,No matched finding for H21-060.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-073,visible,FN,,No matched finding for H21-073.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-074,visible,FN,,No matched finding for H21-074.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-075,visible,FN,,No matched finding for H21-075.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-079,visible,FN,,No matched finding for H21-079.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,hackatdac21,H21-080,visible,FN,,No matched finding for H21-080.,FN under current GT criteria.
