run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,F-001,h19_csr_privilege_scope,"umode_i input forces Machine-mode privilege, bypassing all privilege enforcement (privilege escalation backdoor).",src/csr_regfile.sv; src/ariane.sv,csr_regfile; ariane,priv_lvl_o; umode_i; assign priv_lvl_o; input logic umode_i,H19-009,TP,Sufficient,high,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,F-002,h19_csr_privilege_scope,"CSR_MEPC is explicitly excluded from privilege-level access checks, allowing unprivileged read access to a Machine-mode register.",src/csr_regfile.sv; include/riscv_pkg.sv,csr_regfile; riscv (package),csr_exception_o; privilege check logic; CSR_MEPC definition,H19-020,TP,Sufficient,medium,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_2,F001,h19_csr_privilege_scope,"Privilege escalation via `umode_i` input: when asserted, `priv_lvl_o` is unconditionally forced to Machine mode, bypassing all CSR access privilege checks.",src/csr_regfile.sv; include/riscv_pkg.sv; src/ariane.sv,csr_regfile; riscv_pkg; ariane,"priv_lvl_o, umode_i; priv_lvl_o (privilege check); assign priv_lvl_o; CSR privilege check logic; PRIV_LVL_M; umode_i input port",H19-009,TP,Sufficient,high,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_2,F002,h19_csr_privilege_scope,CSR_MEPC privilege check bypass: the CSR access control logic unconditionally allows read/write access to CSR_MEPC regardless of current privilege level.,src/csr_regfile.sv,csr_regfile,csr_addr (CSR_MEPC); privilege check expression; CSR read for MEPC; CSR write for MEPC,H19-020,TP,Sufficient,medium,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,H19-CSR-001,h19_csr_privilege_scope,Privilege check bypass for CSR_MEPC allows unauthorized access to Machine-mode exception program counter from lower privilege levels (User/Supervisor).,src/csr_regfile.sv; include/riscv_pkg.sv,csr_regfile; riscv,csr_exception_o / csr_addr.csr_decode.priv_lvl; Explicit bypass of CSR privilege check for CSR_MEPC; csr_addr_t struct definition; priv_lvl_t enum,H19-020,TP,Sufficient,high,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,H19-CSR-002,h19_csr_privilege_scope,"umode_i input can force privilege level output to Machine mode, creating a potential privilege escalation path.",src/csr_regfile.sv; src/ariane.sv,csr_regfile; ariane,priv_lvl_o; umode_i; privilege level output assignment; umode_i port,H19-009,TP,Sufficient,medium,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,H19-CSR-003,h19_csr_privilege_scope,"read_access_exception and update_access_exception signals are declared but never driven or used, potentially masking CSR read-access violations.",src/csr_regfile.sv,csr_regfile,"read_access_exception, update_access_exception; Signal declarations for read_access_exception and update_access_exception",,FP,Insufficient,low,yes,yes,no,no,yes,Undriven access exception signals are not a visible GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_1,CSR-PRIV-001,h19_csr_privilege_scope,"Machine CSR `mepc` is explicitly exempted from the normal CSR privilege check, allowing unauthorized read/write access paths.",src/csr_regfile.sv; include/riscv_pkg.sv,csr_regfile; riscv package,csr_addr; csr_t / csr_addr_t; CSR_MEPC; mepc_q / csr_rdata; mepc_d; csr_exception_o / priv_lvl_o / CSR_MEPC; csr_addr_t / csr_t; CSR_MEPC read case; CSR_MEPC write case; CSR privilege check,H19-020,TP,Sufficient,high,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_1,CSR-PRIV-002,h19_csr_privilege_scope,External/top-level `umode_i` can force `priv_lvl_o` to Machine mode in the CSR block.,src/ariane.sv; src/csr_regfile.sv,ariane; csr_regfile,umode_i; umode_i connection; priv_lvl_o; csr_regfile umode_i port connection,H19-009,TP,Sufficient,medium,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_2,CSR_PRIV_001,h19_csr_privilege_scope,"Machine-mode CSR_MEPC is explicitly exempted from the CSR privilege check, allowing unauthorized read/write access.",src/csr_regfile.sv; include/riscv_pkg.sv,csr_regfile; riscv package; riscv,CSR_MEPC / mepc_q / mepc_d / csr_exception_o; mepc_q; mepc_d; epc_o; CSR_MEPC; CSR privilege check; CSR_MEPC read case; CSR_MEPC write case; epc_o assignment,H19-020,TP,Sufficient,high,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_2,CSR_PRIV_002,h19_csr_privilege_scope,"Asserting umode_i forces priv_lvl_o to machine mode, influencing CSR access control and translation decisions.",src/ariane.sv; src/csr_regfile.sv,ariane; csr_regfile,umode_i; priv_lvl_o; priv_lvl_o / csr_exception_o; en_translation_o; csr_regfile umode_i port connection; priv_lvl_o assignment; CSR privilege check; en_translation_o assignment,H19-009,TP,Sufficient,medium,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_3,FINDING-001,h19_csr_privilege_scope,Machine-mode CSR MEPC is explicitly exempted from normal CSR privilege enforcement.,src/csr_regfile.sv; include/riscv_pkg.sv,csr_regfile; riscv package; riscv,csr_exception_o / priv_lvl_o / csr_addr; mepc_q / csr_rdata; mepc_d; CSR_MEPC; CSR_MEPC read case; CSR_MEPC write case; CSR privilege exception check,H19-020,TP,Sufficient,high,no,no,no,no,no,Correct CSR privilege finding matching GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_3,FINDING-002,h19_csr_privilege_scope,External umode_i input can force effective CSR privilege level to machine mode.,src/ariane.sv; src/csr_regfile.sv,ariane; csr_regfile,umode_i; umode_i connection to csr_regfile; priv_lvl_o; CSR privilege check; en_translation_o; umode_i port; csr_regfile_i.umode_i connection; priv_lvl_o assignment; en_translation_o assignment,H19-009,TP,Sufficient,medium,no,no,no,no,no,Correct CSR privilege finding matching GT case.
