run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-005,visible,FN,,No finding sufficiently matches H19-005 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-047,visible,FN,,No finding sufficiently matches H19-047 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-048,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-049,visible,FN,,No finding sufficiently matches H19-049 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-050,visible,FN,,No finding sufficiently matches H19-050 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-051,visible,TP,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-054,visible,TP,F-004,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-056,visible,FN,,No finding sufficiently matches H19-056 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-005,visible,FN,,No finding sufficiently matches H19-005 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-047,visible,Partial,F2,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-048,visible,Partial,F3,,Matched by finding-level score.
