case_id,benchmark_id,input_scope,official_description,case_description,gt_files,gt_modules,gt_signals_or_registers,gt_evidence_notes,case_doc_path
H18-001,hackatdac18,h18_gpio_apb_scope,Address range overlap between peripherals SPI Master and SoC,Address range overlap may create unintended access path to a protected SoC resource.,rtl/includes/periph_bus_defines.sv; ips/pulp_soc/rtl/pulp_soc/periph_bus_wrap.sv; ips/apb/apb_node/apb_node.sv; ips/pulp_soc/rtl/udma_subsystem/udma_subsystem.sv; ips/pulp_soc/rtl/pulp_soc/soc_peripherals.sv,periph_bus_wrap; apb_node; udma_subsystem; soc_peripherals,"UDMA_START_ADDR/UDMA_END_ADDR/SOC_CTRL_START_ADDR/SOC_CTRL_END_ADDR; s_start_addr[2:3], s_end_addr[2:3]; psel_o[i]; udma_spim_top u_spim0; s_udma_bus, s_soc_ctrl_bus","Agent should identify the UDMA/SPI master and SoC control APB address overlap and explain that APB psel generation can select overlapping targets.; Confirmed from RTL. H18-001 is scored specifically on SPI/UDMA versus SoC control overlap.; RTL confirmed in periph_bus_defines.sv, periph_bus_wrap.sv, apb_node.sv, soc_peripherals.sv, and udma_subsystem.sv. UDMA/SPI range overlaps SoC control range.",datasets/benchmarks/hackatdac18/cases/H18-001.md
H18-004,hackatdac18,h18_gpio_apb_scope,Register that controls GPIO lock can be written to with software,"GPIO lock control register may be writable by software, weakening protection of locked resources.",ips/apb/apb_gpio/apb_gpio.sv; ips/pulp_soc/rtl/pulp_soc/soc_peripherals.sv,apb_gpio; soc_peripherals,"REG_GPIOLOCK; r_gpio_lock; PSEL/PENABLE/PWRITE; r_gpio_lock[0], r_gpio_lock[2]; s_gpio_bus",Agent should identify that REG_GPIOLOCK/r_gpio_lock is software-writable through the APB path and lacks a guard protecting the lock register itself.; Confirmed from RTL. Intended security requirement comes from official Hack@DAC18 bug description.; RTL evidence confirmed in apb_gpio.sv: REG_GPIOLOCK directly writes r_gpio_lock from PWDATA under APB write condition; see cases/H18-004.md and evidence_gt.jsonl. legacy_include_in_task=yes; legacy_permission_related=yes; legacy_cross_module=borderline,datasets/benchmarks/hackatdac18/cases/H18-004.md
H18-005,hackatdac18,h18_gpio_apb_scope,Reset clears the GPIO lock control register,Reset clearing GPIO lock state may break expected persistence of protection state.,ips/apb/apb_gpio/apb_gpio.sv; ips/pulp_soc/rtl/pulp_soc/soc_peripherals.sv,apb_gpio; soc_peripherals,"REG_GPIOLOCK; r_gpio_lock; HRESETn; r_gpio_lock[0], r_gpio_lock[2]; rst_ni/HRESETn",Agent should identify that reset clears r_gpio_lock and explain why this breaks GPIO lock/protection state lifecycle.; Confirmed from RTL. Intended persistence/security requirement comes from official Hack@DAC18 bug description.; RTL evidence confirmed in apb_gpio.sv: reset branch clears r_gpio_lock; see cases/H18-005.md and evidence_gt.jsonl. legacy_include_in_task=yes; legacy_permission_related=yes; legacy_cross_module=borderline,datasets/benchmarks/hackatdac18/cases/H18-005.md
H18-006,hackatdac18,h18_gpio_apb_scope,Incorrect address range for APB allows memory aliasing,APB address range issue may create memory aliasing and unintended access paths.,ips/pulp_soc/rtl/pulp_soc/soc_interconnect.sv; ips/pulp_soc/rtl/pulp_soc/soc_interconnect_wrap.sv; ips/pulp_soc/rtl/pulp_soc/periph_bus_wrap.sv; ips/apb/apb_node/apb_node.sv; rtl/includes/periph_bus_defines.sv,soc_interconnect; soc_interconnect_wrap; periph_bus_wrap; apb_node,PER_START_ADDR/PER_END_ADDR; APB_PADDR_o/APB_PSEL_o; s_start_addr/s_end_addr; psel_o[i]; GPIO/UDMA/SOC_CTRL/EU ranges,"Agent should report an APB address aliasing/range decode problem, supported by SoC/APB range definitions and independent APB select generation.; Confirmed from RTL. This is scored as the broader APB aliasing case.; RTL confirmed in soc_interconnect.sv, soc_interconnect_wrap.sv, periph_bus_wrap.sv, periph_bus_defines.sv, and apb_node.sv. APB range configuration permits aliasing.",datasets/benchmarks/hackatdac18/cases/H18-006.md
H18-008,hackatdac18,h18_gpio_apb_scope,"Address range overlap between GPIO, SPI, and SoC control peripherals","Address overlap among GPIO, SPI, and SoC control peripherals may break isolation boundaries.",rtl/includes/periph_bus_defines.sv; ips/pulp_soc/rtl/pulp_soc/periph_bus_wrap.sv; ips/apb/apb_node/apb_node.sv; ips/pulp_soc/rtl/pulp_soc/soc_peripherals.sv,periph_bus_wrap; apb_node; soc_peripherals; apb_gpio; udma_subsystem; apb_soc_ctrl,"GPIO_START_ADDR/GPIO_END_ADDR/UDMA_START_ADDR/UDMA_END_ADDR/SOC_CTRL_START_ADDR/SOC_CTRL_END_ADDR; gpio_master, udma_master, soc_ctrl_master; psel_o[i]; s_gpio_bus; s_udma_bus; s_soc_ctrl_bus","Agent should identify the GPIO, SPI/UDMA, and SoC-control APB address overlap and explain the resulting peripheral-isolation failure.; Confirmed from RTL. H18-008 requires GPIO involvement and is distinct from H18-001.; RTL confirmed in periph_bus_defines.sv, periph_bus_wrap.sv, apb_node.sv, and soc_peripherals.sv. GPIO, UDMA/SPI, and SoC control APB ranges overlap.",datasets/benchmarks/hackatdac18/cases/H18-008.md
H18-009,hackatdac18,h18_debug_jtag_scope,Incorrect password checking logic in debug unit,Incorrect password checking logic may weaken debug authentication guard.,ips/adv_dbg_if/rtl/adbg_tap_top.v; ips/adv_dbg_if/rtl/adv_dbg_if.sv,adbg_tap_top; adv_dbg_if; adbg_top,"passchk, correct, pass, bitindex; correct, bitindex, passchk; debug_select; s_debug_select","Agent should identify incorrect debug password-checking logic in adbg_tap_top.v, supported by passchk/correct/bitindex evidence.; Confirmed from RTL. This case is scored as incorrect auth logic, distinct from H18-010 partial check and H18-012 residual state.; RTL evidence confirmed in adbg_tap_top.v: passchk/correct/bitindex implement cumulative bit-match password logic controlling debug scan access; see cases/H18-009.md and evidence_gt.jsonl. legacy_include_in_task=yes; legacy_permission_related=yes; legacy_cross_module=borderline",datasets/benchmarks/hackatdac18/cases/H18-009.md
H18-010,hackatdac18,h18_debug_jtag_scope,Advanced debug unit only checks 31 of the 32 bits of the password,Checking only 31 of 32 password bits may make debug authentication incomplete.,ips/adv_dbg_if/rtl/adbg_tap_top.v,adbg_tap_top,"pass[31:0], bitindex[4:0], correct[31:0]; pass; correct >= 32'h0001_FFFF, pass[bitindex]","Agent should identify incomplete/partial debug password checking and cite the threshold/counter logic in adbg_tap_top.v.; Official wording says only 31 of 32 bits are checked; scoring should require incomplete password-check semantics and RTL evidence, not an unsupported exact missing-bit claim.; RTL evidence confirmed in adbg_tap_top.v: 32-bit pass is checked through bitindex/correct threshold logic rather than complete equality; see cases/H18-010.md and evidence_gt.jsonl. legacy_include_in_task=yes; legacy_permission_related=yes; legacy_cross_module=borderline",datasets/benchmarks/hackatdac18/cases/H18-010.md
H18-012,hackatdac18,h18_debug_jtag_scope,Password check for the debug unit does not reset after successful check,Password check state not resetting after success may leave residual debug authorization state.,ips/adv_dbg_if/rtl/adbg_tap_top.v,adbg_tap_top,"passchk; passchk = 0; passchk, correct","Agent should identify that passchk remains as residual authorization state after successful password check and is not cleared as part of successful debug access lifecycle.; Confirmed from RTL. This case is scored as post-success auth-state residue, distinct from H18-009/H18-010 password-check correctness.; RTL evidence confirmed in adbg_tap_top.v: passchk is set by password threshold and reused for debug scan transition, with clear only tied to test-logic-reset path; see cases/H18-012.md and evidence_gt.jsonl. legacy_include_in_task=yes; legacy_permission_related=yes; legacy_cross_module=borderline",datasets/benchmarks/hackatdac18/cases/H18-012.md
H18-017,hackatdac18,h18_fc_core_security_scope,Memory-mapped register file allows code injection,Memory-mapped register file allowing code injection may expose writable resource paths affecting execution.,doc/datasheet/content/core.tex; ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/zero-riscy/zeroriscy_debug_unit.sv; ips/zero-riscy/zeroriscy_core.sv,fc_subsystem; zeroriscy_debug_unit; zeroriscy_core,"memory-mapped core registers; apb2per_debug_i, debug_req/debug_addr/debug_we/debug_wdata; debug_req/debug_addr/debug_we/debug_wdata; regfile_wreq; regfile_wreq_o/regfile_waddr_o/regfile_wdata_o; debug_unit_i, jump_addr_o, jump_req_o","Agent should identify memory-mapped debug/register-file write access and explain how it can affect execution state/code-injection behavior.; Confirmed from RTL plus design documentation. Distinct from debug password-check cases.; RTL confirmed in fc_subsystem.sv and zeroriscy_debug_unit.sv, with supporting design documentation in core.tex. APB debug bridge reaches register-file write/read controls.",datasets/benchmarks/hackatdac18/cases/H18-017.md
H18-025,hackatdac18,h18_fc_core_security_scope,Unprivileged user-space code can write to the privileged CSR,Unprivileged user-space code writing privileged CSR directly matches privilege mediation failure.,ips/zero-riscy/zeroriscy_decoder.sv; ips/zero-riscy/zeroriscy_core.sv; ips/zero-riscy/zeroriscy_cs_registers.sv; ips/zero-riscy/include/zeroriscy_defines.sv,zeroriscy_decoder; zeroriscy_core; zeroriscy_cs_registers,"csr_access_o, csr_op_o, csr_status_o; csr_access_o, csr_op, csr_illegal; csr_access, csr_addr, csr_wdata, csr_op; mstatus, mepc, mcause; csr_we_int, CSR_OP_WRITE",Agent should identify missing privilege mediation for privileged CSR writes in the zero-riscy CSR decode/write path.; Confirmed from RTL. Do not score evidence from the separate ips/riscv decoder as a hit for this zero-riscy case.; RTL evidence confirmed in zero-riscy CSR decode/write path: CSR operations drive privileged machine CSR writes without current privilege-level mediation; see cases/H18-025.md and evidence_gt.jsonl. legacy_include_in_task=yes; legacy_permission_related=yes; legacy_cross_module=borderline,datasets/benchmarks/hackatdac18/cases/H18-025.md
