model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
claude_sonnet_4-6,baseline,h18_gpio_apb_scope,hackatdac18,H18-001,FN,,,,
claude_sonnet_4-6,baseline,h18_gpio_apb_scope,hackatdac18,H18-004,TP,1,baseline:claude_sonnet_4-6:h18_gpio_apb_scope:rep_1:FIND-002,Sufficient,
claude_sonnet_4-6,baseline,h18_gpio_apb_scope,hackatdac18,H18-005,FN,,,,
claude_sonnet_4-6,baseline,h18_gpio_apb_scope,hackatdac18,H18-006,FN,,,,
claude_sonnet_4-6,baseline,h18_gpio_apb_scope,hackatdac18,H18-008,TP,1,baseline:claude_sonnet_4-6:h18_gpio_apb_scope:rep_1:FIND-003,Sufficient,
claude_sonnet_4-6,baseline,h18_debug_jtag_scope,hackatdac18,H18-009,FN,,,,
claude_sonnet_4-6,baseline,h18_debug_jtag_scope,hackatdac18,H18-010,FN,,,,
claude_sonnet_4-6,baseline,h18_debug_jtag_scope,hackatdac18,H18-012,FN,,,,
claude_sonnet_4-6,baseline,h18_fc_core_security_scope,hackatdac18,H18-017,FN,,,,
claude_sonnet_4-6,baseline,h18_fc_core_security_scope,hackatdac18,H18-025,TP,1,baseline:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:FIND-005,Sufficient,
claude_sonnet_4-6,baseline,h18_fc_core_security_scope,hackatdac18,H18-027,TP,1,baseline:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:FIND-002,Sufficient,
claude_sonnet_4-6,baseline,h18_debug_jtag_scope,hackatdac18,H18-028,TP,1,baseline:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:FIND-001,Sufficient,
claude_sonnet_4-6,baseline,h19_access_control_fabric_scope,hackatdac19,H19-001,TP,1,baseline:claude_sonnet_4-6:h19_access_control_fabric_scope:rep_1:FIND-002,Sufficient,
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,hackatdac19,H19-005,FN,,,,
claude_sonnet_4-6,baseline,h19_csr_privilege_scope,hackatdac19,H19-009,TP,1,baseline:claude_sonnet_4-6:h19_csr_privilege_scope:rep_1:FINDING-001,Sufficient,
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-010,TP,1,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-001,Sufficient,
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-011,TP,1,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-005,Sufficient,
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-014,FN,,,,
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-015,FN,,,,
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-017,FN,,,,
claude_sonnet_4-6,baseline,h19_csr_privilege_scope,hackatdac19,H19-020,TP,1,baseline:claude_sonnet_4-6:h19_csr_privilege_scope:rep_1:FINDING-002,Sufficient,
claude_sonnet_4-6,baseline,h19_csr_privilege_scope,hackatdac19,H19-024,FN,,,,
claude_sonnet_4-6,baseline,h19_csr_privilege_scope,hackatdac19,H19-025,FN,,,,
claude_sonnet_4-6,baseline,h19_access_control_fabric_scope,hackatdac19,H19-041,FN,,,,
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-045,TP,1,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-002,Sufficient,
claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-046,FN,,,,
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,hackatdac19,H19-047,TP,1,baseline:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:FIND-02,Sufficient,
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,hackatdac19,H19-048,TP,1,baseline:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:FIND-03,Sufficient,
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,hackatdac19,H19-049,FN,,,,
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,hackatdac19,H19-050,FN,,,,
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,hackatdac19,H19-051,FN,,,,
claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-052,FN,,,,
claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-053,FN,,,,
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,hackatdac19,H19-054,FN,,,,
claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-055,FN,,,,
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,hackatdac19,H19-056,FN,,,,
claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-057,FN,,,,
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-058,FN,,,,
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-001,FN,,,,
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-002,FN,,,,
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-003,FN,,,,
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-004,FN,,,,
claude_sonnet_4-6,baseline,h21_access_lock_scope,hackatdac21,H21-005,FN,,,,
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-007,FN,,,,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-009,FN,,,,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-012,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-013,FN,,,,
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-030,TP,1,baseline:claude_sonnet_4-6:h21_jtag_auth_expansion_scope:rep_1:VULN-002,Sufficient,
claude_sonnet_4-6,baseline,h21_dma_pkt_scope,hackatdac21,H21-031,FN,,,,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-032,FN,,,,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-033,FN,,,,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-034,FN,,,,
claude_sonnet_4-6,baseline,h21_access_lock_scope,hackatdac21,H21-035,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-036,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-039,FN,,,,
claude_sonnet_4-6,baseline,h21_access_lock_scope,hackatdac21,H21-042,TP,1,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F5,Sufficient,
claude_sonnet_4-6,baseline,h21_access_lock_scope,hackatdac21,H21-043,TP,1,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F2,Sufficient,
claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-045,FN,,,,
claude_sonnet_4-6,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-046,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-047,FN,,,,
claude_sonnet_4-6,baseline,h21_access_lock_scope,hackatdac21,H21-048,FN,,,,
claude_sonnet_4-6,baseline,h21_access_lock_scope,hackatdac21,H21-049,FN,,,,
claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-052,FN,,,,
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-053,FN,,,,
