model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-001,TP,1;2;3,proposed:gpt_5_5:h18_gpio_apb_scope:rep_1:F6,Sufficient,
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-004,TP,1;3,proposed:gpt_5_5:h18_gpio_apb_scope:rep_1:F9,Sufficient,
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-005,TP,2;3,proposed:gpt_5_5:h18_gpio_apb_scope:rep_3:F7,Sufficient,
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-006,TP,1;2;3,proposed:gpt_5_5:h18_gpio_apb_scope:rep_1:F5,Sufficient,
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-008,TP,1;2;3,proposed:gpt_5_5:h18_gpio_apb_scope:rep_1:F4,Sufficient,
gpt_5_5,proposed,h18_debug_jtag_scope,hackatdac18,H18-009,TP,1;2;3,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1:F3,Sufficient,
gpt_5_5,proposed,h18_debug_jtag_scope,hackatdac18,H18-010,FN,,,,
gpt_5_5,proposed,h18_debug_jtag_scope,hackatdac18,H18-012,FN,,,,
gpt_5_5,proposed,h18_fc_core_security_scope,hackatdac18,H18-017,TP,1;2;3,proposed:gpt_5_5:h18_fc_core_security_scope:rep_1:F1,Sufficient,
gpt_5_5,proposed,h18_fc_core_security_scope,hackatdac18,H18-025,TP,1;2;3,proposed:gpt_5_5:h18_fc_core_security_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h18_fc_core_security_scope,hackatdac18,H18-027,TP,1;2;3,proposed:gpt_5_5:h18_fc_core_security_scope:rep_1:F5,Sufficient,
gpt_5_5,proposed,h18_debug_jtag_scope,hackatdac18,H18-028,TP,1;2;3,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h19_access_control_fabric_scope,hackatdac19,H19-001,TP,1;2;3,proposed:gpt_5_5:h19_access_control_fabric_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-005,TP,1;3,proposed:gpt_5_5:h19_debug_jtag_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h19_csr_privilege_scope,hackatdac19,H19-009,TP,1;2;3,proposed:gpt_5_5:h19_csr_privilege_scope:rep_1:F8,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-010,TP,1;2;3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F1,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-011,FN,,,,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-014,TP,3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_3:F6,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-015,TP,1;2;3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F8,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-017,TP,1;2;3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F6,Sufficient,
gpt_5_5,proposed,h19_csr_privilege_scope,hackatdac19,H19-020,TP,1;2;3,proposed:gpt_5_5:h19_csr_privilege_scope:rep_1:F3,Sufficient,
gpt_5_5,proposed,h19_csr_privilege_scope,hackatdac19,H19-024,FN,,,,
gpt_5_5,proposed,h19_csr_privilege_scope,hackatdac19,H19-025,FN,,,,
gpt_5_5,proposed,h19_access_control_fabric_scope,hackatdac19,H19-041,TP,1;2;3,proposed:gpt_5_5:h19_access_control_fabric_scope:rep_1:F4,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-045,TP,1;2;3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F5,Sufficient,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-046,TP,1;2;3,proposed:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1:F6,Sufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-047,TP,2,proposed:gpt_5_5:h19_debug_jtag_scope:rep_2:F1,Insufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-048,TP,1;2;3,proposed:gpt_5_5:h19_debug_jtag_scope:rep_1:F7,Sufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-049,FN,,,,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-050,TP,2;3,proposed:gpt_5_5:h19_debug_jtag_scope:rep_3:F9,Sufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-051,FN,,,,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-052,TP,1;2;3,proposed:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1:F10,Sufficient,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-053,TP,1;2;3,proposed:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1:F1,Sufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-054,TP,1;2;3,proposed:gpt_5_5:h19_debug_jtag_scope:rep_1:F10,Sufficient,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-055,FN,,,,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-056,TP,1;2,proposed:gpt_5_5:h19_debug_jtag_scope:rep_1:F1,Sufficient,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-057,TP,1;2;3,proposed:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1:F7,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-058,TP,1,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F4,Sufficient,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-001,FN,,,,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-002,TP,3,proposed:gpt_5_5:h21_jtag_auth_expansion_scope:rep_3:F5,Sufficient,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-003,FN,,,,
