failure_uid,model_family,method_name,input_scope,repetition,run_id,failure_object_type,related_finding_uid,related_case_id,detection_match,evidence_quality,summary,final_answer_path,tool_trace_path,candidate_reason,failure_manifestation,failure_mechanism,evidence_from_output,tool_trace_observation,likely_cause,method_implication,review_notes
E00001,gpt_5_5,proposed,h18_debug_jtag_scope,1,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1:F1,H18-009,Duplicate,Sufficient,Potential unmediated JTAG-to-AXI debug master: the visible RTL allows TAP-selected debug commands to reach AXI master issue logic without an observed authorization/lifecycle/range check and with security attributes hardwired to zero.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\tool_observations.jsonl,Duplicate finding,,,,,,,
E00002,gpt_5_5,proposed,h18_debug_jtag_scope,1,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1:F4,H18-009,Duplicate,Sufficient,"adv_dbg_if exposes CPU debug ports including cpu_stall_o and cpu_rst_o. adbg_top includes CPU signals and module selection logic, but the detailed OR1K instantiation/wiring was not fully present in the observations. The file inventory confirms adbg_or1k_module, adbg_or1k_biu, and adbg_or1k_status_reg exist. Search observations show adbg_or1k_status_reg comments describing stall_bp holding stall until debug host acts and stall_reg_cpu allowing debug host to control a stall. However, the provided snippets do not prove whether the OR1K path is instantiated and connected in this PULPissimo integration, nor whether it is disconnected or externally gated.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\tool_observations.jsonl,Duplicate finding,,,,,,,
E00003,gpt_5_5,proposed,h18_debug_jtag_scope,1,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1:F5,H18-028,Duplicate,Sufficient,"Several reset behaviors were observed: adbg_top resets module_id_reg and input_shift_reg on trstn_i; adbg_lintonly_top similarly resets module_id_reg; AXI BIU resets rdy_o, err_reg, data_out_reg, and synchronizer flops under trstn_i or axi_aresetn; LINT BIU resets sel_reg, addr_reg, data_in_reg, wr_reg, str_sync, ready synchronizers, err_reg, and data_out_reg under trstn_i/rstn_i. The command start path uses toggle-based synchronization from TCK to AXI/LINT clock domains. However, the evidence is incomplete for all FSM/request-output reset assignments and for interactions when only one of TCK reset and system reset toggles. No lifecycle authorization signal was observed to recheck after reset release.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\tool_observations.jsonl,Duplicate finding,,,,,,,
E00004,gpt_5_5,proposed,h18_debug_jtag_scope,1,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1:F6,H18-028,Duplicate,Sufficient,"Potential arbitrary-address debug bus access: command-provided addresses, sizes, and byte enables are forwarded to AXI/LINT fabric without observed range, alignment, or permission mediation.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\tool_observations.jsonl,Duplicate finding,,,,,,,
E00005,gpt_5_5,proposed,h18_debug_jtag_scope,2,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2:F3,H18-028,Duplicate,Sufficient,"TAP and debug modules expose TDO paths, and adbg_axi_biu/adbg_lint_biu capture bus read data into data_out_reg before shifting through module_tdo_o. Observed reset clears some readback registers. However, provided observations do not include complete TDO mux logic or enough deselect-transition evidence to prove or disprove stale-data leakage.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00006,gpt_5_5,proposed,h18_debug_jtag_scope,2,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2:F4,H18-028,Duplicate,Sufficient,"Debug command execution is gated by TAP/module state and CRC/integrity logic, but no independent debug authorization or lifecycle guard was observed at the transaction trigger/use site for AXI or LINT bus operations.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00007,gpt_5_5,proposed,h18_debug_jtag_scope,2,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2:F5,H18-009,Duplicate,Sufficient,"The advanced debug top exposes CPU debug control/status interfaces and OR1K debug modules are present, but no authorization/lifecycle guard was observed on CPU debug control access from TAP selection alone.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00008,gpt_5_5,proposed,h18_debug_jtag_scope,2,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2:F6,H18-028,Duplicate,Sufficient,"Several registers are reset: adbg_top module_id_reg/input_shift_reg, AXI BIU synchronizers/FSM/data_out_reg, LINT BIU address/data/write/str_sync/rdy sync, and module address/operation/bit counters. However, cross-domain reset ordering and all pending transaction/readback clear points were not fully observed.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00009,gpt_5_5,proposed,h18_debug_jtag_scope,2,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2:F7,H18-028,Duplicate,Sufficient,"AXI/LINT BIUs decode JTAG-supplied word sizes, addresses, and byte enables locally but no address-region policy, protected-register bounds, or invalid-size rejection was observed; AXI invalid/default word_size maps to 8-byte AXI size.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00010,gpt_5_5,proposed,h18_debug_jtag_scope,2,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2,Duplicate,proposed:gpt_5_5:h18_debug_jtag_scope:rep_2:F8,H18-028,Duplicate,Sufficient,Observed top-level JTAG routing and debug wrappers route external JTAG into internal debug interfaces without a visible SoC-level lifecycle/debug-enable/pad policy gating all debug routes.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
