run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,F-001,h18_debug_jtag_scope,"Unprotected JTAG debug interface allows unauthorized full system access (AXI master + CPU debug) without any authentication, password check, or lock mechanism.",ips/adv_dbg_if/rtl/adv_dbg_if.sv; ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_tap_top.v; rtl/pulpissimo/jtag_tap_top.sv; rtl/pulpissimo/safe_domain.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_defines.v,adv_dbg_if; adbg_top; adbg_tap_top; jtag_tap_top; safe_domain; adbg_axi_module; adbg_defines (include); adbg_defines,"comments referencing PASSWORD, LOCK, UNLOCK; module selection / command processing logic (no auth); // Don't grep for PASSWORD, cheater.; JTAG register control (s_confreg, sel_fll_clk_o) without auth; jtag_tap_top_i instantiation; AXI master interface exposed via JTAG without auth; Module IDs: WISHBONE, CPU0, CPU1, JSP — no security/auth module defined; comment block; comment; module_id_reg, module_selects, input_shift_reg logic; AXI master port instantiation; confreg and soc_jtag_reg_o/sel_fll_clk_o assignment; module ID definitions and feature defines",,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,FINDING-001,h18_debug_jtag_scope,"JTAG debug interface has no authentication, authorization, or access-control mechanism, allowing any JTAG-connected entity full read/write access to all memory-mapped resources and full CPU debug control.",ips/adv_dbg_if/rtl/adv_dbg_if.sv; ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_or1k_module.sv; ips/adv_dbg_if/rtl/adbg_lint_module.sv; rtl/pulpissimo/jtag_tap_top.sv; rtl/pulpissimo/safe_domain.sv; ips/adv_dbg_if/rtl/adbg_tap_top.v; ips/adv_dbg_if/rtl/adbg_defines.v; ips/adv_dbg_if/rtl/adbg_tap_defines.v,adv_dbg_if; adbg_top; adbg_axi_module; adbg_or1k_module; adbg_lint_module; jtag_tap_top; safe_domain; adbg_tap_top; (defines),"module-level; tms_pad_i, tck_pad_i, trstn_pad_i, tdi_pad_i —→ AXI master and CPU debug signals; module-level; bridges JTAG data register to AXI and CPU sub-modules without access checks; module-level; full AXI4 master read/write capability via JTAG, no permission checks; module-level; CPU stall, reset, register r/w, no access control; module-level; LINT bus memory access via JTAG, no access control; soc_tck_o, soc_trstn_o, soc_tms_o, soc_tdi_o — JTAG signals passed through with no gating; jtag_tap_top_i instantiation — JTAG passthrough with no isolation between safe and SoC domains; comments; comment; adbg_top module body; adbg_axi_module body / FSM; adbg_or1k_module body / FSM; continuous assignments; preprocessor defines; JTAG IR opcodes",,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,FINDING-001,h18_debug_jtag_scope,JTAG Debug Interface Provides Unauthenticated Full System Memory Access (Missing Debug Authentication),ips/adv_dbg_if/rtl/adv_dbg_if.sv; ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_tap_top.v; rtl/pulpissimo/jtag_tap_top.sv; ips/adv_dbg_if/rtl/adbg_tap_defines.v,adv_dbg_if; adbg_top; adbg_axi_module; adbg_tap_top; jtag_tap_top; adbg_tap_defines,"commented-out PASSWORD placeholder; module_id_reg, select_inhibit; AXI master interface from JTAG; debug_select_o; soc_jtag_reg_o, dbg_axi_scan_in_o; DEBUG instruction (4'b1000)",,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-01,h18_fc_core_security_scope,"Privilege levels are hardwired/forced to Machine-mode, eliminating privilege separation. The core always runs in supervisor mode (supervisor_mode_o = 1'b1) and MSTATUS.MPP is forced to PRIV_LVL_M on every CSR write, preventing any user-mode or supervisor-mode isolation.",ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/zero-riscy/zeroriscy_cs_registers.sv,fc_subsystem; zeroriscy_cs_registers,supervisor_mode_o; mstatus_n,,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-02,h18_fc_core_security_scope,"Secure interrupt handling is completely disabled. The core_secure_mode_i input to the interrupt controller is tied to 0, and the core_irq_sec_o output from the interrupt controller is left unconnected. The secure interrupt channel is non-functional.",ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,fc_subsystem; apb_interrupt_cntrl,"core_secure_mode_i; core_irq_sec_o; irq_sec_i; core_irq_sec_o, core_secure_mode_i; fc_eu_i instantiation; riscv_core instantiation",,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-03,h18_fc_core_security_scope,The SCM (Standard Cell Memory) is accessible through two different address ranges: a primary range at 0x1C00_6000-0x1C00_7FFF and an alias range at 0x0000_6000-0x0000_7FFF. This dual address mapping can bypass memory protection mechanisms that only check one address range.,rtl/includes/soc_bus_defines.sv; ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/pulp_soc/rtl/fc/fc_demux.sv,soc_bus_defines; fc_subsystem; fc_demux,"SOC_L2_PRI_CH0_SCM, ALIAS_SOC_L2_PRI_CH0_SCM; is_scm_instr_req, is_scm_data_req; port_sel_i; SCM address defines; is_scm_instr_req; is_scm_data_req",,,,medium,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-04,h18_fc_core_security_scope,"The debug unit (zeroriscy_debug_unit) provides unrestricted access to CSRs and general-purpose registers when the core is halted. There is no authentication mechanism or access control on the debug interface, which could be exploited if the debug port is accessible in production.",ips/zero-riscy/zeroriscy_debug_unit.sv,zeroriscy_debug_unit,"csr_req_n, regfile_wreq, debug_gnt_o; debug_req_i, debug_we_i, debug_addr_i; write access decode logic; jump_req_n",,,,medium,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,F01,h18_fc_core_security_scope,No RISC-V privilege-level enforcement on CSR write access; core permanently in Machine mode with no User-mode protection,ips/zero-riscy/zeroriscy_cs_registers.sv; ips/zero-riscy/include/zeroriscy_defines.sv,zeroriscy_cs_registers; zeroriscy_defines package,"mstatus_n, csr_we_int; mstatus_q (reset/restore); PrivLvl_t enum; mstatus write logic; csr_we_int generation; PrivLvl_t; reset/restore mpp value",,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,F02,h18_fc_core_security_scope,"Debug unit allows unrestricted CSR and register-file access when core is halted, bypassing any software-enforced access controls",ips/zero-riscy/zeroriscy_debug_unit.sv,zeroriscy_debug_unit,"csr_req_n, csr_we_o, regfile_wreq; debug_req_i, debug_addr_i; CSR debug access; GPR debug access",,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,F03,h18_fc_core_security_scope,Secure interrupt infrastructure present but disconnected; secure_mode hardwired to 0 and secure IRQ output left unconnected,ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,fc_subsystem; apb_interrupt_cntrl,"core_secure_mode_i, core_irq_sec_o; Instantiation of interrupt controller; Port declarations",,,,medium,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,F04,h18_fc_core_security_scope,"APB interrupt controller registers (mask, int, ack, fifo) accessible via APB with no bus-level access control",ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,apb_interrupt_cntrl,"s_is_apb_write, s_is_apb_read; proc_mask, proc_int, proc_ack; APB access gating logic; Register write logic (mask, int, ack)",,,,medium,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,F-001,h18_fc_core_security_scope,Missing Physical Memory Protection (PMP) - No hardware-enforced memory access control,ips/zero-riscy/zeroriscy_cs_registers.sv; ips/zero-riscy/include/zeroriscy_defines.sv; .,zeroriscy_cs_registers; zeroriscy_defines (package),CSR read/write logic; search for pmp/PMP,,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,F-002,h18_fc_core_security_scope,All privilege modes below Machine mode are hardwired to zero - no privilege separation possible,ips/zero-riscy/zeroriscy_cs_registers.sv; ips/zero-riscy/include/zeroriscy_defines.sv,zeroriscy_cs_registers; zeroriscy_defines,"Status_t (mstatus); mstatus_n, mpp; Status_t struct definition; mstatus write logic; PrivLvl_t enum",,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,F-003,h18_fc_core_security_scope,Debug unit CSR write-enable (csr_we_o) asserted without checking core halted state,ips/zero-riscy/zeroriscy_debug_unit.sv,zeroriscy_debug_unit,"csr_we_o, csr_req_n, state_n; CSR write access FSM in debug unit",,,,low,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,F-004,h18_fc_core_security_scope,APB interrupt controller registers lack any access-control or privilege checking,ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,apb_interrupt_cntrl,"s_is_apb_write, r_mask, r_int, r_ack; APB write decode; proc_mask, proc_int, proc_ack combinational blocks",,,,medium,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,F-001,h18_gpio_apb_scope,"GPIO Lock Register bypass via REG_PADOUTSET/REG_PADOUTCLR: The GPIO lock mechanism (r_gpio_lock) blocks writes to REG_PADDIR and REG_PADOUT, but REG_PADOUTSET and REG_PADOUTCLR can modify GPIO outputs without checking the lock bits, allowing unauthorized GPIO output manipulation.",ips/apb/apb_gpio/apb_gpio.sv,apb_gpio,"r_gpio_lock, pwdata_l, r_gpio_out, r_gpio_dir; r_gpio_lock; REG_PADDIR / REG_PADOUT write logic with lock check; REG_PADOUTSET and REG_PADOUTCLR definitions",,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,F-002,h18_gpio_apb_scope,"GPIO Lock Register (REG_GPIOLOCK) is freely rewritable with no write-once or escalate-only protection, allowing an attacker to clear the lock after it has been set.",ips/apb/apb_gpio/apb_gpio.sv,apb_gpio,r_gpio_lock; r_gpio_lock reset initialization; r_gpio_lock write; Lock check logic,,,,high,,,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,F-003,h18_gpio_apb_scope,"APB bus node (apb_node) has no access control or privilege filtering: any APB master can access any peripheral based solely on address matching, with no master identity or permission checks.",ips/apb/apb_node/apb_node.sv; ips/apb/apb_node/apb_node_wrap.sv; rtl/includes/periph_bus_defines.sv,apb_node; apb_node_wrap,psel_o; apb_masters; Address decode and psel generation; Module interface; periph_bus_defines.sv,,,,high,,,,,,
