run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-009,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-010,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-012,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-028,visible,Partial,F-001,,"Related JTAG/debug-auth issue detected, but official LINT integration path evidence is incomplete."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,hackatdac18,H18-009,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,hackatdac18,H18-010,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,hackatdac18,H18-012,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,hackatdac18,H18-028,visible,Partial,FINDING-001,,"Related JTAG/debug-auth issue detected, but official LINT integration path evidence is incomplete."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,hackatdac18,H18-009,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,hackatdac18,H18-010,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,hackatdac18,H18-012,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,hackatdac18,H18-028,visible,Partial,FINDING-001,,"Related JTAG/debug-auth issue detected, but official LINT integration path evidence is incomplete."
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-009,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-010,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-012,visible,FN,,Model generalized the debug/JTAG issue and did not identify the specific password-check logic case.,No finding cites the passchk/correct/bitindex/pass password-check logic required by this GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-028,visible,TP,RTL-JTAG-LINT-UNAUTH-001,,Correctly detects the official unprotected JTAG-to-LINT debug path.
