run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-010,visible,TP,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-011,visible,FN,,No finding sufficiently matches H19-011 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-014,visible,FN,,No finding sufficiently matches H19-014 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-015,visible,FN,,No finding sufficiently matches H19-015 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-017,visible,FN,,No finding sufficiently matches H19-017 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-045,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-058,visible,FN,,No finding sufficiently matches H19-058 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-010,visible,TP,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-011,visible,FN,,No finding sufficiently matches H19-011 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-014,visible,FN,,No finding sufficiently matches H19-014 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-015,visible,FN,,No finding sufficiently matches H19-015 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-017,visible,FN,,No finding sufficiently matches H19-017 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-045,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-058,visible,TP,F-004,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,hackatdac19,H19-010,visible,TP,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,hackatdac19,H19-011,visible,FN,,No finding sufficiently matches H19-011 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,hackatdac19,H19-014,visible,FN,,No finding sufficiently matches H19-014 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,hackatdac19,H19-015,visible,FN,,No finding sufficiently matches H19-015 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,hackatdac19,H19-017,visible,FN,,No finding sufficiently matches H19-017 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,hackatdac19,H19-045,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,hackatdac19,H19-058,visible,FN,,No finding sufficiently matches H19-058 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-010,visible,TP,PERM-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-011,visible,FN,,No finding sufficiently matches H19-011 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-014,visible,FN,,No finding sufficiently matches H19-014 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-015,visible,FN,,No finding sufficiently matches H19-015 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-017,visible,FN,,No finding sufficiently matches H19-017 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-045,visible,FN,,No finding sufficiently matches H19-045 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,hackatdac19,H19-058,visible,TP,PERM-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-010,visible,TP,PERM-AES-KEY-READOUT,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-011,visible,FN,,No finding sufficiently matches H19-011 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-014,visible,FN,,No finding sufficiently matches H19-014 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-015,visible,FN,,No finding sufficiently matches H19-015 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-017,visible,FN,,No finding sufficiently matches H19-017 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-045,visible,TP,PERM-ROM2-RW-SECRET-STORE,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,hackatdac19,H19-058,visible,TP,PERM-ACCESSCTRL-MUTABLE-VIA-ROM2,,Matched by finding-level score.
