failure_uid,model_family,method_name,input_scope,repetition,run_id,failure_object_type,related_finding_uid,related_case_id,detection_match,evidence_quality,summary,final_answer_path,tool_trace_path,candidate_reason
E00001,gpt_5_5,baseline,h18_gpio_apb_scope,3,baseline:gpt_5_5:h18_gpio_apb_scope:rep_3,Duplicate,baseline:gpt_5_5:h18_gpio_apb_scope:rep_3:GPIO_APB_NO_PERMISSION_CHECKS,H18-005,Duplicate,Sufficient,GPIO APB control registers are writable without visible permission checks.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_gpio_apb_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_gpio_apb_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00002,gpt_5_5,baseline,h19_access_control_fabric_scope,1,baseline:gpt_5_5:h19_access_control_fabric_scope:rep_1,Duplicate,baseline:gpt_5_5:h19_access_control_fabric_scope:rep_1:FINDING-003,H19-001,Duplicate,Sufficient,Alternate SimDTM debug path appears not to use the JTAG key and may bypass JTAG authentication if included in a security-relevant build.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_access_control_fabric_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_access_control_fabric_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00003,gpt_5_5,baseline,h19_access_control_fabric_scope,3,baseline:gpt_5_5:h19_access_control_fabric_scope:rep_3,Duplicate,baseline:gpt_5_5:h19_access_control_fabric_scope:rep_3:FINDING-003,H19-041,Duplicate,Sufficient,"The fabric appears to use a single processor privilege signal for access-control decisions across multiple AXI requesters, including debug.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_access_control_fabric_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_access_control_fabric_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00004,gpt_5_5,baseline,h19_aes_rom2_security_scope,2,baseline:gpt_5_5:h19_aes_rom2_security_scope:rep_2,Duplicate,baseline:gpt_5_5:h19_aes_rom2_security_scope:rep_2:PERM-002,H19-045,Duplicate,Sufficient,System access-control permissions are derived from ROM2 entries that are writable through ROM2's bus interface.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_aes_rom2_security_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_aes_rom2_security_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00005,gpt_5_5,baseline,h19_debug_jtag_scope,1,baseline:gpt_5_5:h19_debug_jtag_scope:rep_1,Duplicate,baseline:gpt_5_5:h19_debug_jtag_scope:rep_1:PERM-DEBUG-001,H19-050,Duplicate,Sufficient,Debug module is hardwired as authenticated with no implemented authentication.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_debug_jtag_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00006,gpt_5_5,baseline,h19_debug_jtag_scope,1,baseline:gpt_5_5:h19_debug_jtag_scope:rep_1,Duplicate,baseline:gpt_5_5:h19_debug_jtag_scope:rep_1:PERM-CSR-001,H19-048,Duplicate,Sufficient,CSR privilege enforcement explicitly exempts MEPC from access exceptions.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_debug_jtag_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00007,gpt_5_5,baseline,h19_jtag_debug_expansion_scope,1,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1,Duplicate,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1:FINDING-001,H19-046,Duplicate,Sufficient,"JTAG password check gates DMI reads but not DMI writes, allowing unauthenticated debug control writes.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_jtag_debug_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_jtag_debug_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00008,gpt_5_5,baseline,h19_jtag_debug_expansion_scope,1,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1,Duplicate,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1:FINDING-003,H19-046,Duplicate,Sufficient,JTAG authentication flag `pass_chk` is not visibly reset or safely cleared.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_jtag_debug_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_jtag_debug_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00009,gpt_5_5,baseline,h19_jtag_debug_expansion_scope,2,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_2:FINDING-001,H19-046,Duplicate,Sufficient,"JTAG password check gates DMI reads but not DMI writes, allowing unauthenticated debug writes.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_jtag_debug_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_jtag_debug_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00010,gpt_5_5,baseline,h19_jtag_debug_expansion_scope,2,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_2:FINDING-003,H19-053,Duplicate,Sufficient,Sensitive debug control CSRs are writable without visible authorization enforcement.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_jtag_debug_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h19_jtag_debug_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
