run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_1,h19_access_control_fabric_scope,hackatdac19,H19-001,visible,TP,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_1,h19_access_control_fabric_scope,hackatdac19,H19-041,visible,FN,,No finding identifies lower-privilege access to DRAM through the access-control matrix.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_2,h19_access_control_fabric_scope,hackatdac19,H19-001,visible,FN,,No matched finding for H19-001.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_2,h19_access_control_fabric_scope,hackatdac19,H19-041,visible,FN,,No finding identifies lower-privilege access to DRAM through the access-control matrix.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_3,h19_access_control_fabric_scope,hackatdac19,H19-001,visible,TP,F-02,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_3,h19_access_control_fabric_scope,hackatdac19,H19-041,visible,FN,,No finding identifies lower-privilege access to DRAM through the access-control matrix.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_1,h19_access_control_fabric_scope,hackatdac19,H19-001,visible,TP,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_1,h19_access_control_fabric_scope,hackatdac19,H19-041,visible,FN,,No finding identifies lower-privilege access to DRAM through the access-control matrix.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_2,h19_access_control_fabric_scope,hackatdac19,H19-001,visible,TP,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_2,h19_access_control_fabric_scope,hackatdac19,H19-041,visible,FN,,No finding identifies lower-privilege access to DRAM through the access-control matrix.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_3,h19_access_control_fabric_scope,hackatdac19,H19-001,visible,TP,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_3,h19_access_control_fabric_scope,hackatdac19,H19-041,visible,FN,,No finding identifies lower-privilege access to DRAM through the access-control matrix.,FN under current GT criteria.
