fp_cluster_id,model_family,method_name,input_scope,repetition,fp_count,representative_finding_uid,claimed_files,claimed_modules,claimed_signals_or_registers,example_summaries
FPC-0001,claude_sonnet_4-6,baseline,h18_debug_jtag_scope,1,1,baseline:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:FIND-002,ips/adv_dbg_if/rtl/adbg_axi_biu.sv; ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv,adbg_axi_biu; pulp_soc,"axi_master_aw_prot, axi_master_ar_prot, axi_master_aw_user, axi_master_ar_user; assign axi_master_aw_prot = 'h0; assign axi_master_ar_prot = 'h0; assign axi_master_aw_user = 'h0; assign axi_master_ar_user = 'h0; s_apb_mpu_rules, s_supervisor_mode","AXI protection signals (aw_prot, ar_prot) and user/privilege signals (aw_user, ar_user) are hardwired to zero by the JTAG AXI debug master, preventing any downstream memory protection unit from correctly identifying and filtering privileged debug bus accesses."
FPC-0002,claude_sonnet_4-6,baseline,h18_debug_jtag_scope,1,1,baseline:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:FIND-003,ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv,pulp_soc,"data_master_aw_prot_o, data_master_ar_prot_o; assign data_master_aw_prot_o = s_data_master.ar_prot; assign data_master_ar_prot_o = s_data_master.aw_prot","AXI write-address protection field (aw_prot) and read-address protection field (ar_prot) are cross-wired in the pulp_soc output port unpack: aw_prot output is driven by ar_prot register and vice versa, corrupting protection metadata for all transactions leaving the SoC."
FPC-0003,claude_sonnet_4-6,baseline,h18_fc_core_security_scope,1,1,baseline:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:FIND-001,ips/pulp_soc/rtl/fc/fc_subsystem.sv,fc_subsystem,supervisor_mode_o,"supervisor_mode_o is hardcoded to 1'b1, permanently asserting supervisor mode regardless of actual core privilege state"
FPC-0004,claude_sonnet_4-6,baseline,h18_fc_core_security_scope,1,1,baseline:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:FIND-003,ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,fc_subsystem; apb_interrupt_cntrl,core_secure_mode_i,"core_secure_mode_i to apb_interrupt_cntrl is hardcoded to 0, disabling any secure-mode-aware interrupt masking"
FPC-0005,claude_sonnet_4-6,baseline,h18_fc_core_security_scope,1,1,baseline:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:FIND-004,ips/zero-riscy/zeroriscy_cs_registers.sv,zeroriscy_cs_registers,mstatus_n.mpp; mstatus_q.mpp; csr_restore_mret_i,"mstatus.mpp field is always forced to PRIV_LVL_M (machine mode) on every write and reset, preventing software-controlled privilege-level restoration via MRET"
FPC-0006,claude_sonnet_4-6,baseline,h18_gpio_apb_scope,1,1,baseline:claude_sonnet_4-6:h18_gpio_apb_scope:rep_1:FIND-001,ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv,pulp_soc,data_master_aw_prot_o; data_master_ar_prot_o; data_master_aw_prot_o assignment; data_master_ar_prot_o assignment; slave-side PROT unpacking (reference correct pattern); port declarations for PROT signals,"AXI AWPROT and ARPROT signals are cross-wired on the data master output port: the write-channel protection output (data_master_aw_prot_o) is driven by the read-channel's internal prot field (s_data_master.ar_prot), and the read-channel protection output (data_master_ar_prot_o) is driven by the write-channel's internal prot field (s_data_master.aw_prot). This silently swaps AXI privilege and security attributes on every outgoing transaction."
FPC-0007,claude_sonnet_4-6,baseline,h19_access_control_fabric_scope,1,1,baseline:claude_sonnet_4-6:h19_access_control_fabric_scope:rep_1:FIND-001,src/rom2/rom2.sv; tb/ariane_testharness.sv,rom2; ariane_testharness,secure_reg; always_ff write path; module comment; secure_reg[addr_i[...]] <= wdata_i; .rom2_fuse ( master[ariane_soc::ROM2] ),ROM2 secure key store allows unrestricted runtime writes with no privilege or access-mode check
FPC-0008,claude_sonnet_4-6,baseline,h19_access_control_fabric_scope,1,1,baseline:claude_sonnet_4-6:h19_access_control_fabric_scope:rep_1:FIND-003,tb/ariane_testharness.sv; src/rom2/rom2.sv; tb/ariane_soc_pkg.sv,ariane_testharness; rom2; ariane_soc package,access_ctrl_reg; access_ctrl; logic [1:0][47:0] access_ctrl_reg; generate loop: assign access_ctrl[i][j] = access_ctrl_reg[i][4*j +: 4]; output logic [3:0][191:0] secure_reg; localparam NB_PERIPHERALS = Debug + 1,"access_ctrl_reg is only 48 bits wide per subordinate but must cover 12 peripherals × 4 privilege levels = 48 bits; however the ROM2 write path writes only 64-bit wdata_i into 192-bit secure_reg slots, and the access_ctrl_reg width exactly matches only if NB_PERIPHERALS stays at 12 — any increase silently truncates permissions for higher-indexed peripherals"
FPC-0009,claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,1,1,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-003,tb/ariane_peripherals.sv; tb/ariane_testharness.sv; src/axi_node/src/axi_node_intf_wrap.sv; src/rom2/rom2.sv,ariane_peripherals; ariane_testharness; connectivity_mapping; rom2,"access_ctrl_reg / key_reg_out; access_ctrl; connectivity_map_o / access_ctrl_i; access_ctrl_reg; connectivity_map_o; secure_reg[2], secure_reg[3]; mem","AXI access-control policy is loaded from the writable ROM2 register, creating a circular trust failure that enables full access control bypass"
FPC-0010,claude_sonnet_4-6,baseline,h19_debug_jtag_scope,1,1,baseline:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:FIND-01,src/debug/dmi_jtag.sv,dmi_jtag,pass_chk; umode_o; always_comb block,JTAG password check uses a combinational (non-registered) pass_chk signal — authenticated state is lost every clock cycle
