model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
gemini_3.1_pro_preview,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-001,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-004,TP,1,ours_chain_context:gemini_3.1_pro_preview:h18_gpio_apb_scope:rep_1:F-002,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-005,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-006,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-008,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,hackatdac18,H18-009,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,hackatdac18,H18-010,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,hackatdac18,H18-012,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,hackatdac18,H18-017,TP,1,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-009,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,hackatdac18,H18-025,TP,1,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-006,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,hackatdac18,H18-027,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,hackatdac18,H18-028,TP,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_access_control_fabric_scope,hackatdac19,H19-001,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-005,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_debug_jtag_scope:rep_1:F-009,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_csr_privilege_scope,hackatdac19,H19-009,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_csr_privilege_scope:rep_1:F-003,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-010,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_aes_rom2_security_scope:rep_1:F-001,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-011,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-014,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-015,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-017,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_aes_rom2_security_scope:rep_1:F-012,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_csr_privilege_scope,hackatdac19,H19-020,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_csr_privilege_scope:rep_1:F-001,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_csr_privilege_scope,hackatdac19,H19-024,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_csr_privilege_scope,hackatdac19,H19-025,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_access_control_fabric_scope,hackatdac19,H19-041,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-045,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_aes_rom2_security_scope:rep_1:F-006,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_jtag_debug_expansion_scope,hackatdac19,H19-046,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_jtag_debug_expansion_scope:rep_1:F-009,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-047,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_debug_jtag_scope:rep_1:F-012,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-048,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-049,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-050,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_debug_jtag_scope:rep_1:F-001,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-051,TP,1,ours_chain_context:gemini_3.1_pro_preview:h19_debug_jtag_scope:rep_1:F-049,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h19_jtag_debug_expansion_scope,hackatdac19,H19-052,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_jtag_debug_expansion_scope,hackatdac19,H19-053,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-054,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_jtag_debug_expansion_scope,hackatdac19,H19-055,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-056,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_jtag_debug_expansion_scope,hackatdac19,H19-057,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-058,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_jtag_auth_expansion_scope,hackatdac21,H21-001,TP,1,ours_chain_context:gemini_3.1_pro_preview:h21_jtag_auth_expansion_scope:rep_1:F-002,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h21_jtag_auth_expansion_scope,hackatdac21,H21-002,TP,1,ours_chain_context:gemini_3.1_pro_preview:h21_jtag_auth_expansion_scope:rep_1:F-007,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h21_jtag_auth_expansion_scope,hackatdac21,H21-003,TP,1,ours_chain_context:gemini_3.1_pro_preview:h21_jtag_auth_expansion_scope:rep_1:F-018,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h21_jtag_auth_expansion_scope,hackatdac21,H21-004,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_access_lock_scope,hackatdac21,H21-005,TP,1,ours_chain_context:gemini_3.1_pro_preview:h21_access_lock_scope:rep_1:F-019,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h21_jtag_auth_expansion_scope,hackatdac21,H21-007,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-009,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-012,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_crypto_security_scope,hackatdac21,H21-013,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_jtag_auth_expansion_scope,hackatdac21,H21-030,TP,1,ours_chain_context:gemini_3.1_pro_preview:h21_jtag_auth_expansion_scope:rep_1:F-001,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h21_dma_pkt_scope,hackatdac21,H21-031,TP,1,ours_chain_context:gemini_3.1_pro_preview:h21_dma_pkt_scope:rep_1:F-008,Sufficient,
gemini_3.1_pro_preview,ours_chain_context,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-032,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-033,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-034,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_access_lock_scope,hackatdac21,H21-035,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_crypto_security_scope,hackatdac21,H21-036,FN,,,,
gemini_3.1_pro_preview,ours_chain_context,h21_crypto_security_scope,hackatdac21,H21-039,FN,,,,
