run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,F-001,h21_crypto_security_scope,Inconsistent debug_mode key clearing across crypto wrappers — certain key slots remain readable in debug mode while others are zeroed,piton/design/chip/tile/ariane/src/aes0/aes0_wrapper.sv; piton/design/chip/tile/ariane/src/aes2/aes2_wrapper.sv; piton/design/chip/tile/ariane/src/aes1/aes1_wrapper.sv; piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,aes0_wrapper; aes2_wrapper; aes1_wrapper; hmac_wrapper; riscv_peripherals,"key_big2, key_big0, key_big1; cii_K0, cii_K1, cii_K2; core_key0, core_key1, core_key2; key, ikey_hash, okey_hash; key_big0, key_big1, key_big2; debug_mode_i",H21-047,TP,Sufficient,high,no,no,no,no,no,Correctly identifies AES0 key_big2 not cleared in debug; also mentions AES1 core_key1 but counted at finding level as H21-047.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,F-002,h21_crypto_security_scope,"we_flag signals can forcibly override access control and register lock protections, potentially bypassing the permission system",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,"we_flag, acc_ctrl_o; we_flag_1, reglk_ctrl; acc_ctrl_o; reglk_ctrl_i; we_flag_0..4",,FP,Insufficient,medium,yes,yes,no,no,yes,we_flag override not visible crypto GT unless tied to specific AES2/HMAC user access case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,F-003,h21_crypto_security_scope,"Copy-paste index bug in reglk_wrapper write path — writing to reglk_mem[2] reads back reglk_mem[3] in the locked case, corrupting data and potentially bypassing lock",piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[2]; reglk_mem write case,,FP,Insufficient,high,yes,yes,no,no,yes,reglk_wrapper index bug not visible crypto GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,F-004,h21_crypto_security_scope,"acct_wrapper outputs only 3 of its access control entries; the remaining entries may be non-functional, reducing effective access control coverage",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,"acct_mem, acc_ctrl_o; acc_ctrl_c, acc_ctrl; AcCt_MEM_SIZE; acc_ctrl_o; acc_ctrl_c",,FP,Insufficient,medium,yes,yes,no,no,yes,ACCT width coverage issue not visible crypto GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_2,FIND-001,h21_crypto_security_scope,"External we_flag signals bypass access control and register lock mechanisms, enabling unauthorized access to cryptographic peripherals and key material.",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,"acc_ctrl_o, we_flag; we_flag_1, reglk_ctrl_i; we_flag_0; we_flag_0, we_flag_1, we_flag_2, we_flag_3, we_flag_4; assign acc_ctrl_o; i_acct_wrapper instantiation; reglk_ctrl wiring; module port declarations",,FP,Insufficient,high,yes,yes,no,no,yes,we_flag broad bypass not matched to specific crypto GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_2,FIND-002,h21_crypto_security_scope,Coarse-grained access control in crypto peripherals grants all-or-nothing access to key material and control registers.,piton/design/chip/tile/ariane/src/aes0/aes0_wrapper.sv; piton/design/chip/tile/ariane/src/aes1/aes1_wrapper.sv; piton/design/chip/tile/ariane/src/aes2/aes2_wrapper.sv; piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv; piton/design/chip/tile/ariane/src/sha256/sha256_wrapper.sv,aes0_wrapper; aes1_wrapper; aes2_wrapper; hmac_wrapper; sha256_wrapper,"en, acct_ctrl_i; assign en",H21-073,Partial,Insufficient,medium,yes,yes,no,no,yes,Coarse crypto access-control finding is related to AES/HMAC user access but does not cite reset-all-ones access matrix for AES2/HMAC separately.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_2,FIND-003,h21_crypto_security_scope,Potential register lock bypass due to incorrect indexing in REGLK wrapper write-side logic.,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,"reglk_mem[2], reglk_mem[3]; write case for address 2",,FP,Insufficient,medium,yes,yes,no,no,yes,reglk wrapper bug not visible crypto GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_3,F001,h21_crypto_security_scope,"Inconsistent cryptographic key zeroing in debug mode — certain key registers in aes0_wrapper, aes1_wrapper, and hmac_wrapper are not zeroed when debug_mode_i is asserted, potentially exposing secret key material through debug/JTAG interfaces.",piton/design/chip/tile/ariane/src/aes0/aes0_wrapper.sv; piton/design/chip/tile/ariane/src/aes1/aes1_wrapper.sv; piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv,aes0_wrapper; aes1_wrapper; hmac_wrapper,"key_big2, key2; core_key1, key_reg1; ikey_hash, ikey_hash_bytes; key_big0, key_big1 assignment; core_key0, core_key1, core_key2 assignment; key, ikey_hash, okey_hash assignment",H21-047,TP,Sufficient,high,no,no,no,no,no,Correctly identifies AES0 key_big2 and AES1 core_key1 not zeroed in debug; counted at finding level as H21-047.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_3,F002,h21_crypto_security_scope,"JTAG unlock signal (jtag_unlock) resets all register lock bits in reglk_wrapper, creating a hardware backdoor that bypasses software-configured peripheral register protections.",piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,"reglk_mem, jtag_unlock; reset condition for reglk_mem",,FP,Sufficient,high,yes,no,no,no,no,"JTAG unlock clearing reglocks belongs to access_lock scope, not crypto scope."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_3,F003,h21_crypto_security_scope,"Access control self-modification risk: the acct_wrapper controls its own access via acct_ctrl_i derived from acc_ctrl_c[priv_lvl_i][6], creating a circular dependency where compromised software could lock out higher privilege levels or grant itself additional permissions.",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,"en, acct_ctrl_i; acct_ctrl_i, acc_ctrl_c; en signal; acct_wrapper instantiation",,FP,Insufficient,medium,yes,yes,no,no,yes,ACCT self-modification not visible crypto GT.
