run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_1,F-001,h19_access_control_fabric_scope,"ROM2 secure registers are writable at runtime via bus interface, allowing overwrite of cryptographic keys and access control configuration",src/rom2/rom2.sv,rom2,secure_reg; mem; always_ff block; port declarations,,FP,Insufficient,high,yes,yes,no,no,yes,No match to visible GT case under current scope criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_1,F-002,h19_access_control_fabric_scope,Hardcoded connectivity mapping bypass grants PLIC (index 6) the access rights of CLINT (index 7),src/axi_node/src/axi_node_intf_wrap.sv; tb/ariane_soc_pkg.sv,connectivity_mapping; ariane_soc,connectivity_map_o; assign connectivity_map_o; axi_slaves_t enum,H19-001,TP,Sufficient,medium,no,no,no,no,no,Correctly identifies PLIC access granted through CLINT permission bit and cites connectivity map/index relation.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_1,F-003,h19_access_control_fabric_scope,priv_lvl_i signal used as array index without bounds validation in access control lookup,src/axi_node/src/axi_node_intf_wrap.sv,connectivity_mapping,priv_lvl_i; module parameters and ports; assign connectivity_map_o,,FP,Insufficient,low,yes,yes,no,no,yes,No match to visible GT case under current scope criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_2,F1,h19_access_control_fabric_scope,"ROM2 secure key storage is freely writeable over the bus interface with no privilege check, allowing any bus master to overwrite AES keys, JTAG keys, and access control configuration.",src/rom2/rom2.sv; tb/ariane_testharness.sv; tb/ariane_soc_pkg.sv,rom2; ariane_testharness; ariane_soc,secure_reg; mem (constant key values); rom2_fuse; ROM2Base; always_ff block; mem constant array; secure_reg output port; rom2_fuse port connection,,FP,Insufficient,high,yes,yes,no,no,yes,No match to visible GT case under current scope criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_2,F2,h19_access_control_fabric_scope,"Access control connectivity map is derived from writeable ROM2 registers, meaning the entire access control fabric can be bypassed by rewriting the access control configuration in ROM2.",src/axi_node/src/axi_node_intf_wrap.sv; tb/ariane_testharness.sv; src/rom2/rom2.sv,connectivity_mapping; axi_node_intf_wrap; ariane_testharness; rom2,"connectivity_map_o; access_ctrl_i, priv_lvl_i; access_ctrl_reg; access_ctrl; assign connectivity_map_o[i][j]; access_ctrl derivation from access_ctrl_reg; mem[2] and mem[3]",,FP,Insufficient,high,yes,yes,no,no,yes,No match to visible GT case under current scope criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_3,F-01,h19_access_control_fabric_scope,"ROM2 secure key registers are writable via AXI bus with no access control or privilege check, allowing any bus master to overwrite cryptographic keys and access-control masks.",src/rom2/rom2.sv; tb/ariane_testharness.sv,rom2; ariane_testharness,secure_reg; rom2_fuse (connected to master[ariane_soc::ROM2]); always_ff block; i_rom2 instantiation; assign rdata_o,,FP,Insufficient,high,yes,yes,no,no,yes,No match to visible GT case under current scope criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_3,F-02,h19_access_control_fabric_scope,"connectivity_map generation in axi_node_intf_wrap contains a hard-coded special case granting master index 7 access when master index 6 has access for any target, potentially enabling privilege escalation.",src/axi_node/src/axi_node_intf_wrap.sv,connectivity_mapping,connectivity_map_o; assign connectivity_map_o[i][j] = access_ctrl_i[i][j][priv_lvl_i] || ((j==6) && access_ctrl_i[i][7][priv_lvl_i]);,H19-001,TP,Sufficient,medium,no,no,no,no,no,Correctly identifies PLIC access granted through CLINT permission bit and cites connectivity map/index relation.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_3,F-03,h19_access_control_fabric_scope,"access_ctrl_reg bitfield extraction in the test harness may not properly constrain access for peripheral indices beyond the register width, leading to undefined or unintended permissions.",tb/ariane_testharness.sv,ariane_testharness,access_ctrl_reg; access_ctrl; logic [1:0][47:0] access_ctrl_reg;; assign access_ctrl[i][j] = access_ctrl_reg[i][4*j +: 4];,,FP,Insufficient,medium,yes,yes,no,no,yes,No match to visible GT case under current scope criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_3,F-04,h19_access_control_fabric_scope,"JTAG key signal jtag_key is declared but left unconnected (undriven) in the test harness, meaning the dmi_jtag module receives an unknown/zero key, potentially disabling JTAG authentication.",tb/ariane_testharness.sv,ariane_testharness,jtag_key; jtag_key (port connection); logic [31:0] jtag_key;; .jtag_key ( jtag_key ),,FP,Insufficient,high,yes,yes,no,no,yes,No match to visible GT case under current scope criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_1,FINDING-001,h19_access_control_fabric_scope,CLINT permission implicitly grants PLIC access due to hard-coded permission alias in the AXI connectivity mapping.,src/axi_node/src/axi_node_intf_wrap.sv; tb/ariane_soc_pkg.sv,connectivity_mapping; ariane_soc package; axi_node_intf_wrap,"connectivity_map_o; access_ctrl_i; axi_slaves_t enum: PLIC, CLINT; axi_slaves_t; cfg_connectivity_map_i",H19-001,TP,Sufficient,high,no,no,no,no,no,Correct PLIC/CLINT hard-coded permission alias.
