scope_id,benchmark,rtl_files,graph_loc_approx,graph_modules,graph_instances,graph_signals,graph_statements,graph_nodes,graph_edges,graph_scale_nodes_edges,context_count,source_snippet_count,context_chain_nodes,context_chain_edges,context_scale_nodes_edges,source_snippet_chars,context_file_mb,avg_chain_nodes,avg_chain_edges,avg_source_snippets,model_id,provider,model,status,runtime_seconds,llm_call_count,input_tokens,output_tokens,total_tokens,final_finding_count,raw_llm_finding_count,discarded_finding_count
hackatdac18__debug_jtag_scope,Hack@DAC18,21,8779,21,53,1488,0,3007,10902,13909,55,429,3480,3433,6913,768881,3.74761962890625,63.27272727272727,62.41818181818182,7.8,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,1311.2030000000086,55,1481696,146288,1627984,29,34,5
hackatdac18__fc_core_security_scope,Hack@DAC18,16,5803,15,24,948,0,2110,8594,10704,128,2049,9719,5067,14786,3004508,10.340482711791992,75.9296875,39.5859375,16.0078125,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,4540.625,128,3934671,550373,4485044,52,57,5
hackatdac18__gpio_apb_scope,Hack@DAC18,14,6455,14,74,1123,0,2152,4780,6932,65,590,3616,4533,8149,1173475,4.5153656005859375,55.63076923076923,69.73846153846154,9.076923076923077,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,1045.625,65,1757671,100761,1858432,25,25,0
hackatdac19__h19_access_control_fabric_scope,Hack@DAC19,3,1094,4,20,269,0,467,759,1226,17,34,823,230,1053,101704,0.6808528900146484,48.411764705882355,13.529411764705882,2.0,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,166.6869999999908,17,263448,14103,277551,2,2,0
hackatdac19__h19_aes_rom2_security_scope,Hack@DAC19,6,2504,7,40,422,0,722,1007,1729,36,174,1496,1155,2651,276979,1.4748544692993164,41.55555555555556,32.083333333333336,4.833333333333333,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,541.7350000000006,36,560177,51493,611670,16,17,1
hackatdac19__h19_csr_privilege_scope,Hack@DAC19,2,1862,2,12,333,0,759,8197,8956,62,885,4868,321,5189,1458111,4.161815643310547,78.51612903225806,5.17741935483871,14.274193548387096,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,2305.0149999999994,62,1505637,269307,1774944,51,54,3
hackatdac19__h19_debug_jtag_scope,Hack@DAC19,8,4114,8,46,787,0,1664,12140,13804,91,709,5170,2936,8106,1165676,4.6807050704956055,56.81318681318681,32.26373626373626,7.791208791208791,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,1838.7190000000119,91,1775608,202470,1978078,52,60,9
hackatdac19__h19_jtag_debug_expansion_scope,Hack@DAC19,11,5916,11,86,1119,0,2139,12377,14516,93,997,5334,3190,8524,1390582,5.198879241943359,57.354838709677416,34.30107526881721,10.720430107526882,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,2162.7189999999973,93,1943520,239480,2183000,54,60,7
hackatdac21__h21_access_lock_scope,Hack@DAC21,5,2711,5,45,223,0,1077,2691,3768,69,620,3718,4833,8551,633316,4.294268608093262,53.88405797101449,70.04347826086956,8.985507246376812,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,2184.561999999991,69,1616848,243265,1860113,42,51,11
hackatdac21__h21_access_reglock_reset_expansion_scope,Hack@DAC21,5,2603,5,44,225,0,1031,2196,3227,61,575,3644,4411,8055,706201,4.223033905029297,59.73770491803279,72.31147540983606,9.426229508196721,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,2062.969000000012,61,1578390,220979,1799369,33,39,7
hackatdac21__h21_crypto_security_scope,Hack@DAC21,8,3562,8,50,358,0,1443,4255,5698,111,1404,6611,5819,12430,1342514,7.320169448852539,59.55855855855856,52.42342342342342,12.64864864864865,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,3721.4689999999973,111,2793791,436320,3230111,62,79,20
hackatdac21__h21_dma_pkt_scope,Hack@DAC21,5,2591,5,46,221,0,993,2122,3115,57,487,2598,3412,6010,463487,3.0637760162353516,45.578947368421055,59.85964912280702,8.543859649122806,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,1718.827999999994,57,1158397,191922,1350319,30,34,6
hackatdac21__h21_dma_pmp_expansion_scope,Hack@DAC21,6,2910,6,45,268,0,1143,2831,3974,43,216,2057,2188,4245,298149,2.156667709350586,47.83720930232558,50.883720930232556,5.023255813953488,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,1291.0939999999973,43,818450,137323,955773,18,21,5
hackatdac21__h21_fuse_rng_rsa_expansion_scope,Hack@DAC21,14,3864,14,51,377,0,1516,4118,5634,86,933,5375,5808,11183,1005214,6.0288591384887695,62.5,67.53488372093024,10.848837209302326,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,3257.8280000000086,86,2291220,367051,2658271,57,60,3
hackatdac21__h21_jtag_auth_expansion_scope,Hack@DAC21,6,3045,6,47,330,0,1230,3467,4697,75,414,3868,4760,8628,573796,4.065528869628906,51.57333333333333,63.46666666666667,5.52,gemini_3.1_pro_preview,gemini,gemini-3.1-pro-preview,success,2212.327999999994,75,1597398,245314,1842712,36,43,8
