run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-004,visible,TP,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-005,visible,FN,,No finding identifies reset clearing r_gpio_lock and breaking lock-state lifecycle.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-001,visible,FN,,No finding identifies the UDMA/SPI master versus SoC control address-range overlap.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-006,visible,FN,,No finding identifies APB/peripheral address aliasing through interconnect and APB node selection.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-008,visible,FN,,"No finding identifies GPIO, UDMA/SPI, and SoC control APB range overlap.",FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-004,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-005,visible,FN,,No finding identifies reset clearing r_gpio_lock and breaking lock-state lifecycle.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-001,visible,FN,,No finding identifies the UDMA/SPI master versus SoC control address-range overlap.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-006,visible,FN,,No finding identifies APB/peripheral address aliasing through interconnect and APB node selection.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-008,visible,FN,,"No finding identifies GPIO, UDMA/SPI, and SoC control APB range overlap.",FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-004,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-005,visible,FN,,No finding identifies reset clearing r_gpio_lock and breaking lock-state lifecycle.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-001,visible,FN,,No finding identifies the UDMA/SPI master versus SoC control address-range overlap.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-006,visible,FN,,No finding identifies APB/peripheral address aliasing through interconnect and APB node selection.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-008,visible,FN,,"No finding identifies GPIO, UDMA/SPI, and SoC control APB range overlap.",FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-004,visible,TP,GPIO_APB_LOCK_BYPASS_MUTABLE_LOCK,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-005,visible,FN,,No finding identifies reset clearing r_gpio_lock and breaking lock-state lifecycle.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-001,visible,Partial,GPIO_APB_OVERLAPPING_ADDRESS_DECODE,,"Overlap finding contains correct APB range/decoder evidence, but does not separately articulate this GT case with full case-specific detail."
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-006,visible,Partial,GPIO_APB_OVERLAPPING_ADDRESS_DECODE,,"Overlap finding contains correct APB range/decoder evidence, but does not separately articulate this GT case with full case-specific detail."
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,hackatdac18,H18-008,visible,TP,GPIO_APB_OVERLAPPING_ADDRESS_DECODE,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-004,visible,Partial,GPIO_APB_PERMISSION_001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-005,visible,FN,,No finding identifies reset clearing r_gpio_lock and breaking lock-state lifecycle.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-001,visible,FN,,No finding identifies the UDMA/SPI master versus SoC control address-range overlap.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-006,visible,FN,,No finding identifies APB/peripheral address aliasing through interconnect and APB node selection.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,hackatdac18,H18-008,visible,FN,,"No finding identifies GPIO, UDMA/SPI, and SoC control APB range overlap.",FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-004,visible,FN,,No finding identifies REG_GPIOLOCK/r_gpio_lock as directly software-writable.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-005,visible,FN,,No finding identifies reset clearing r_gpio_lock and breaking lock-state lifecycle.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-001,visible,FN,,No finding identifies the UDMA/SPI master versus SoC control address-range overlap.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-006,visible,FN,,No finding identifies APB/peripheral address aliasing through interconnect and APB node selection.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,hackatdac18,H18-008,visible,FN,,"No finding identifies GPIO, UDMA/SPI, and SoC control APB range overlap.",FN under current GT hit criteria.
