run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-005,visible,FN,,No matched finding for H21-005.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-035,visible,FN,,No matched finding for H21-035.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-042,visible,Partial,SEC-004,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-043,visible,FN,,No matched finding for H21-043.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-048,visible,FN,,No matched finding for H21-048.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-049,visible,FN,,No matched finding for H21-049.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-099,visible,FN,,No matched finding for H21-099.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-005,visible,TP,F-03,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-035,visible,FN,,No matched finding for H21-035.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-042,visible,TP,F-04,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-043,visible,TP,F-05,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-048,visible,FN,,No matched finding for H21-048.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-049,visible,TP,F-02,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-099,visible,FN,,No matched finding for H21-099.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-005,visible,FN,,No matched finding for H21-005.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-035,visible,FN,,No matched finding for H21-035.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-042,visible,FN,,No matched finding for H21-042.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-043,visible,FN,,No matched finding for H21-043.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-048,visible,FN,,No matched finding for H21-048.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-049,visible,TP,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-099,visible,FN,,No matched finding for H21-099.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-005,visible,FN,,No matched finding for H21-005.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-035,visible,FN,,No matched finding for H21-035.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-042,visible,TP,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-043,visible,FN,,No matched finding for H21-043.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-048,visible,TP,FINDING-004,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-049,visible,FN,,No matched finding for H21-049.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,hackatdac21,H21-099,visible,FN,,No matched finding for H21-099.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-005,visible,FN,,No matched finding for H21-005.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-035,visible,FN,,No matched finding for H21-035.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-042,visible,TP,FINDING-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-043,visible,FN,,No matched finding for H21-043.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-048,visible,FN,,No matched finding for H21-048.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-049,visible,FN,,No matched finding for H21-049.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_2,h21_access_lock_scope,hackatdac21,H21-099,visible,FN,,No matched finding for H21-099.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-005,visible,TP,F1,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-035,visible,FN,,No matched finding for H21-035.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-042,visible,TP,F3,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-043,visible,FN,,No matched finding for H21-043.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-048,visible,TP,F4,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-049,visible,FN,,No matched finding for H21-049.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_3,h21_access_lock_scope,hackatdac21,H21-099,visible,FN,,No matched finding for H21-099.,FN under current GT criteria.
