run_id,batch_id,input_scope,agent_mode,model_family,model_version,provider,method_name,prompt_version,temperature,max_output_tokens,tool_policy,run_index,started_at,completed_at,output_path,trace_path,notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T21:23:15.912469+08:00,2026-06-02T21:25:40.343432+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T21:25:40.353703+08:00,2026-06-02T21:28:14.310120+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T21:28:14.320847+08:00,2026-06-02T21:30:48.888485+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_fc_core_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T21:30:48.900488+08:00,2026-06-02T21:34:00.342404+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_fc_core_security_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_fc_core_security_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_fc_core_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T21:34:00.349424+08:00,2026-06-02T21:37:26.991057+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_fc_core_security_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_fc_core_security_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_fc_core_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-03T02:00:59.485620+08:00,2026-06-03T02:04:00.167408+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_fc_core_security_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_fc_core_security_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T21:39:24.351388+08:00,2026-06-02T21:42:41.975430+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_gpio_apb_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_gpio_apb_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T21:42:41.981941+08:00,2026-06-02T21:45:22.370828+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_gpio_apb_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_gpio_apb_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T21:45:22.377829+08:00,2026-06-02T21:47:53.441793+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_gpio_apb_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_gpio_apb_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_access_control_fabric_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T21:47:53.453006+08:00,2026-06-02T21:50:17.672817+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_1\tool_trace.jsonl,
