finding_uid,model_family,method_name,input_scope,repetition,run_id,finding_id,summary,matched_case_id,detection_match,duplicate_of_finding_uid,evidence_quality,fp_cluster_id,cluster_scoring_role,review_notes,final_answer_path
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-001,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-001,Hardcoded AXI PROT signals grant the debug interface unconditional access to Secure memory regions.,,FP,,Sufficient,FPC-0001,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-002,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-002,"Hardcoded AXI protection (PROT) signals in the debug interface allow external debuggers to issue Secure memory transactions, potentially bypassing system security boundaries.",,FP,,Sufficient,FPC-0001,FP_CLUSTER_DUP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-003,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-003,"Hardcoded AXI protection signals (PROT) in the debug interface allow external debuggers to issue Secure AXI transactions, potentially bypassing system security policies.",,FP,,Sufficient,FPC-0001,FP_CLUSTER_DUP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-004,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-004,"Hardcoded AXI protection (PROT) signals grant Secure access to the debug interface, potentially allowing unauthorized access to protected memory.",,FP,,Sufficient,FPC-0001,FP_CLUSTER_DUP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-005,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-005,Hardcoded AXI protection attributes allow the debug interface to unconditionally issue Secure accesses.,,FP,,Sufficient,FPC-0001,FP_CLUSTER_DUP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-006,"The Debug AXI Bus Interface Unit (adbg_axi_biu) hardcodes AXI protection signals (axi_master_aw_prot and axi_master_ar_prot) to 'h0, marking all debug transactions as Secure and potentially allowing unauthenticated debuggers to bypass system security boundaries.",H18-028,TP,,Sufficient,,TP,Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-007,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-007,Unprotected JTAG debug interface allows unauthorized internal system bus access without authentication.,H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,,TP_DUPLICATE,Duplicate of ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-008,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-008,Unprotected JTAG debug interface allows arbitrary system memory and CPU state access without authentication.,H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,,TP_DUPLICATE,Duplicate of ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-009,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-009,Unauthenticated JTAG debug interface allows complete system compromise by exposing CPU debug controls and AXI memory access without any access control or authorization.,H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,,TP_DUPLICATE,Duplicate of ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-010,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,F-010,Unauthenticated JTAG debug interface allows arbitrary access to CPU internal registers and execution control.,H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,,TP_DUPLICATE,Duplicate of ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
