model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-001,FN,,,,
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-004,TP,3,proposed:gpt_5_5:h18_gpio_apb_scope:rep_3:F6,Insufficient,
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-005,TP,1,proposed:gpt_5_5:h18_gpio_apb_scope:rep_1:F7,Sufficient,
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-006,TP,1;2;3,proposed:gpt_5_5:h18_gpio_apb_scope:rep_2:F6,Sufficient,
gpt_5_5,proposed,h18_gpio_apb_scope,hackatdac18,H18-008,TP,1;2;3,proposed:gpt_5_5:h18_gpio_apb_scope:rep_3:F4,Sufficient,
gpt_5_5,proposed,h18_debug_jtag_scope,hackatdac18,H18-009,FN,,,,
gpt_5_5,proposed,h18_debug_jtag_scope,hackatdac18,H18-010,TP,1,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1:F6,Sufficient,
gpt_5_5,proposed,h18_debug_jtag_scope,hackatdac18,H18-012,FN,,,,
gpt_5_5,proposed,h18_fc_core_security_scope,hackatdac18,H18-017,TP,2,proposed:gpt_5_5:h18_fc_core_security_scope:rep_2:F1,Sufficient,
gpt_5_5,proposed,h18_fc_core_security_scope,hackatdac18,H18-025,FN,,,,
gpt_5_5,proposed,h18_fc_core_security_scope,hackatdac18,H18-027,TP,1;2;3,proposed:gpt_5_5:h18_fc_core_security_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h18_debug_jtag_scope,hackatdac18,H18-028,TP,1;2;3,proposed:gpt_5_5:h18_debug_jtag_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h19_access_control_fabric_scope,hackatdac19,H19-001,TP,1;2;3,proposed:gpt_5_5:h19_access_control_fabric_scope:rep_1:F2,Sufficient,
