run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,F-001,h18_debug_jtag_scope,"Unprotected JTAG debug interface allows unauthorized full system access (AXI master + CPU debug) without any authentication, password check, or lock mechanism.",ips/adv_dbg_if/rtl/adv_dbg_if.sv; ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_tap_top.v; rtl/pulpissimo/jtag_tap_top.sv; rtl/pulpissimo/safe_domain.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_defines.v,adv_dbg_if; adbg_top; adbg_tap_top; jtag_tap_top; safe_domain; adbg_axi_module; adbg_defines (include); adbg_defines,"comments referencing PASSWORD, LOCK, UNLOCK; module selection / command processing logic (no auth); // Don't grep for PASSWORD, cheater.; JTAG register control (s_confreg, sel_fll_clk_o) without auth; jtag_tap_top_i instantiation; AXI master interface exposed via JTAG without auth; Module IDs: WISHBONE, CPU0, CPU1, JSP — no security/auth module defined; comment block; comment; module_id_reg, module_selects, input_shift_reg logic; AXI master port instantiation; confreg and soc_jtag_reg_o/sel_fll_clk_o assignment; module ID definitions and feature defines",H18-028,Partial,Insufficient,high,yes,yes,no,no,yes,"Related to unprotected JTAG/debug access, but does not prove the official integrated LINT/JTAG path through pulp_soc/lint_jtag_wrap; it mainly analyzes standalone adv_dbg_if/AXI path and states lint_jtag_wrap was not fully analyzed."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,FINDING-001,h18_debug_jtag_scope,"JTAG debug interface has no authentication, authorization, or access-control mechanism, allowing any JTAG-connected entity full read/write access to all memory-mapped resources and full CPU debug control.",ips/adv_dbg_if/rtl/adv_dbg_if.sv; ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_or1k_module.sv; ips/adv_dbg_if/rtl/adbg_lint_module.sv; rtl/pulpissimo/jtag_tap_top.sv; rtl/pulpissimo/safe_domain.sv; ips/adv_dbg_if/rtl/adbg_tap_top.v; ips/adv_dbg_if/rtl/adbg_defines.v; ips/adv_dbg_if/rtl/adbg_tap_defines.v,adv_dbg_if; adbg_top; adbg_axi_module; adbg_or1k_module; adbg_lint_module; jtag_tap_top; safe_domain; adbg_tap_top; (defines),"module-level; tms_pad_i, tck_pad_i, trstn_pad_i, tdi_pad_i —→ AXI master and CPU debug signals; module-level; bridges JTAG data register to AXI and CPU sub-modules without access checks; module-level; full AXI4 master read/write capability via JTAG, no permission checks; module-level; CPU stall, reset, register r/w, no access control; module-level; LINT bus memory access via JTAG, no access control; soc_tck_o, soc_trstn_o, soc_tms_o, soc_tdi_o — JTAG signals passed through with no gating; jtag_tap_top_i instantiation — JTAG passthrough with no isolation between safe and SoC domains; comments; comment; adbg_top module body; adbg_axi_module body / FSM; adbg_or1k_module body / FSM; continuous assignments; preprocessor defines; JTAG IR opcodes",H18-028,Partial,Insufficient,high,yes,yes,no,no,yes,"Identifies unauthenticated JTAG/debug and mentions LINT, but does not provide the required integration evidence through pulp_soc/lint_jtag_wrap/s_lint_debug_bus; claim is broader than supported path."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,FINDING-001,h18_debug_jtag_scope,JTAG Debug Interface Provides Unauthenticated Full System Memory Access (Missing Debug Authentication),ips/adv_dbg_if/rtl/adv_dbg_if.sv; ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_tap_top.v; rtl/pulpissimo/jtag_tap_top.sv; ips/adv_dbg_if/rtl/adbg_tap_defines.v,adv_dbg_if; adbg_top; adbg_axi_module; adbg_tap_top; jtag_tap_top; adbg_tap_defines,"commented-out PASSWORD placeholder; module_id_reg, select_inhibit; AXI master interface from JTAG; debug_select_o; soc_jtag_reg_o, dbg_axi_scan_in_o; DEBUG instruction (4'b1000)",H18-028,Partial,Insufficient,high,yes,yes,no,no,yes,"Reports unauthenticated JTAG debug through adv_dbg_if/AXI, but misses the official JTAG-to-LINT integrated path and does not cite pulp_soc/lint_jtag_wrap evidence."
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,RTL-JTAG-LINT-UNAUTH-001,h18_debug_jtag_scope,Integrated JTAG debug path can issue internal LINT bus read/write transactions without visible authorization.,rtl/pulpissimo/pulpissimo.sv; rtl/pulpissimo/jtag_tap_top.sv; ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv; ips/pulp_soc/rtl/pulp_soc/lint_jtag_wrap.sv; ips/adv_dbg_if/rtl/adbg_lintonly_top.sv; ips/adv_dbg_if/rtl/adbg_lint_biu.sv; ips/adv_dbg_if/rtl/adbg_lint_defines.v,pulpissimo; jtag_tap_top; pulp_soc; lint_jtag_wrap; adbg_lintonly_top; adbg_lint_biu; adbg_lint_module/adbg_lint_biu,"pad_jtag_tck, pad_jtag_tdi, pad_jtag_tdo, pad_jtag_tms, pad_jtag_trst; axireg_sel_o, dbg_axi_scan_in_o, dbg_axi_scan_out_i; jtag_axireg_sel_i, s_lint_debug_bus; lint_select_i, jtag_lint_master; debug_select_i, input_shift_reg, module_id_reg; lint_req_o, lint_add_o, lint_wen_o, lint_wdata_o, lint_be_o; axireg_sel_o; jtag_tck_i, jtag_trst_ni, jtag_tms_i, jtag_td_i, jtag_shift_dr_i, jtag_update_dr_i, jtag_capture_dr_i, jtag_axireg_sel_i, jtag_axireg_tdi_i, jtag_axireg_tdo_o; jtag_axireg_sel_i, lint_select_i, s_lint_debug_bus; debug_select_i, lint_req_o, lint_add_o, lint_wen_o, lint_wdata_o, lint_be_o; DBG_LINT_CMD_BWRITE*, DBG_LINT_CMD_BREAD*; lint_add_o, lint_wdata_o, lint_be_o, lint_req_o, lint_wen_o",H18-028,TP,Sufficient,high,no,no,no,no,no,Correctly identifies the official unprotected JTAG-to-LINT debug path and cites pulp_soc/lint_jtag_wrap/adbg_lintonly_top/adbg_lint_biu evidence.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,RTL-JTAG-AXI-UNAUTH-002,h18_debug_jtag_scope,Standalone Advanced Debug Interface IP exposes JTAG-controlled AXI/CPU debug functionality without visible authorization.,ips/adv_dbg_if/rtl/adv_dbg_if.sv; ips/adv_dbg_if/rtl/adbg_tap_defines.v; ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_axi_biu.sv; ips/adv_dbg_if/rtl/adbg_axi_defines.v,adv_dbg_if; adbg_tap_top; adbg_top; adbg_axi_biu; adbg_axi_module,"tms_pad_i, tck_pad_i, trstn_pad_i, tdi_pad_i, tdo_pad_o; DEBUG instruction; debug_select_i, input_shift_reg, module_id_reg; axi_master_aw_valid, axi_master_ar_valid, axi_master_w_valid; DBG_AXI_CMD_BWRITE*, DBG_AXI_CMD_BREAD*; JTAG pads and dbg_module_i; `DEBUG 4'b1000; module_id_reg, input_shift_reg; module_selects, tdo_axi, tdo_cpu",,FP,Insufficient,medium,yes,yes,no,no,no,Conditional standalone adv_dbg_if AXI/CPU warning is not an official visible GT case in this scope and is explicitly not proven integrated in the top-level path.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_2,PERM-JTAG-UNAUTH-001,h18_debug_jtag_scope,"Unauthenticated JTAG DEBUG path can drive privileged debug modules, including AXI bus read/write and CPU debug controls.",ips/adv_dbg_if/rtl/adv_dbg_if.sv; ips/adv_dbg_if/rtl/adbg_tap_top.v; ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_axi_defines.v; .,adv_dbg_if; adbg_tap_top; adbg_top; adbg_axi_module; adbg_axi_defines; multiple,"tms_pad_i, tck_pad_i, trstn_pad_i, tdi_pad_i, tdo_pad_o, s_debug_select, s_debug_tdo; latched_jtag_ir, debug_select_o, debug_tdo_i; debug_select_i, input_shift_reg, module_id_reg, module_selects; module_select_i to adbg_axi_module/adbg_or1k_module; data_register_i, operation_in, burst_write, burst_read; axi_biu_i.addr_i(address_counter); DBG_AXI_CMD_BWRITE*, DBG_AXI_CMD_BREAD*, DBG_AXI_CMD_IREG_*; cluster_tap_i JTAG/debug wiring; dbg_module_i debug_select_i wiring; DEBUG instruction decode and TDO mux; debug_select_o / tdo_mux_out; module_id_reg selection logic; module_selects; submodule module_select_i connections; operation_in, burst_write, burst_read; axi_biu_i .addr_i(address_counter); auth/jtag_enable/secure searches; PASSWORD comments",H18-028,Partial,Insufficient,high,yes,yes,no,no,yes,Finds unauthenticated JTAG DEBUG path but focuses on standalone adv_dbg_if/AXI/CPU path; it does not establish the official integrated LINT bus path for H18-028.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_3,PERM-JTAG-UNAUTH-DEBUG-BUS-001,h18_debug_jtag_scope,Externally reachable JTAG debug path provides unauthenticated bus-master read/write access.,rtl/pulpissimo/pulpissimo.sv; rtl/pulpissimo/jtag_tap_top.sv; ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv; ips/pulp_soc/rtl/pulp_soc/lint_jtag_wrap.sv; ips/adv_dbg_if/rtl/adbg_lintonly_top.sv; ips/adv_dbg_if/rtl/adbg_lint_module.sv; ips/adv_dbg_if/rtl/adbg_lint_biu.sv; ips/adv_dbg_if/rtl/adbg_lint_defines.v; ips/adv_dbg_if/rtl/adv_dbg_if.sv,pulpissimo; jtag_tap_top; pulp_soc; lint_jtag_wrap; adbg_lintonly_top; adbg_lint_module; adbg_lint_biu; adbg_lint_defines; adv_dbg_if,"pad_jtag_tck, pad_jtag_tdi, pad_jtag_tdo, pad_jtag_tms, pad_jtag_trst; s_axireg_sel, s_axireg_tdi, s_axireg_tdo / jtag_axireg_*; tap_top axireg_sel_o, scan_in_o, axireg_out_i; i_lint_jtag, jtag_axireg_sel_i, s_lint_debug_bus; debug_select_i, jtag_lint_master.req/add/wen/wdata/be; module_id_reg, input_shift_reg; burst_write, burst_read, biu_strobe; lint_req_o, lint_add_o, lint_wen_o, lint_wdata_o, lint_be_o; pad_jtag_tck/pad_jtag_tdi/pad_jtag_tdo/pad_jtag_tms/pad_jtag_trst; jtag_axireg_sel_i, jtag_axireg_tdi_i, jtag_axireg_tdo_o; soc_tck_o/soc_trstn_o/soc_tms_o/soc_tdi_o, tap_top_i.axireg_sel_o, scan_in_o, axireg_out_i; jtag_tck_i, jtag_axireg_tdi_i, jtag_axireg_sel_i, i_lint_jtag; jtag_lint_master.req/add/wen/wdata/be; lint_debug(s_lint_debug_bus); DBG_LINT_CMD_BWRITE*, DBG_LINT_CMD_BREAD*; lint_add_o, lint_wdata_o, lint_be_o, lint_req_o, lint_wen_o; PASSWORD comments",H18-028,TP,Sufficient,high,no,no,no,no,no,Correctly traces external JTAG pads through jtag_tap_top/pulp_soc/lint_jtag_wrap/adbg_lintonly_top/adbg_lint_module/adbg_lint_biu to bus-master read/write access.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-01,h18_fc_core_security_scope,"Privilege levels are hardwired/forced to Machine-mode, eliminating privilege separation. The core always runs in supervisor mode (supervisor_mode_o = 1'b1) and MSTATUS.MPP is forced to PRIV_LVL_M on every CSR write, preventing any user-mode or supervisor-mode isolation.",ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/zero-riscy/zeroriscy_cs_registers.sv,fc_subsystem; zeroriscy_cs_registers,supervisor_mode_o; mstatus_n,H18-025,Partial,Insufficient,high,yes,yes,no,no,yes,"Related to CSR/privilege state, but does not show the zero-riscy decoder CSR instruction path and privileged CSR target mediation required for H18-025."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-02,h18_fc_core_security_scope,"Secure interrupt handling is completely disabled. The core_secure_mode_i input to the interrupt controller is tied to 0, and the core_irq_sec_o output from the interrupt controller is left unconnected. The secure interrupt channel is non-functional.",ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,fc_subsystem; apb_interrupt_cntrl,"core_secure_mode_i; core_irq_sec_o; irq_sec_i; core_irq_sec_o, core_secure_mode_i; fc_eu_i instantiation; riscv_core instantiation",H18-027,Partial,Insufficient,high,yes,yes,no,no,yes,"Mentions secure interrupt signals tied/unused, but does not clearly prove APB write paths to r_mask/r_int/r_ack lack core_secure_mode_i gating."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-03,h18_fc_core_security_scope,The SCM (Standard Cell Memory) is accessible through two different address ranges: a primary range at 0x1C00_6000-0x1C00_7FFF and an alias range at 0x0000_6000-0x0000_7FFF. This dual address mapping can bypass memory protection mechanisms that only check one address range.,rtl/includes/soc_bus_defines.sv; ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/pulp_soc/rtl/fc/fc_demux.sv,soc_bus_defines; fc_subsystem; fc_demux,"SOC_L2_PRI_CH0_SCM, ALIAS_SOC_L2_PRI_CH0_SCM; is_scm_instr_req, is_scm_data_req; port_sel_i; SCM address defines; is_scm_instr_req; is_scm_data_req",,FP,Insufficient,medium,yes,yes,no,no,yes,SCM aliasing is not a visible GT case for this scope.
