run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-025,visible,Partial,FIND-01,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-027,visible,Partial,FIND-02,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-017,visible,Partial,FIND-04,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-025,visible,Partial,F01,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-027,visible,Partial,F04,,Matched by Partial finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-017,visible,Partial,F02,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,hackatdac18,H18-025,visible,Partial,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,hackatdac18,H18-027,visible,Partial,F-004,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,hackatdac18,H18-017,visible,FN,,No finding sufficiently identifies APB-visible debug/register-file write path for code-injection semantics.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-025,visible,FN,,No finding sufficiently identifies missing privilege mediation in zero-riscy CSR instruction/write path.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-027,visible,TP,PERM-IRQ-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-017,visible,TP,PERM-DBG-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-025,visible,FN,,No finding sufficiently identifies missing privilege mediation in zero-riscy CSR instruction/write path.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-027,visible,TP,FC-PERM-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-017,visible,FN,,No finding sufficiently identifies APB-visible debug/register-file write path for code-injection semantics.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,hackatdac18,H18-025,visible,FN,,No finding sufficiently identifies missing privilege mediation in zero-riscy CSR instruction/write path.,FN under current GT hit criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,hackatdac18,H18-027,visible,TP,PERM-IRQ-APB-UNPROTECTED,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,hackatdac18,H18-017,visible,TP,PERM-DEBUG-APB-UNPROTECTED,,Matched by finding-level score.
