model_family,method_name,input_scope,repetition,matched_case_id,detection_match,representative_finding_uid,duplicate_count,fp_count,example_summaries
gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,,FP,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-001,0,19,"Hardcoded AXI PROT signals grant the debug interface unconditional access to Secure memory regions.
---
Hardcoded AXI protection (PROT) signals in the debug interface allow external debuggers to issue Secure memory transactions, potentially bypassing system security boundaries.
---
Hardcoded AXI protection signals (PROT) in the debug interface allow external debuggers to issue Secure AXI transactions, potentially bypassing system security policies.
---
Hardcoded AXI protection (PROT) signals grant Secure access to the debug interface, potentially allowing unauthorized access to protected memory.
---
Hardcoded AXI protection attributes allow the debug interface to unconditionally issue Secure accesses."
gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-007,9,0,"Unprotected JTAG debug interface allows unauthorized internal system bus access without authentication.
---
Unprotected JTAG debug interface allows arbitrary system memory and CPU state access without authentication.
---
Unauthenticated JTAG debug interface allows complete system compromise by exposing CPU debug controls and AXI memory access without any access control or authorization.
---
Unauthenticated JTAG debug interface allows arbitrary access to CPU internal registers and execution control.
---
The Advanced Debug Interface allows unrestricted writes over JTAG to the CPU status register (`status_reg_wr`), lacking any authentication or debug-enable access control. An attacker with JTAG access can halt or stall the processor cores."
gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,H18-028,TP,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,0,0,"The Debug AXI Bus Interface Unit (adbg_axi_biu) hardcodes AXI protection signals (axi_master_aw_prot and axi_master_ar_prot) to 'h0, marking all debug transactions as Secure and potentially allowing unauthenticated debuggers to bypass system security boundaries."
gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,1,,FP,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-001,0,43,"Missing privilege and security checks on APB interrupt control registers allow unauthorized modification of system interrupts.
---
Missing privilege or security access controls on interrupt mask register updates.
---
The APB interrupt controller lacks access control and privilege checks, allowing unrestricted read/write access to all interrupt configuration registers from any bus master.
---
Missing security guard for APB accesses to interrupt control registers, ignoring core_secure_mode_i.
---
The APB interrupt controller lacks privilege and security checks on APB write transactions. It does not utilize the defined `core_secure_mode_i` input or any bus-level protection signals to restrict access to sensitive interrupt configuration registers."
gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,1,H18-017,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-023,6,0,"Debug interface unconditionally bypasses normal CSR access controls, allowing unrestricted read and write access to all Control and Status Registers.
---
The debug interface allows unrestricted, unauthenticated access to the Control and Status Registers (CSR), bypassing normal access controls and privilege checks.
---
The memory-mapped debug unit lacks authentication and hardware guards, allowing any bus master to unconditionally halt the core and access sensitive registers.
---
Unconditional debug write access to the core register file bypassing execution state and privilege checks at the ID stage.
---
The debug unit has unrestricted, overriding access to all Control and Status Registers (CSRs), bypassing standard core privilege checks."
gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,1,H18-017,TP,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-009,0,0,Missing access control guard in the debug unit allows unauthorized readback of debug registers while the core is running.
gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,1,H18-025,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-025,1,0,"The subsystem hardcodes the `supervisor_mode_o` output to `1'b1`, permanently elevating the privilege of all bus transactions. This bypasses system-level memory protections (such as MPU/PMP or AXI AxPROT checks) for any unprivileged User-mode software running on the core."
gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,1,H18-025,TP,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-006,0,0,Missing privilege check in the APB interrupt controller allows unprivileged modification of interrupt masks and states.
gemini_3.1_pro_preview,ours_chain_context,h18_gpio_apb_scope,1,,FP,ours_chain_context:gemini_3.1_pro_preview:h18_gpio_apb_scope:rep_1:F-001,0,18,"The APB FLL interface (apb_fll_if) lacks access control mechanisms such as APB4 PPROT or software lock registers, allowing any master on the APB bus to modify critical system clock frequencies.
---
Destructive lock mechanism and bypassed lock check in GPIO registers
---
Locked GPIO configuration registers are incorrectly cleared to zero upon unauthorized write attempts.
---
Missing APB protection signals (PPROT) and access control guards in apb_soc_ctrl expose critical SoC configuration registers (e.g., JTAG, boot address, pad configuration) to arbitrary modification by any bus master.
---
Missing privilege checks on sensitive SoC control registers allows arbitrary APB bus masters to alter critical system states."
gemini_3.1_pro_preview,ours_chain_context,h18_gpio_apb_scope,1,H18-004,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_gpio_apb_scope:rep_1:F-004,6,0,"The GPIO output register (`r_gpio_out`) can be modified via `REG_PADOUTSET` without verifying the `r_gpio_lock` state, effectively bypassing the locking mechanism.
---
The `apb_gpio` module implements a lock (`r_gpio_lock[2]`) to protect the `r_gpio_out` register from unauthorized writes. However, this lock is bypassed when modifying the register via `REG_PADOUTSET`, allowing arbitrary setting of protected GPIO outputs.
---
The `r_gpio_out` register is protected by `r_gpio_lock[2]` during standard writes via `REG_PADOUT`, but this lock is bypassed when using the `REG_PADOUTSET` register, allowing unauthorized modification of the GPIO output.
---
The GPIO lock mechanism for the output register can be bypassed. Writing to `REG_PADOUT` correctly checks `r_gpio_lock[2]`, but writing to `REG_PADOUTSET` directly modifies `r_gpio_out` without checking the lock.
---
The APB GPIO module bypasses the GPIO lock protection when writing to the REG_PADOUTSET register, allowing unauthorized modification of the locked GPIO output state."
