run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,F-001,h19_debug_jtag_scope,Privilege escalation to Machine mode via JTAG umode_o signal — any authenticated JTAG user forces CPU to Machine mode,src/debug/dmi_jtag.sv; src/csr_regfile.sv,dmi_jtag; csr_regfile,umode_o; priv_lvl_o; umode_o port declaration; umode_o assignment; priv_lvl_o assignment,H19-048,TP,Sufficient,high,no,no,no,no,no,Correct JTAG pass_chk/umode_o to machine privilege path.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,F-002,h19_debug_jtag_scope,"Permanent and irreversible JTAG authentication state — once unlocked, pass_chk can never be cleared",src/debug/dmi_jtag.sv,dmi_jtag,pass_chk; pass_chk declaration; DTM_PASS password checking logic; Sequential and reset logic,H19-051,TP,Sufficient,high,no,no,no,no,no,Correct persistent pass_chk/not cleared state.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,F-003,h19_debug_jtag_scope,"Writable 'fuse' ROM2 — secure keys (JTAG key, AES key, access control config) are modifiable at runtime via AXI bus",src/rom2/rom2.sv; tb/ariane_peripherals.sv,rom2; ariane_peripherals,secure_reg; mem constant (fuse values); always_ff write logic; axi2mem and rom2 instantiation,,FP,Insufficient,high,yes,yes,no,no,yes,ROM2 writable key/access-control issue is not one of the scored debug/JTAG GT cases unless tied to JTAG hardcoded key provenance.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,F-004,h19_debug_jtag_scope,"Trivially weak 32-bit hardcoded JTAG key — publicly visible in source code, insufficient keyspace",src/rom2/rom2.sv; tb/ariane_peripherals.sv,rom2; ariane_peripherals,mem[1] (JTAG key); jtag_key; 192-bit ROM2 entries; jtag_key extraction,H19-054,TP,Sufficient,high,no,no,no,no,no,Correct hardcoded 32-bit JTAG key from ROM2 path; also related to password strength but counted as hardcoded-key case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,F-005,h19_debug_jtag_scope,DMI (non-JTAG) debug path bypasses JTAG authentication entirely — direct debug access without password check,tb/ariane_testharness.sv,ariane_testharness,"debug_req_valid, debug_req, jtag_resp_valid, dmi_resp_valid; SimDTM / dmi_req; debug MUX logic; SimDTM instantiation",,FP,Insufficient,medium,yes,yes,no,no,yes,SimDTM/non-JTAG debug path bypass is not a visible GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,F-006,h19_debug_jtag_scope,Missing access control enforcement on ROM2 writes — no privilege-level or master-ID checking on fuse register writes,src/rom2/rom2.sv; tb/ariane_peripherals.sv,rom2; ariane_peripherals,secure_reg; rom2_fuse AXI slave; Write logic; ROM2 AXI connection,,FP,Insufficient,medium,yes,yes,no,no,yes,Generic ROM2 write access is not a scored debug/JTAG GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,F1,h19_debug_jtag_scope,"ROM2 secure key storage allows unrestricted read/write access from any bus master — no privilege check, no authentication, no locking mechanism.",src/rom2/rom2.sv; tb/ariane_peripherals.sv,rom2; ariane_peripherals,"secure_reg; rdata_o; jtag_key, access_ctrl_reg, key_reg_out; secure_reg write logic; rdata_o assignment; jtag_key, access_ctrl_reg usage",,FP,Insufficient,high,yes,yes,no,no,yes,Generic ROM2 read/write is not counted without JTAG hardcoded key or debug-to-fuse path evidence.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,F2,h19_debug_jtag_scope,"DMI debug interface path (SimDTM) completely bypasses JTAG password authentication, providing unauthenticated debug access.",tb/ariane_testharness.sv; src/debug/dmi_jtag.sv,ariane_testharness; dmi_jtag,"dmi_req, debug_req, jtag_enable; pass_chk, umode_o; debug interface MUX; DTM_READ gate on pass_chk",H19-047,Partial,Insufficient,medium,yes,yes,no,no,yes,Reports DMI bypass but focuses on SimDTM/direct path rather than the DTM_WRITE transition lacking pass_chk.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,F3,h19_debug_jtag_scope,JTAG DTM_PASS password authentication state machine may allow privilege escalation via state manipulation or timing side-channel.,src/debug/dmi_jtag.sv,dmi_jtag,"state_d, pass_chk; umode_o; DTM_PASS handler; umode_o assignment",H19-048,Partial,Insufficient,low,yes,yes,no,no,yes,Mentions pass_chk and umode_o but frames timing/state manipulation rather than clearly tracing JTAG unlock to machine privilege.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,F-001,h19_debug_jtag_scope,JTAG Authentication state (pass_chk) is persistent and never cleared – permanent debug unlock after single successful password,src/debug/dmi_jtag.sv; src/csr_regfile.sv,dmi_jtag; csr_regfile,pass_chk; umode_o; DTM_PASS handler; DTM_READ gate; umode_o assignment; priv_lvl_o,H19-051,TP,Sufficient,high,no,no,no,no,no,Correct pass_chk persistent/not cleared behavior.
