run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,SEC-001,h21_access_lock_scope,Register-lock write aliasing bug in reglk_wrapper causes locked register value corruption at address offset 2,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[2]; always @(posedge clk_i) write side case statement,,FP,Insufficient,high,yes,yes,no,no,yes,reglk_mem[2] alias/corruption is not one of this scope visible GT cases.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,SEC-002,h21_access_lock_scope,Missing register-lock protection on fuse request and address write registers in pkt_wrapper,piton/design/chip/tile/ariane/src/pkt/pkt_wrapper.sv,pkt_wrapper,"fuse_req_o, fuse_addr_o; always @(posedge clk_i) write side",,FP,Sufficient,high,yes,no,no,no,no,PKT register-lock issue is not visible GT in access_lock scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,SEC-003,h21_access_lock_scope,"HMAC secret key forced to zero in debug mode, enabling trivial HMAC forgery during debug",piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv,hmac_wrapper,"key, okey_hash; assign key = debug_mode_i ? 256'b0 : {...}; assign okey_hash = debug_mode_i ? 256'b0 : {...};",,FP,Insufficient,high,yes,yes,no,no,yes,HMAC debug key zeroing issue is not visible GT in this scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,SEC-004,h21_access_lock_scope,"acct_wrapper reset condition depends on rst_6 signal, potentially enabling unauthorized reset of access control registers",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,acct_mem; if(~(rst_ni && ~rst_6)) begin for (j=0; j < AcCt_MEM_SIZE; j=j+1) acct_mem[j] <= 32'hffffffff; end,H21-042,Partial,Insufficient,low,yes,yes,no,no,yes,"Related to ACCT reset permissive state, but frames rst_6 reset dependency rather than direct all-full-access reset semantics."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,F-01,h21_access_lock_scope,"Debug mode bypasses HMAC key protection, forcing the secret key to all-zero",piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv,hmac_wrapper,"key, okey_hash; assign key = debug_mode_i ? 256'b0 : ...",,FP,Insufficient,high,yes,yes,no,no,yes,HMAC debug zeroing issue not visible GT in this scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,F-02,h21_access_lock_scope,"we_flag inputs can override register-lock and access-control bits, allowing forced write-enable",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,acc_ctrl_o; reglk_ctrl_i; .reglk_ctrl_i( reglk_ctrl[1*8+7:1*8] | we_flag_1 ),H21-049,TP,Sufficient,high,no,no,no,no,no,Correctly identifies we_flag overriding access-control/register-lock bits.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,F-03,h21_access_lock_scope,Privilege-level confusion in acc_ctrl_c computation: machine-mode privilege (i=2) OR'd into peripheral 5 access control,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,riscv_peripherals,acc_ctrl_c; assign acc_ctrl_c[i][j] = acc_ctrl[j*4+i] | (j==5 && acc_ctrl[4*4+i]),H21-005,TP,Sufficient,high,no,no,no,no,no,Correctly identifies peripheral 5/PKT access ORed with peripheral 4/HMAC permission.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,F-04,h21_access_lock_scope,"Access control memory resets to all-permissive (0xFFFFFFFF), granting unrestricted access to all peripherals before software configuration",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,acct_mem; acct_mem[j] <= 32'hffffffff on reset,H21-042,TP,Sufficient,high,no,no,no,no,no,Correctly identifies access-control memory reset to all-permissive 0xffffffff.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,F-05,h21_access_lock_scope,Inconsistent lock-bit usage between read and write paths in acct_wrapper may allow unauthorized read or write access,piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,"acct_mem write side; rdata read side; Write side: acct_mem[00] uses reglk_ctrl[5], acct_mem[03] uses reglk_ctrl[13]; Read side: acct_mem[0] uses reglk_ctrl[4], acct_mem[3] uses reglk_ctrl[2]",H21-043,TP,Sufficient,medium,no,no,no,no,no,Correctly identifies inconsistent/out-of-range ACCT lock-bit usage.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,F-06,h21_access_lock_scope,Unprotected write paths in pkt_wrapper: fuse_req_o and fuse_addr_o have no register-lock write protection,piton/design/chip/tile/ariane/src/pkt/pkt_wrapper.sv,pkt_wrapper,"fuse_req_o, fuse_addr_o; Write to fuse_req_o and fuse_addr_o",,FP,Sufficient,high,yes,no,no,no,no,"PKT fuse write-lock issue belongs to DMA/PKT scope, not this visible GT set."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,F-07,h21_access_lock_scope,Potential copy-paste bug in reglk_wrapper: write to address 2 reads from reglk_mem[3] when lock is active,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[2]; case address[7:3] 2: reglk_mem[2] <= reglk_ctrl[1] ? reglk_mem[3] : wdata,,FP,Insufficient,medium,yes,yes,no,no,yes,reglk_mem copy-paste bug not visible GT in this scope.
