run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,F-001,h18_gpio_apb_scope,"GPIO Lock Register bypass via REG_PADOUTSET/REG_PADOUTCLR: The GPIO lock mechanism (r_gpio_lock) blocks writes to REG_PADDIR and REG_PADOUT, but REG_PADOUTSET and REG_PADOUTCLR can modify GPIO outputs without checking the lock bits, allowing unauthorized GPIO output manipulation.",ips/apb/apb_gpio/apb_gpio.sv,apb_gpio,"r_gpio_lock, pwdata_l, r_gpio_out, r_gpio_dir; r_gpio_lock; REG_PADDIR / REG_PADOUT write logic with lock check; REG_PADOUTSET and REG_PADOUTCLR definitions",,FP,Insufficient,high,yes,yes,no,no,yes,PADOUTSET/PADOUTCLR lock bypass is not a visible GT case for this scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,F-002,h18_gpio_apb_scope,"GPIO Lock Register (REG_GPIOLOCK) is freely rewritable with no write-once or escalate-only protection, allowing an attacker to clear the lock after it has been set.",ips/apb/apb_gpio/apb_gpio.sv,apb_gpio,r_gpio_lock; r_gpio_lock reset initialization; r_gpio_lock write; Lock check logic,H18-004,TP,Sufficient,high,no,no,no,no,no,"Correctly identifies REG_GPIOLOCK/r_gpio_lock writable through APB, defeating the lock mechanism."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,F-003,h18_gpio_apb_scope,"APB bus node (apb_node) has no access control or privilege filtering: any APB master can access any peripheral based solely on address matching, with no master identity or permission checks.",ips/apb/apb_node/apb_node.sv; ips/apb/apb_node/apb_node_wrap.sv; rtl/includes/periph_bus_defines.sv,apb_node; apb_node_wrap,psel_o; apb_masters; Address decode and psel generation; Module interface; periph_bus_defines.sv,,FP,Insufficient,high,yes,yes,no,no,yes,Generic APB no-access-control claim does not match address-overlap GT cases without overlap interval evidence.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,F-001,h18_gpio_apb_scope,"GPIO Lock Register (GPIOLOCK) is not self-protecting — any bus master can unlock GPIO configuration by writing to the lock register, defeating the permission/lock mechanism entirely.",ips/apb/apb_gpio/apb_gpio.sv,apb_gpio,r_gpio_lock; REG_GPIOLOCK; REG_GPIOLOCK macro; r_gpio_lock write assignment; r_gpio_dir write with lock check; r_gpio_out write with lock check,H18-004,TP,Sufficient,high,no,no,no,no,no,Correctly identifies GPIOLOCK as writable/self-unprotected through APB.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,F-002,h18_gpio_apb_scope,PADOUTSET and PADOUTCLR registers may bypass the GPIO output lock (r_gpio_lock[2]) — allowing modification of GPIO output state even when locked.,ips/apb/apb_gpio/apb_gpio.sv,apb_gpio,r_gpio_out (via PADOUTSET/PADOUTCLR); REG_PADOUTSET / REG_PADOUTCLR; REG_PADOUTSET / REG_PADOUTCLR defines; PADOUTSET write; PADOUTCLR write,,FP,Insufficient,medium,yes,yes,no,no,yes,PADOUTSET/PADOUTCLR lock bypass is not a visible GT case for this scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,F-001,h18_gpio_apb_scope,"GPIO Lock mechanism (REG_GPIOLOCK) is trivially bypassable - the lock register itself has no write protection and can be cleared by any APB write, defeating the entire purpose of the lock-based access control.",ips/apb/apb_gpio/apb_gpio.sv,apb_gpio,"r_gpio_lock; r_gpio_lock / PWDATA; r_gpio_dir, r_gpio_out; REG_GPIOLOCK write (no protection); PADDIR write gated by lock[0]; PADOUT write gated by lock[2]; Read protection gated by lock bits",H18-004,TP,Sufficient,high,no,no,no,no,no,Correctly identifies REG_GPIOLOCK writable without self-protection and cites lock-controlled behavior.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,GPIO_APB_LOCK_BYPASS_MUTABLE_LOCK,h18_gpio_apb_scope,"GPIOLOCK is mutable through the same APB interface it is meant to restrict, and output set/clear aliases bypass visible output lock checks.",ips/apb/apb_gpio/apb_gpio.sv,apb_gpio,REG_GPIOLOCK; r_gpio_lock; r_gpio_lock[0] / r_gpio_dir; r_gpio_lock[2] / r_gpio_out; r_gpio_out / REG_PADOUTSET; r_gpio_out / REG_PADOUTCLR; PSLVERR; APB write condition; r_gpio_lock <= PWDATA; r_gpio_dir write; r_gpio_out direct write; REG_PADOUTSET write; REG_PADOUTCLR write; PRDATA = r_gpio_lock,H18-004,TP,Sufficient,high,no,no,no,no,no,Correctly identifies mutable GPIOLOCK through APB; extra PADOUTSET/PADOUTCLR discussion is not separately scored.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,GPIO_APB_OVERLAPPING_ADDRESS_DECODE,h18_gpio_apb_scope,"GPIO APB range overlaps multiple other peripheral ranges, and the APB node uses independent range-based selection.",rtl/includes/periph_bus_defines.sv; ips/pulp_soc/rtl/pulp_soc/periph_bus_wrap.sv; ips/apb/apb_node/apb_node.sv,periph_bus_defines; periph_bus_wrap; apb_node,GPIO_START_ADDR / GPIO_END_ADDR; UDMA_START_ADDR / UDMA_END_ADDR; SOC_CTRL_START_ADDR / SOC_CTRL_END_ADDR; ADV_TIMER_START_ADDR; EU_START_ADDR; s_start_addr[1] / s_end_addr[1]; psel_o; GPIO address range; UDMA address range; SOC_CTRL address range; psel_o range decode,H18-008,TP,Sufficient,medium,no,no,no,no,no,"Correctly identifies GPIO, UDMA, and SoC control overlapping APB ranges plus independent APB selection. Also covers H18-001/H18-006 semantically but counted once at finding level."
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_2,GPIO_APB_PERMISSION_001,h18_gpio_apb_scope,"GPIO APB registers, including the lock register, are writable without visible permission enforcement.",ips/apb/apb_gpio/apb_gpio.sv; ips/apb/apb_node/apb_node.sv; rtl/includes/periph_bus_defines.sv,apb_gpio; apb_node; periph_bus_defines,PSEL/PENABLE/PWRITE write gate; r_gpio_lock; r_gpio_dir; r_gpio_out; r_gpio_out / REG_PADOUTSET; r_gpio_out / REG_PADOUTCLR; r_gpio_en; gpio_out/gpio_dir; PREADY/PSLVERR; psel_o; pwrite_o; GPIO_START_ADDR/GPIO_END_ADDR; if (PSEL && PENABLE && PWRITE); if(r_gpio_lock[0] == '0) pwdata_l = PWDATA; ... r_gpio_dir <= pwdata_l;; if(r_gpio_lock[2] == '0) pwdata_l = PWDATA; ... r_gpio_out <= pwdata_l;; r_gpio_out <= r_gpio_out | PWDATA; r_gpio_out <= r_gpio_out & ~PWDATA;; r_gpio_en <= PWDATA;; r_gpio_lock <= PWDATA;; assign gpio_out = r_gpio_out; assign gpio_dir = r_gpio_dir;; assign PREADY = 1'b1; assign PSLVERR = 1'b0;; assign psel_o[i] = (paddr_i >= START_ADDR_i[i]) && (paddr_i <= END_ADDR_i[i]);; pwrite_o[s_loop2] = pwrite_i;; `define GPIO_START_ADDR 32'h1A10_1000; `define GPIO_END_ADDR 32'h1A10_AFFF,H18-004,Partial,Insufficient,medium,no,yes,no,no,yes,Mentions lock register writable but frames as broad missing permission and does not focus on REG_GPIOLOCK self-protection.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_3,GPIO_APB_MISSING_PERMISSION_ENFORCEMENT,h18_gpio_apb_scope,GPIO APB accesses are not protected by any visible permission or privilege check; access is governed only by address decode and local lock bits.,ips/pulp_soc/rtl/pulp_soc/periph_bus_wrap.sv; ips/apb/apb_node/apb_node.sv; ips/apb/apb_gpio/apb_gpio.sv,periph_bus_wrap; apb_node; apb_gpio,"GPIO master window mapping and APB node hookup; psel_o/pwrite_o/paddr_o/pwdata_o address-only routing; register write path and r_gpio_lock handling; readback path with only lock-bit masking; gpio_master / apb_node_wrap_i; psel_o/pwrite_o/paddr_o/pwdata_o; r_gpio_dir, r_gpio_out, r_gpio_inten, r_gpio_inttype0, r_gpio_inttype1, r_gpio_en, r_gpio_lock; PRDATA / r_status / r_gpio_lock",,FP,Insufficient,high,yes,yes,no,no,yes,Generic GPIO/APB missing permission claim does not match the specific lock-register or address-overlap GT criteria.
