fp_cluster_id,model_family,method_name,input_scope,repetition,fp_count,representative_finding_uid,claimed_files,claimed_modules,claimed_signals_or_registers,example_summaries
FPC-0001,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,5,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-001,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,data_o; axi_master_ar_burst; procedural_assign:389; rd_wrn_i; err_o,"Hardcoded AXI PROT signals grant the debug interface unconditional access to Secure memory regions.
---
Hardcoded AXI protection (PROT) signals in the debug interface allow external debuggers to issue Secure memory transactions, potentially bypassing system security boundaries.
---
Hardcoded AXI protection signals (PROT) in the debug interface allow external debuggers to issue Secure AXI transactions, potentially bypassing system security policies.
---
Hardcoded AXI protection (PROT) signals grant Secure access to the debug interface, potentially allowing unauthorized access to protected memory.
---
Hardcoded AXI protection attributes allow the debug interface to unconditionally issue Secure accesses."
FPC-0002,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-013,ips/adv_dbg_if/rtl/adbg_tap_top.v,adbg_tap_top,STATE_capture_dr,Insecure JTAG debug unlock mechanism with unreset counters and inferred latches allows bypassing JTAG authentication.
FPC-0003,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-014,ips/adv_dbg_if/rtl/adbg_tap_top.v,adbg_tap_top,STATE_test_logic_reset,"The JTAG TAP controller implements a custom debug unlocking mechanism whose authentication state variables are improperly managed. The unlock state is evaluated in an unclocked combinational block and the authentication counters are not cleared upon test logic reset, allowing persistent debug access."
FPC-0004,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,5,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-015,ips/adv_dbg_if/rtl/adbg_tap_top.v,adbg_tap_top,STATE_test_logic_reset; TAP_state,"The JTAG TAP controller implements a severely flawed authentication mechanism to protect DR scans. The authentication variables form unclocked combinatorial loops and are never initialized or reset.
---
The JTAG TAP controller implements a severely flawed debug authentication mechanism with a hardcoded password and a bypassable comparison logic that does not reset on incorrect guesses.
---
Hardcoded password and flawed authentication logic in JTAG TAP controller unlock mechanism.
---
The JTAG TAP controller implements a debug unlock mechanism protected by a hardcoded password (0xDEADBEEF) with severely flawed RTL implementation.
---
The JTAG TAP controller implements a custom debug authentication mechanism using a hardcoded password (32'hDEADBEEF) and insecure matching logic, leading to trivial bypass of debug access restrictions."
FPC-0005,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,5,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-020,ips/adv_dbg_if/rtl/adbg_tap_top.v,adbg_tap_top,STATE_capture_dr; bypass_select; continuous_assign:182,"JTAG TAP controller implements an insecure backdoor with a hardcoded password and unsafe asynchronous state updates, blocking standard JTAG DR scans.
---
Hardcoded debug unlock sequence (backdoor) in JTAG TAP controller using '32'hDEADBEEF'.
---
Hardcoded and improperly implemented JTAG unlock password (backdoor) in the TAP controller.
---
Hardcoded JTAG unlock password with defective, unclocked combinational bypass logic.
---
Hardcoded JTAG unlock password ('32'hDEADBEEF') allows unauthorized debug access."
FPC-0006,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-023,ips/adv_dbg_if/rtl/adbg_tap_top.v,adbg_tap_top,STATE_capture_dr,"The JTAG TAP controller implements a debug unlock mechanism that can be trivially bypassed because incorrect password bits do not reset the authentication state, and the match counters are incorrectly implemented as combinational loops."
FPC-0007,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-028,ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv,adbg_or1k_status_reg,bp_i,Unsafe reset behavior in debug stall synchronizers allows transient CPU execution after reset.
FPC-0008,gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,1,1,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-001,ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,fc_subsystem; apb_interrupt_cntrl,apb_slave_eu; REG_ACK; i,Missing privilege and security checks on APB interrupt control registers allow unauthorized modification of system interrupts.
FPC-0009,gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,1,1,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-002,ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,apb_interrupt_cntrl,i; REG_ACK,Missing privilege or security access controls on interrupt mask register updates.
FPC-0010,gemini_3.1_pro_preview,ours_chain_context,h18_fc_core_security_scope,1,1,ours_chain_context:gemini_3.1_pro_preview:h18_fc_core_security_scope:rep_1:F-003,ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,apb_interrupt_cntrl,REG_ACK; i,"The APB interrupt controller lacks access control and privilege checks, allowing unrestricted read/write access to all interrupt configuration registers from any bus master."
