run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-009,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-010,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-012,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,hackatdac18,H18-028,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,hackatdac18,H18-009,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,hackatdac18,H18-010,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,hackatdac18,H18-012,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,hackatdac18,H18-028,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,hackatdac18,H18-009,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,hackatdac18,H18-010,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,hackatdac18,H18-012,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,hackatdac18,H18-028,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-025,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-027,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,hackatdac18,H18-017,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-025,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-027,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,hackatdac18,H18-017,visible,,,,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,hackatdac18,H18-025,visible,,,,
