model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
gpt_5_5,baseline,h18_gpio_apb_scope,hackatdac18,H18-001,FN,,,,
gpt_5_5,baseline,h18_gpio_apb_scope,hackatdac18,H18-004,TP,1;2;3,baseline:gpt_5_5:h18_gpio_apb_scope:rep_1:GPIO_APB_PERM_001,Sufficient,
gpt_5_5,baseline,h18_gpio_apb_scope,hackatdac18,H18-005,FN,,,,
gpt_5_5,baseline,h18_gpio_apb_scope,hackatdac18,H18-006,FN,,,,
gpt_5_5,baseline,h18_gpio_apb_scope,hackatdac18,H18-008,TP,3,baseline:gpt_5_5:h18_gpio_apb_scope:rep_3:PERIPH_APB_GPIO_ADDRESS_RANGE_OVERLAP,Sufficient,
gpt_5_5,baseline,h18_debug_jtag_scope,hackatdac18,H18-009,FN,,,,
gpt_5_5,baseline,h18_debug_jtag_scope,hackatdac18,H18-010,FN,,,,
gpt_5_5,baseline,h18_debug_jtag_scope,hackatdac18,H18-012,FN,,,,
gpt_5_5,baseline,h18_fc_core_security_scope,hackatdac18,H18-017,TP,1;2;3,baseline:gpt_5_5:h18_fc_core_security_scope:rep_1:PERM-DBG-001,Sufficient,
gpt_5_5,baseline,h18_fc_core_security_scope,hackatdac18,H18-025,TP,3,baseline:gpt_5_5:h18_fc_core_security_scope:rep_3:PERM-PRIV-MODE-002,Sufficient,
gpt_5_5,baseline,h18_fc_core_security_scope,hackatdac18,H18-027,TP,1;2,baseline:gpt_5_5:h18_fc_core_security_scope:rep_1:PERM-IRQ-001,Sufficient,
gpt_5_5,baseline,h18_debug_jtag_scope,hackatdac18,H18-028,TP,1;2;3,baseline:gpt_5_5:h18_debug_jtag_scope:rep_1:PERM-JTAG-LINT-UNAUTH-001,Sufficient,
gpt_5_5,baseline,h19_access_control_fabric_scope,hackatdac19,H19-001,TP,1;2;3,baseline:gpt_5_5:h19_access_control_fabric_scope:rep_1:FINDING-001,Sufficient,
gpt_5_5,baseline,h19_debug_jtag_scope,hackatdac19,H19-005,TP,1;2;3,baseline:gpt_5_5:h19_debug_jtag_scope:rep_1:PERM-DEBUG-001,Sufficient,
gpt_5_5,baseline,h19_csr_privilege_scope,hackatdac19,H19-009,TP,1;2;3,baseline:gpt_5_5:h19_csr_privilege_scope:rep_1:PRIV_OVERRIDE_UMODEI_002,Sufficient,
gpt_5_5,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-010,TP,1;2;3,baseline:gpt_5_5:h19_aes_rom2_security_scope:rep_1:PERM-002,Sufficient,
gpt_5_5,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-011,FN,,,,
gpt_5_5,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-014,FN,,,,
gpt_5_5,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-015,FN,,,,
gpt_5_5,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-017,FN,,,,
gpt_5_5,baseline,h19_csr_privilege_scope,hackatdac19,H19-020,TP,1;2;3,baseline:gpt_5_5:h19_csr_privilege_scope:rep_1:CSR_PRIV_BYPASS_MEPC_001,Sufficient,
gpt_5_5,baseline,h19_csr_privilege_scope,hackatdac19,H19-024,FN,,,,
gpt_5_5,baseline,h19_csr_privilege_scope,hackatdac19,H19-025,FN,,,,
gpt_5_5,baseline,h19_access_control_fabric_scope,hackatdac19,H19-041,FN,,,,
gpt_5_5,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-045,TP,2;3,baseline:gpt_5_5:h19_aes_rom2_security_scope:rep_2:PERM-001,Sufficient,
gpt_5_5,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-046,TP,2,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_2:FINDING-005,Sufficient,
gpt_5_5,baseline,h19_debug_jtag_scope,hackatdac19,H19-047,TP,1;2;3,baseline:gpt_5_5:h19_debug_jtag_scope:rep_1:PERM-JTAG-001,Sufficient,
