run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-01,h18_fc_core_security_scope,"Privilege levels are hardwired/forced to Machine-mode, eliminating privilege separation. The core always runs in supervisor mode (supervisor_mode_o = 1'b1) and MSTATUS.MPP is forced to PRIV_LVL_M on every CSR write, preventing any user-mode or supervisor-mode isolation.",ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/zero-riscy/zeroriscy_cs_registers.sv,fc_subsystem; zeroriscy_cs_registers,supervisor_mode_o; mstatus_n,H18-025,Partial,Insufficient,high,yes,yes,no,no,yes,"Related to CSR/privilege state, but does not show the zero-riscy decoder CSR instruction path and privileged CSR target mediation required for H18-025."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-02,h18_fc_core_security_scope,"Secure interrupt handling is completely disabled. The core_secure_mode_i input to the interrupt controller is tied to 0, and the core_irq_sec_o output from the interrupt controller is left unconnected. The secure interrupt channel is non-functional.",ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,fc_subsystem; apb_interrupt_cntrl,"core_secure_mode_i; core_irq_sec_o; irq_sec_i; core_irq_sec_o, core_secure_mode_i; fc_eu_i instantiation; riscv_core instantiation",H18-027,Partial,Insufficient,high,yes,yes,no,no,yes,"Mentions secure interrupt signals tied/unused, but does not clearly prove APB write paths to r_mask/r_int/r_ack lack core_secure_mode_i gating."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-03,h18_fc_core_security_scope,The SCM (Standard Cell Memory) is accessible through two different address ranges: a primary range at 0x1C00_6000-0x1C00_7FFF and an alias range at 0x0000_6000-0x0000_7FFF. This dual address mapping can bypass memory protection mechanisms that only check one address range.,rtl/includes/soc_bus_defines.sv; ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/pulp_soc/rtl/fc/fc_demux.sv,soc_bus_defines; fc_subsystem; fc_demux,"SOC_L2_PRI_CH0_SCM, ALIAS_SOC_L2_PRI_CH0_SCM; is_scm_instr_req, is_scm_data_req; port_sel_i; SCM address defines; is_scm_instr_req; is_scm_data_req",,FP,Insufficient,medium,yes,yes,no,no,yes,SCM aliasing is not a visible GT case for this scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,FIND-04,h18_fc_core_security_scope,"The debug unit (zeroriscy_debug_unit) provides unrestricted access to CSRs and general-purpose registers when the core is halted. There is no authentication mechanism or access control on the debug interface, which could be exploited if the debug port is accessible in production.",ips/zero-riscy/zeroriscy_debug_unit.sv,zeroriscy_debug_unit,"csr_req_n, regfile_wreq, debug_gnt_o; debug_req_i, debug_we_i, debug_addr_i; write access decode logic; jump_req_n",H18-017,Partial,Insufficient,medium,yes,yes,no,no,yes,"Finds debug register/CSR access in zeroriscy_debug_unit, but does not sufficiently trace the APB debug bridge from fc_subsystem to register-file write/code-injection path."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,F01,h18_fc_core_security_scope,No RISC-V privilege-level enforcement on CSR write access; core permanently in Machine mode with no User-mode protection,ips/zero-riscy/zeroriscy_cs_registers.sv; ips/zero-riscy/include/zeroriscy_defines.sv,zeroriscy_cs_registers; zeroriscy_defines package,"mstatus_n, csr_we_int; mstatus_q (reset/restore); PrivLvl_t enum; mstatus write logic; csr_we_int generation; PrivLvl_t; reset/restore mpp value",H18-025,Partial,Insufficient,high,yes,yes,no,no,yes,"Identifies CSR privilege risk and privileged CSR write state, but misses decoder-side csr_access_o/csr_op path evidence."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,F02,h18_fc_core_security_scope,"Debug unit allows unrestricted CSR and register-file access when core is halted, bypassing any software-enforced access controls",ips/zero-riscy/zeroriscy_debug_unit.sv,zeroriscy_debug_unit,"csr_req_n, csr_we_o, regfile_wreq; debug_req_i, debug_addr_i; CSR debug access; GPR debug access",H18-017,Partial,Insufficient,high,yes,yes,no,no,yes,"Finds debug CSR/register-file access, but APB bridge and execution redirection evidence are incomplete."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,F03,h18_fc_core_security_scope,Secure interrupt infrastructure present but disconnected; secure_mode hardwired to 0 and secure IRQ output left unconnected,ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,fc_subsystem; apb_interrupt_cntrl,"core_secure_mode_i, core_irq_sec_o; Instantiation of interrupt controller; Port declarations",H18-027,Partial,Insufficient,medium,yes,yes,no,no,yes,"Mentions secure interrupt infrastructure disconnected, but does not sufficiently show APB interrupt register write mediation failure."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,F04,h18_fc_core_security_scope,"APB interrupt controller registers (mask, int, ack, fifo) accessible via APB with no bus-level access control",ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,apb_interrupt_cntrl,"s_is_apb_write, s_is_apb_read; proc_mask, proc_int, proc_ack; APB access gating logic; Register write logic (mask, int, ack)",H18-027,Partial,Insufficient,medium,no,yes,no,no,yes,"Correctly points to APB interrupt registers writable without access control, but does not explicitly connect the write conditions to missing core_secure_mode_i mediation."
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,F-001,h18_fc_core_security_scope,Missing Physical Memory Protection (PMP) - No hardware-enforced memory access control,ips/zero-riscy/zeroriscy_cs_registers.sv; ips/zero-riscy/include/zeroriscy_defines.sv; .,zeroriscy_cs_registers; zeroriscy_defines (package),CSR read/write logic; search for pmp/PMP,,FP,Unsupported,high,yes,no,no,yes,yes,Missing PMP is not a visible GT case for this scope and is not enough to match H18-025.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,F-002,h18_fc_core_security_scope,All privilege modes below Machine mode are hardwired to zero - no privilege separation possible,ips/zero-riscy/zeroriscy_cs_registers.sv; ips/zero-riscy/include/zeroriscy_defines.sv,zeroriscy_cs_registers; zeroriscy_defines,"Status_t (mstatus); mstatus_n, mpp; Status_t struct definition; mstatus write logic; PrivLvl_t enum",H18-025,Partial,Insufficient,high,yes,yes,no,no,yes,Privilege separation finding is related to CSR privilege semantics but lacks decoder CSR instruction path and privileged CSR target write evidence.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,F-003,h18_fc_core_security_scope,Debug unit CSR write-enable (csr_we_o) asserted without checking core halted state,ips/zero-riscy/zeroriscy_debug_unit.sv,zeroriscy_debug_unit,"csr_we_o, csr_req_n, state_n; CSR write access FSM in debug unit",,FP,Insufficient,low,yes,yes,no,no,yes,Debug csr_we_o claim does not match H18-017 because it does not establish APB-visible register-file write/code-injection semantics.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,F-004,h18_fc_core_security_scope,APB interrupt controller registers lack any access-control or privilege checking,ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv,apb_interrupt_cntrl,"s_is_apb_write, r_mask, r_int, r_ack; APB write decode; proc_mask, proc_int, proc_ack combinational blocks",H18-027,Partial,Insufficient,medium,no,yes,no,no,yes,"Correct APB interrupt controller target, but missing secure-mode signal mediation explanation."
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_1,PERM-DBG-001,h18_fc_core_security_scope,APB debug slave can reach powerful core debug controls without visible permission or authentication checks.,ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/zero-riscy/zeroriscy_debug_unit.sv; .,fc_subsystem; zeroriscy_debug_unit; global,apb_slave_debug; debug_req/debug_addr/debug_we/debug_wdata/debug_rdata; DBG_CTRL / debug register decode / GPR write path; regfile_rreq_o/regfile_wreq_o/csr_req_o/jump_req_o; apb2per_debug_i; 6'b00_0000 decode; DBG_CTRL/dbg_halt; DNPC/regfile_wreq; auth/debug_en/dbg_en,H18-017,TP,Sufficient,high,no,no,no,no,no,"Correctly traces APB debug slave to core debug controls, GPR write/read, and execution state manipulation."
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_1,PERM-IRQ-002,h18_fc_core_security_scope,"Secure interrupt controls appear tied off or unused, while APB can directly modify interrupt control state.",ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv; ips/pulp_soc/rtl/fc/fc_subsystem.sv,apb_interrupt_cntrl; fc_subsystem,ENA_SEC_IRQ/core_irq_sec_o/core_secure_mode_i; r_mask/r_int APB write paths; fc_eu_i core_secure_mode_i/core_irq_sec_o; s_mask_next; s_int_next; core_secure_mode_i/core_irq_sec_o; core_irq_sec_o/core_secure_mode_i/ENA_SEC_IRQ,H18-027,TP,Sufficient,medium,no,no,no,no,no,Correctly identifies APB interrupt register writes and unused/tied secure-mode controls.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_1,PERM-MODE-003,h18_fc_core_security_scope,"`supervisor_mode_o` is hardwired privileged/high, which may defeat downstream permission checks if used as an access qualifier.",ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/zero-riscy/zeroriscy_cs_registers.sv,fc_subsystem; zeroriscy_cs_registers,supervisor_mode_o; assign supervisor_mode_o = 1'b1; mstatus,,FP,Insufficient,low,yes,yes,no,no,no,Hardwired supervisor_mode_o is not one of the visible GT cases for this scope and does not establish H18-025.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_2,FC-PERM-001,h18_fc_core_security_scope,"APB interrupt-control registers are writable without visible permission checks, and secure-mode context is ignored/tied off.",ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv; ips/pulp_soc/rtl/fc/fc_subsystem.sv,apb_interrupt_cntrl; fc_subsystem,core_secure_mode_i; s_is_apb_write; r_mask / s_mask_next; r_int / s_int_next; r_ack / s_ack_next; s_mask_next / r_mask; s_int_next / r_int; s_ack_next / r_ack,H18-027,TP,Sufficient,high,no,no,no,no,no,Correctly reports APB interrupt-control registers writable while secure-mode context is ignored/tied off.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_2,FC-PERM-002,h18_fc_core_security_scope,"FC subsystem permanently reports supervisor mode, eliminating privilege distinction for downstream permission checks.",ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/zero-riscy/zeroriscy_cs_registers.sv,fc_subsystem; zeroriscy_cs_registers,supervisor_mode_o; mstatus_q / mpp; mstatus_n.mpp; assign supervisor_mode_o = 1'b1; mstatus CSR,,FP,Insufficient,medium,yes,yes,no,no,no,Hardwired supervisor mode does not match the scored CSR privileged-write GT case.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_3,PERM-DEBUG-APB-UNPROTECTED,h18_fc_core_security_scope,FC debug APB slave provides unauthenticated access to core debug control and state-manipulation functions.,ips/pulp_soc/rtl/fc/fc_subsystem.sv; ips/zero-riscy/zeroriscy_debug_unit.sv,fc_subsystem; zeroriscy_debug_unit,apb_slave_debug; apb2per_debug_i / debug_req / debug_addr / debug_we / debug_wdata; debug_req_i / debug_we_i / debug_addr_i / debug_gnt_o; GPR/debug-register read path; regfile_wreq_o / jump_req_o; APB_BUS.Slave apb_slave_debug; apb2per_debug_i; zeroriscy_core debug ports; DBG_CTRL write decode; DNPC debug register write; GPR write debug path; GPR read debug path,H18-017,TP,Sufficient,high,no,no,no,no,no,"Correctly traces FC APB debug slave to core debug control, GPR/register state manipulation, and debug jump path."
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_3,PERM-IRQ-APB-UNPROTECTED,h18_fc_core_security_scope,APB interrupt controller exposes writable interrupt-control registers without visible permission checks; secure interrupt signals are unused/tied off in the visible integration.,ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv; ips/pulp_soc/rtl/fc/fc_subsystem.sv,apb_interrupt_cntrl; fc_subsystem,core_irq_sec_o / core_secure_mode_i / apb_slave; r_mask / r_int / r_ack update logic; apb_slave.pready / apb_slave.pslverr; fc_eu_i secure-mode/secure-IRQ connections; s_mask_next; s_int_next; s_ack_next; core_irq_req_o; fc_eu_i secure connections,H18-027,TP,Sufficient,medium,no,no,no,no,no,Correctly identifies APB interrupt controller writable registers without secure-mode gating.
