model_family,method_name,input_scope,repetition,matched_case_id,detection_match,representative_finding_uid,duplicate_count,fp_count,example_summaries
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,,FP,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-002,0,24,"The adbg_axi_biu debug module AXI FSM initiates AXI bus transactions (reads and writes) driven purely by a JTAG-domain start strobe with no privilege, authentication, or address-range check. An attacker with access to the debug TAP can cause arbitrary AXI master read/write transactions to any address in the system fabric.
---
The debug AXI BIU (adbg_axi_biu) directly drives AXI master address and data channels from debug-interface registers without any privilege check, address range guard, or access-control enforcement, allowing the JTAG debug interface to issue arbitrary AXI read/write transactions to any address in the system memory map.
---
The AXI debug bus interface unit (adbg_axi_biu) drives the AXI protection signal (ARPROT/AWPROT) permanently to zero, meaning all debug-initiated AXI transactions are issued with unprivileged, non-secure, data access attributes, bypassing any privilege or security enforcement that the downstream interconnect or memory protection units rely on the PROT field to provide.
---
AXI master protection signals (axi_master_aw_prot and axi_master_ar_prot) are hardwired to zero, meaning all debug-initiated AXI transactions are issued with no privilege, security, or instruction/data type indication, allowing the debug interface to access any memory region without access controls enforced by downstream AXI infrastructure.
---
The AXI debug BIU (adbg_axi_biu) drives AXI master protection signals (axi_master_aw_prot, axi_master_aw_lock, axi_master_aw_cache, axi_master_aw_region, axi_master_aw_qos) as hardcoded zeros, permanently granting unprivileged, non-secure, non-locked, non-cached access. The debug interface issues AXI transactions with aw_prot=0 (unprivileged, non-secure data access) regardless of the privilege level or security context of the debugger, meaning debug-originated writes bypass any memory-protection scheme that relies on AXI AxPROT signaling."
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,H18-009,Duplicate,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-019,6,0,"The JTAG TAP controller implements a non-standard software password check (passchk) in the run_test_idle state before allowing DR scan access, but this check is trivially bypassable because the initial password value is set to 0xDEADBEEF on reset and the authentication counter threshold is too low, and more critically the bypass_select and all other instruction selects default to bypass_select=1 without any authentication requirement, meaning debug access is gated only by the non-standard passchk mechanism which itself has implementation weaknesses.
---
The JTAG TAP controller in adbg_tap_top implements a non-standard software password check (using a 32-bit DEADBEEF token) to gate entry into the debug scan chain, but this check is implemented in a purely combinatorial always block without proper sequential enforcement. Additionally, the pass register is initialized to 0xDEADBEEF on reset and the passchk gate is trivially bypassable because correct and bitindex are not reset synchronously in the same block, and the check runs in a combinatorial block that can be manipulated. The debug interface is also always physically accessible via JTAG with no hardware lifecycle or fuse-based lockout.
---
The JTAG TAP controller implements a weak software-based 'password' check using a hardcoded 32-bit constant (0xDEADBEEF) to gate transitions from run-test-idle to the DR scan path. The password is stored in a register initialized at reset, the comparison is purely combinatorial with a trivially enumerable 32-bit value, and the bitindex counter is never bounded, creating both a predictable bypass condition and a potential counter overflow. More critically, the check can be bypassed entirely because the `passchk` flag is only cleared in `STATE_test_logic_reset` and the state machine can be forced back to test_logic_reset via TMS without resetting the `correct` counter, meaning partial progress is not cleared on soft reset paths. Additionally, no hardware lifecycle/fuse/OTP guard exists around the JTAG interface.
---
The JTAG TAP controller in adbg_tap_top implements a non-standard, bypassable password check (using signals 'pass', 'passchk', 'correct', 'bitindex') to gate access to the debug scan chain. This scheme is cryptographically weak, initialized to a hardcoded constant (0xDEADBEEF) on reset, and can be bypassed by satisfying a trivially observable counter threshold, enabling unauthorized access to the full debug interface.
---
The JTAG TAP controller in adbg_tap_top implements a custom password-based access gate using signals 'passchk', 'pass', 'correct', and 'bitindex'. The password is initialized to the hardcoded constant 0xDEADBEEF on reset, and the authentication logic is trivially bypassable: the counter 'correct' only needs to reach 0x0001FFFF (131071) to set passchk=1, regardless of whether the actual TDI bits matched the password. Furthermore, the password value is a well-known constant, and the check logic is implemented in a purely combinatorial always block that uses non-blocking-style reg updates, making the protection semantically weak and architecturally unsound."
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,H18-009,TP,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-018,0,0,"The JTAG TAP controller implements a non-standard, home-grown password authentication mechanism guarding access to debug states. The password ('pass') is initialized to the constant 0xDEADBEEF on reset and the 'passchk' flag is set combinatorially in the next-state logic block without proper sequential protection. The entire scheme is trivially bypassable: the password is a hardcoded constant, and the 'correct' counter and 'bitindex' are never reset across normal state transitions, creating logic that does not belong in a standard JTAG FSM and introduces both a false sense of security and potential state corruption."
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,H18-028,Duplicate,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-006,9,0,"The adbg_axi_biu module, a debug interface bus interface unit, drives AXI master signals (axi_master_ar_valid, axi_master_aw_valid, etc.) that grant read/write access to the full AXI address space with no privilege check, no address range restriction, no authentication guard, and all protection bits hardwired to zero. Any debugger with access to the JTAG/TCK interface can initiate arbitrary AXI bus transactions to any address.
---
The status_reg_wr write-enable signal for the CPU stall/reset control register is derived solely from JTAG data-register contents (intreg_ld_en and reg_select_data) with no authentication, privilege, or lifecycle guard. Any JTAG actor that can assert update_dr_i with the correct opcode can directly write the CPU stall control register, including setting or clearing CPU stall for all cores.
---
The top_inhibit_o signal from adbg_or1k_module is driven directly into adbg_top's module_inhibit without any privilege or authentication check, allowing the debug module's internal state machine to prevent the top-level from latching a new module ID. More critically, the entire advanced debug interface (JTAG-accessible CPU stall, register read/write, memory burst access) operates without any access control or privilege check beyond JTAG physical access, and the top_inhibit_o/module_inhibit mechanism can be influenced by unauthenticated JTAG commands.
---
The JTAG debug interface (adbg_tap_top/adbg_top) exposes full CPU debug access (register read/write, stall, reset) through the debug_select_o signal with no authentication, privilege check, or hardware lifecycle lock. Any entity with physical or logical JTAG access can activate the DEBUG instruction and gain unrestricted access to CPU internals.
---
The JTAG TAP controller in adbg_tap_top exposes debug, MBIST, and boundary-scan access with no authentication or privilege guard beyond the standard JTAG state machine. The extest_select signal (and companion selects for debug, mbist, sample_preload) is driven purely by the latched instruction register value, which is loaded from any JTAG shift operation with no lock, fuse, lifecycle, or authentication check. There is also a residual debug artifact: the TAP FSM reset sequence stores a hardcoded sentinel value (32'hDEADBEEF) into a register named 'pass' with no apparent functional purpose, suggesting a debug backdoor or leftover test hook."
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,H18-028,TP,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-001,0,0,"The debug AXI BIU module (adbg_axi_biu) provides unrestricted AXI master access to the full system memory map with no privilege, authentication, or address-range guard. The only gating is an active-low reset (axi_aresetn) and a toggle-based start strobe from the JTAG/TCK domain, with no permission check preventing arbitrary reads or writes to any AXI address."
claude_sonnet_4-6,ours_chain_context,h18_fc_core_security_scope,1,,FP,ours_chain_context:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:F-002,0,29,"core_clock_en_o is hardwired to 1'b1 in apb_interrupt_cntrl, permanently enabling the CPU core clock with no gating mechanism, bypassing any power or security control over clock enablement.
---
The test_mode_i/test_en_i signal propagates without any guard or authentication check to security-sensitive modules including the interrupt controller, CPU core, and hardware accelerator, enabling scan/test-mode bypass of normal operational security controls.
---
Debug registers in address range 6'b10_0000 (RD_DBGS) are readable without requiring the core to be halted, allowing sensitive debug state readback while the CPU is running.
---
The debug_rdata_o output in zeroriscy_debug_unit exposes CPU register file contents (GPR) and CSR values unconditionally through the debug interface without any privilege/authentication check, and this data is directly connected to the fc_subsystem debug_rdata output port which is externally accessible.
---
Debug register writes to DBG_CTRL (halt/resume/single-step settings) and DBG_IE (exception break settings) are accessible without requiring the core to be halted, allowing an attacker with debug bus access to modify sensitive debug control settings while the core is running."
claude_sonnet_4-6,ours_chain_context,h18_fc_core_security_scope,1,H18-017,Duplicate,ours_chain_context:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:F-013,70,0,"The debug interface (debug_req_i) is wired directly from fc_subsystem to zeroriscy_core without any privilege check, lifecycle guard, or lock bit. The debug unit grants access and issues debug_gnt_o unconditionally for several address regions, independent of whether the core is halted or whether an authenticated debug session is in progress.
---
The zeroriscy debug unit allows write access to certain debug registers (DBG_CTRL, DBG_HIT, DBG_IE at address range 6'b00_0000) without requiring the core to be halted, while a separate register block at 6'b10_0000 (DNPC) correctly gates access behind debug_halted_o. This inconsistency means an attacker with debug interface access can modify halt/resume control and debug settings (single-step, exception-break enables) even when the core is running.
---
The debug unit can directly write CSR registers and redirect the program counter without any privilege or authentication check, allowing an external debug interface to arbitrarily manipulate processor state including CSR saves, exception cause registers, and execution flow.
---
The debug unit can directly write to CSRs (including privilege-critical registers) bypassing normal instruction-level authorization, and the debug interface exposes full register file and CSR read/write access without evidence of privilege-level gating in the RTL.
---
The debug unit can force CSR state saves and redirect PC without privilege checks, allowing an external debug interface to modify privileged CPU state (mepc, mstatus) and control flow without any authentication or access-level guard."
claude_sonnet_4-6,ours_chain_context,h18_fc_core_security_scope,1,H18-017,TP,ours_chain_context:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:F-011,0,0,"The zeroriscy debug unit grants debug access (debug_gnt_o=1) to certain register regions without verifying that the core is halted, allowing unauthenticated debug reads and writes to proceed while the CPU is running."
claude_sonnet_4-6,ours_chain_context,h18_fc_core_security_scope,1,H18-025,Duplicate,ours_chain_context:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:F-007,4,0,"The interrupt mask register (r_mask / s_mask_next) in apb_interrupt_cntrl is freely writable via APB without any privilege, security, or lock check. Additionally, core_secure_mode_i is hardwired to 0 at the instantiation site, permanently disabling any secure-mode protection. The mask register controls which interrupts are forwarded to the CPU core, so unprivileged APB writes can silently suppress or enable any interrupt.
---
The MRET instruction (csr_restore_mret_id_o) restores machine-mode context from CSR mepc/mstatus without verifying that the current privilege level is actually M-mode, allowing an unprivileged or lower-privilege context to execute MRET and potentially escalate privileges or corrupt exception return state.
---
The debug settings input (dbg_settings_i) directly controls security-sensitive debug trap behavior including single-step trapping (DBG_SETS_SSTE), ECALL trapping (DBG_SETS_ECALL), and illegal instruction trapping (DBG_SETS_EILL) in the CPU controller FSM, with no privilege check, lock, or authentication guard visible in the source snippets before these settings take effect on the core's execution flow.
---
The CSR access permission check via csr_illegal is incomplete: only the CSR operation encoding (bits [13:12]) is validated for legality, but there is no privilege-level check on the CSR address being accessed. Any unprivileged software can access machine-mode CSRs including mstatus (0x300) without a privilege guard."
claude_sonnet_4-6,ours_chain_context,h18_fc_core_security_scope,1,H18-025,TP,ours_chain_context:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:F-005,0,0,"The apb_interrupt_cntrl module permanently hardwires core_secure_mode_i to 1'b0 and supervisor_mode_o to 1'b1, and performs no privilege or security-level check before allowing APB writes to modify interrupt mask, interrupt set/clear, and acknowledgment registers. Any APB master can freely manipulate all interrupt control registers without any access guard."
