finding_uid,model_family,method_name,input_scope,repetition,run_id,finding_id,summary,matched_case_id,detection_match,duplicate_of_finding_uid,evidence_quality,fp_cluster_id,cluster_scoring_role,review_notes,final_answer_path
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-001,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-001,"The debug AXI BIU module (adbg_axi_biu) provides unrestricted AXI master access to the full system memory map with no privilege, authentication, or address-range guard. The only gating is an active-low reset (axi_aresetn) and a toggle-based start strobe from the JTAG/TCK domain, with no permission check preventing arbitrary reads or writes to any AXI address.",H18-028,TP,,Sufficient,,TP,Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-002,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-002,"The adbg_axi_biu debug module AXI FSM initiates AXI bus transactions (reads and writes) driven purely by a JTAG-domain start strobe with no privilege, authentication, or address-range check. An attacker with access to the debug TAP can cause arbitrary AXI master read/write transactions to any address in the system fabric.",,FP,,Sufficient,FPC-0001,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-003,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-003,"The debug AXI BIU (adbg_axi_biu) directly drives AXI master address and data channels from debug-interface registers without any privilege check, address range guard, or access-control enforcement, allowing the JTAG debug interface to issue arbitrary AXI read/write transactions to any address in the system memory map.",,FP,,Sufficient,FPC-0002,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-004,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-004,"The AXI debug bus interface unit (adbg_axi_biu) drives the AXI protection signal (ARPROT/AWPROT) permanently to zero, meaning all debug-initiated AXI transactions are issued with unprivileged, non-secure, data access attributes, bypassing any privilege or security enforcement that the downstream interconnect or memory protection units rely on the PROT field to provide.",,FP,,Sufficient,FPC-0003,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-005,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-005,"AXI master protection signals (axi_master_aw_prot and axi_master_ar_prot) are hardwired to zero, meaning all debug-initiated AXI transactions are issued with no privilege, security, or instruction/data type indication, allowing the debug interface to access any memory region without access controls enforced by downstream AXI infrastructure.",,FP,,Sufficient,FPC-0004,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-006,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-006,"The adbg_axi_biu module, a debug interface bus interface unit, drives AXI master signals (axi_master_ar_valid, axi_master_aw_valid, etc.) that grant read/write access to the full AXI address space with no privilege check, no address range restriction, no authentication guard, and all protection bits hardwired to zero. Any debugger with access to the JTAG/TCK interface can initiate arbitrary AXI bus transactions to any address.",H18-028,Duplicate,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-001,Sufficient,,TP_DUPLICATE,Duplicate of ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-001: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-007,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-007,"The AXI debug BIU (adbg_axi_biu) drives AXI master protection signals (axi_master_aw_prot, axi_master_aw_lock, axi_master_aw_cache, axi_master_aw_region, axi_master_aw_qos) as hardcoded zeros, permanently granting unprivileged, non-secure, non-locked, non-cached access. The debug interface issues AXI transactions with aw_prot=0 (unprivileged, non-secure data access) regardless of the privilege level or security context of the debugger, meaning debug-originated writes bypass any memory-protection scheme that relies on AXI AxPROT signaling.",,FP,,Sufficient,FPC-0005,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-008,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-008,"The AXI debug BIU (adbg_axi_biu) issues AXI read/write transactions with all protection, privilege, and security attributes hardwired to zero, allowing the debug interface to access any memory region without privilege or security enforcement.",,FP,,Sufficient,FPC-0006,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-009,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-009,"The adbg_lint_module uses a blocking assignment (=) instead of non-blocking assignment (<=) inside a clocked always block for internal_reg_error, which is a RTL coding violation. More critically, the debug interface exposes data_from_biu (memory read data) through the JTAG shift register without any authentication, privilege check, or access control guard. Any JTAG-connected entity can issue burst read commands to read arbitrary memory locations.",,FP,,Sufficient,FPC-0007,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-010,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1,F-010,"The JTAG debug interface (adbg_lintonly_top) is directly wired to the SoC memory fabric without any authentication, privilege check, or lifecycle-based access control. The debug_select_i/lint_select_i signal is the sole gating mechanism, and it is driven directly from an external JTAG pin (jtag_axireg_sel_i) with no hardware-enforced permission check.",,FP,,Sufficient,FPC-0008,FP_CLUSTER_REP,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_claude\models\claude_sonnet_4-6\hackatdac18__debug_jtag_scope\rep_1\final_answer.json
