model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
gemini_3.1_pro_preview,baseline,h18_gpio_apb_scope,hackatdac18,H18-001,FN,,,,
gemini_3.1_pro_preview,baseline,h18_gpio_apb_scope,hackatdac18,H18-004,FN,,,,
gemini_3.1_pro_preview,baseline,h18_gpio_apb_scope,hackatdac18,H18-005,FN,,,,
gemini_3.1_pro_preview,baseline,h18_gpio_apb_scope,hackatdac18,H18-006,FN,,,,
gemini_3.1_pro_preview,baseline,h18_gpio_apb_scope,hackatdac18,H18-008,FN,,,,
gemini_3.1_pro_preview,baseline,h18_debug_jtag_scope,hackatdac18,H18-009,FN,,,,
gemini_3.1_pro_preview,baseline,h18_debug_jtag_scope,hackatdac18,H18-010,FN,,,,
gemini_3.1_pro_preview,baseline,h18_debug_jtag_scope,hackatdac18,H18-012,FN,,,,
gemini_3.1_pro_preview,baseline,h18_fc_core_security_scope,hackatdac18,H18-017,FN,,,,
gemini_3.1_pro_preview,baseline,h18_fc_core_security_scope,hackatdac18,H18-025,FN,,,,
gemini_3.1_pro_preview,baseline,h18_fc_core_security_scope,hackatdac18,H18-027,FN,,,,
gemini_3.1_pro_preview,baseline,h18_debug_jtag_scope,hackatdac18,H18-028,FN,,,,
gemini_3.1_pro_preview,baseline,h19_access_control_fabric_scope,hackatdac19,H19-001,FN,,,,
gemini_3.1_pro_preview,baseline,h19_debug_jtag_scope,hackatdac19,H19-005,FN,,,,
gemini_3.1_pro_preview,baseline,h19_csr_privilege_scope,hackatdac19,H19-009,FN,,,,
gemini_3.1_pro_preview,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-010,FN,,,,
gemini_3.1_pro_preview,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-011,FN,,,,
gemini_3.1_pro_preview,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-014,FN,,,,
gemini_3.1_pro_preview,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-015,FN,,,,
gemini_3.1_pro_preview,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-017,FN,,,,
gemini_3.1_pro_preview,baseline,h19_csr_privilege_scope,hackatdac19,H19-020,FN,,,,
gemini_3.1_pro_preview,baseline,h19_csr_privilege_scope,hackatdac19,H19-024,FN,,,,
gemini_3.1_pro_preview,baseline,h19_csr_privilege_scope,hackatdac19,H19-025,FN,,,,
gemini_3.1_pro_preview,baseline,h19_access_control_fabric_scope,hackatdac19,H19-041,FN,,,,
gemini_3.1_pro_preview,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-045,FN,,,,
gemini_3.1_pro_preview,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-046,FN,,,,
gemini_3.1_pro_preview,baseline,h19_debug_jtag_scope,hackatdac19,H19-047,FN,,,,
gemini_3.1_pro_preview,baseline,h19_debug_jtag_scope,hackatdac19,H19-048,FN,,,,
gemini_3.1_pro_preview,baseline,h19_debug_jtag_scope,hackatdac19,H19-049,FN,,,,
gemini_3.1_pro_preview,baseline,h19_debug_jtag_scope,hackatdac19,H19-050,FN,,,,
gemini_3.1_pro_preview,baseline,h19_debug_jtag_scope,hackatdac19,H19-051,FN,,,,
gemini_3.1_pro_preview,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-052,FN,,,,
gemini_3.1_pro_preview,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-053,FN,,,,
gemini_3.1_pro_preview,baseline,h19_debug_jtag_scope,hackatdac19,H19-054,FN,,,,
gemini_3.1_pro_preview,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-055,FN,,,,
gemini_3.1_pro_preview,baseline,h19_debug_jtag_scope,hackatdac19,H19-056,FN,,,,
gemini_3.1_pro_preview,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-057,FN,,,,
gemini_3.1_pro_preview,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-058,FN,,,,
