failure_uid,model_family,method_name,input_scope,repetition,run_id,failure_object_type,related_finding_uid,related_case_id,detection_match,evidence_quality,summary,final_answer_path,tool_trace_path,candidate_reason,failure_manifestation,failure_mechanism,evidence_from_output,tool_trace_observation,likely_cause,method_implication,review_notes
E00001,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F1,H18-009,Duplicate,Insufficient,Missing debug enable guard: AXI debug module generates bus transactions without any authentication or permission check. This allows unrestricted debug access to all memory and peripherals.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\tool_observations.jsonl,Duplicate finding,,,,,,,
E00002,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F2,H18-009,Duplicate,Insufficient,"Missing debug enable guard for LINT debug module: JTAG-initiated LINT transactions can proceed without any authentication, exposing internal bus resources.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\tool_observations.jsonl,Duplicate finding,,,,,,,
E00003,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F3,H18-009,Duplicate,Insufficient,"Missing module selection lock: No authentication or sticky lock prevents an attacker from switching the active debug module via JTAG, allowing access to any debug interface.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\tool_observations.jsonl,Duplicate finding,,,,,,,
E00004,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,FP_finding,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F4,,FP,Unsupported,"Missing lock on debug status register: writes to critical debug control bits are unprotected, allowing unauthorized modification.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\tool_observations.jsonl,FP finding,,,,,,,
E00005,deepseek_v4_pro,proposed,h18_debug_jtag_scope,2,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2:F1,H18-028,Duplicate,Sufficient,Debug master can access safe_domain without authentication due to missing authorization gate.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00006,deepseek_v4_pro,proposed,h18_debug_jtag_scope,2,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2:F2,H18-009,Duplicate,Insufficient,Debug command registers are writable via JTAG without any authentication or lock mechanism.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00007,deepseek_v4_pro,proposed,h18_debug_jtag_scope,2,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2:F4,H18-028,Duplicate,Insufficient,"Debug master can access any memory region without respecting PMP or any memory protection, bypassing secure partitions.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00008,deepseek_v4_pro,proposed,h18_debug_jtag_scope,2,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2:F5,H18-028,Duplicate,Sufficient,"Debug path can read any safe_domain peripheral registers, potentially leaking secret material if crypto or key storage is present.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\tool_observations.jsonl,Duplicate finding,,,,,,,
E00009,deepseek_v4_pro,proposed,h18_debug_jtag_scope,3,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_3,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_3:F3,H18-028,Duplicate,Insufficient,OR1K debug module likely lacks necessary privilege checks when accessing CPU status registers.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_3\tool_observations.jsonl,Duplicate finding,,,,,,,
E00010,deepseek_v4_pro,proposed,h18_debug_jtag_scope,3,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_3,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_3:F4,H18-028,Duplicate,Insufficient,Unable to determine if debug bus transactions are properly restricted from secure memory regions.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_3\tool_observations.jsonl,Duplicate finding,,,,,,,
