model_family,method_name,input_scope,repetition,matched_case_id,detection_match,representative_finding_uid,duplicate_count,fp_count,example_summaries
claude_sonnet_4-6,baseline,h18_debug_jtag_scope,1,,FP,baseline:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:FIND-002,0,2,"AXI protection signals (aw_prot, ar_prot) and user/privilege signals (aw_user, ar_user) are hardwired to zero by the JTAG AXI debug master, preventing any downstream memory protection unit from correctly identifying and filtering privileged debug bus accesses.
---
AXI write-address protection field (aw_prot) and read-address protection field (ar_prot) are cross-wired in the pulp_soc output port unpack: aw_prot output is driven by ar_prot register and vice versa, corrupting protection metadata for all transactions leaving the SoC."
claude_sonnet_4-6,baseline,h18_debug_jtag_scope,1,H18-028,Duplicate,baseline:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:FIND-004,1,0,"The JTAG debug interface enables unrestricted CPU reset (cpu_rst_o) of all cores without any privilege or authentication check, allowing any JTAG user to forcibly reset processor cores."
claude_sonnet_4-6,baseline,h18_debug_jtag_scope,1,H18-028,TP,baseline:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:FIND-001,0,0,No JTAG authentication or access-control mechanism: the debug interface grants full AXI bus master access and CPU control to anyone with JTAG pin access without any hardware password or authentication check.
claude_sonnet_4-6,baseline,h18_fc_core_security_scope,1,,FP,baseline:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:FIND-001,0,3,"supervisor_mode_o is hardcoded to 1'b1, permanently asserting supervisor mode regardless of actual core privilege state
---
core_secure_mode_i to apb_interrupt_cntrl is hardcoded to 0, disabling any secure-mode-aware interrupt masking
---
mstatus.mpp field is always forced to PRIV_LVL_M (machine mode) on every write and reset, preventing software-controlled privilege-level restoration via MRET"
claude_sonnet_4-6,baseline,h18_fc_core_security_scope,1,H18-025,TP,baseline:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:FIND-005,0,0,CSR decoder does not check or enforce privilege-level gating for CSR accesses — any code can access M-mode CSRs without privilege check
claude_sonnet_4-6,baseline,h18_fc_core_security_scope,1,H18-027,TP,baseline:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:FIND-002,0,0,"Secure IRQ output (core_irq_sec_o) from apb_interrupt_cntrl is left unconnected in fc_subsystem, discarding security interrupt classification"
claude_sonnet_4-6,baseline,h18_gpio_apb_scope,1,,FP,baseline:claude_sonnet_4-6:h18_gpio_apb_scope:rep_1:FIND-001,0,1,"AXI AWPROT and ARPROT signals are cross-wired on the data master output port: the write-channel protection output (data_master_aw_prot_o) is driven by the read-channel's internal prot field (s_data_master.ar_prot), and the read-channel protection output (data_master_ar_prot_o) is driven by the write-channel's internal prot field (s_data_master.aw_prot). This silently swaps AXI privilege and security attributes on every outgoing transaction."
claude_sonnet_4-6,baseline,h18_gpio_apb_scope,1,H18-004,TP,baseline:claude_sonnet_4-6:h18_gpio_apb_scope:rep_1:FIND-002,0,0,"The GPIO register lock mechanism (REG_GPIOLOCK) in apb_gpio.sv is incomplete and bypassable. The PADOUTSET and PADOUTCLR registers modify the GPIO output register (r_gpio_out) without checking the lock bit, bypassing the protection applied to REG_PADOUT. Additionally, the lock register itself (REG_GPIOLOCK) is writable without any protection, allowing any bus master to clear the lock and then freely modify all locked registers."
claude_sonnet_4-6,baseline,h18_gpio_apb_scope,1,H18-008,TP,baseline:claude_sonnet_4-6:h18_gpio_apb_scope:rep_1:FIND-003,0,0,"The APB peripheral bus address map in periph_bus_defines.sv defines overlapping address ranges: the GPIO slave range (0x1A10_1000–0x1A10_AFFF) fully encompasses the UDMA (0x1A10_2000–0x1A10_4FFF), SOC_CTRL (0x1A10_4000–0x1A10_4FFF), and EU (0x1A10_9000–0x1A10_AFFF) slave ranges. The APB node performs parallel, non-prioritized address decode, causing multiple PSEL signals to assert simultaneously for addresses in the overlapping regions, which broadcasts writes to multiple slaves and returns undefined read data."
claude_sonnet_4-6,baseline,h19_access_control_fabric_scope,1,,FP,baseline:claude_sonnet_4-6:h19_access_control_fabric_scope:rep_1:FIND-001,0,2,"ROM2 secure key store allows unrestricted runtime writes with no privilege or access-mode check
---
access_ctrl_reg is only 48 bits wide per subordinate but must cover 12 peripherals × 4 privilege levels = 48 bits; however the ROM2 write path writes only 64-bit wdata_i into 192-bit secure_reg slots, and the access_ctrl_reg width exactly matches only if NB_PERIPHERALS stays at 12 — any increase silently truncates permissions for higher-indexed peripherals"
