model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
claude_sonnet_4-6,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-001,FN,,,,
claude_sonnet_4-6,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-004,TP,1,ours_chain_context:claude_sonnet_4-6:h18_gpio_apb_scope:rep_1:F-005,Sufficient,
claude_sonnet_4-6,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-005,TP,1,ours_chain_context:claude_sonnet_4-6:h18_gpio_apb_scope:rep_1:F-012,Sufficient,
claude_sonnet_4-6,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-006,FN,,,,
claude_sonnet_4-6,ours_chain_context,h18_gpio_apb_scope,hackatdac18,H18-008,FN,,,,
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,hackatdac18,H18-009,TP,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-018,Sufficient,
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,hackatdac18,H18-010,FN,,,,
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,hackatdac18,H18-012,FN,,,,
claude_sonnet_4-6,ours_chain_context,h18_fc_core_security_scope,hackatdac18,H18-017,TP,1,ours_chain_context:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:F-011,Sufficient,
claude_sonnet_4-6,ours_chain_context,h18_fc_core_security_scope,hackatdac18,H18-025,TP,1,ours_chain_context:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:F-005,Sufficient,
claude_sonnet_4-6,ours_chain_context,h18_fc_core_security_scope,hackatdac18,H18-027,TP,1,ours_chain_context:claude_sonnet_4-6:h18_fc_core_security_scope:rep_1:F-001,Sufficient,
claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,hackatdac18,H18-028,TP,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-001,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_access_control_fabric_scope,hackatdac19,H19-001,FN,,,,
claude_sonnet_4-6,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-005,TP,1,ours_chain_context:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:F-018,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_csr_privilege_scope,hackatdac19,H19-009,TP,1,ours_chain_context:claude_sonnet_4-6:h19_csr_privilege_scope:rep_1:F-004,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-010,TP,1,ours_chain_context:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:F-001,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-011,FN,,,,
claude_sonnet_4-6,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-014,FN,,,,
claude_sonnet_4-6,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-015,FN,,,,
claude_sonnet_4-6,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-017,TP,1,ours_chain_context:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:F-018,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_csr_privilege_scope,hackatdac19,H19-020,TP,1,ours_chain_context:claude_sonnet_4-6:h19_csr_privilege_scope:rep_1:F-001,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_csr_privilege_scope,hackatdac19,H19-024,TP,1,ours_chain_context:claude_sonnet_4-6:h19_csr_privilege_scope:rep_1:F-055,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_csr_privilege_scope,hackatdac19,H19-025,TP,1,ours_chain_context:claude_sonnet_4-6:h19_csr_privilege_scope:rep_1:F-025,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_access_control_fabric_scope,hackatdac19,H19-041,FN,,,,
claude_sonnet_4-6,ours_chain_context,h19_aes_rom2_security_scope,hackatdac19,H19-045,TP,1,ours_chain_context:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:F-005,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_jtag_debug_expansion_scope,hackatdac19,H19-046,FN,,,,
claude_sonnet_4-6,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-047,TP,1,ours_chain_context:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:F-009,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-048,TP,1,ours_chain_context:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:F-021,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-049,TP,1,ours_chain_context:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:F-071,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-050,TP,1,ours_chain_context:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:F-003,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_debug_jtag_scope,hackatdac19,H19-051,TP,1,ours_chain_context:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:F-063,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_jtag_debug_expansion_scope,hackatdac19,H19-052,TP,1,ours_chain_context:claude_sonnet_4-6:h19_jtag_debug_expansion_scope:rep_1:F-075,Sufficient,
claude_sonnet_4-6,ours_chain_context,h19_jtag_debug_expansion_scope,hackatdac19,H19-053,FN,,,,
