run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,F-001,h19_aes_rom2_security_scope,"ROM2 secure key storage (fuse) allows unrestricted writes from the AXI bus, enabling any bus master to overwrite AES keys, JTAG keys, and access control registers.",src/rom2/rom2.sv; tb/ariane_peripherals.sv,rom2; ariane_peripherals,secure_reg; key_reg_out; secure_reg write logic; axi2mem to rom2 instantiation; comment,H19-045,TP,Sufficient,high,no,no,no,no,no,Correctly identifies ROM2 secure key storage writable through AXI path.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,F-002,h19_aes_rom2_security_scope,"AES wrapper exposes the full 192-bit AES key through readable APB registers, allowing any bus master to extract the AES encryption key.",src/aes/aes_wrapper.sv; tb/ariane_peripherals.sv,aes_wrapper; ariane_peripherals,key_big; key_big assignment; APB read case for key registers; key_reg_out[0] connection,H19-010,TP,Sufficient,high,no,no,no,no,no,Correctly identifies AES key readback through AES registers.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,F-001,h19_aes_rom2_security_scope,"ROM2 secure key registers are writable via AXI bus without any access control enforcement, allowing any bus master to overwrite cryptographic keys and access control configuration.",src/rom2/rom2.sv; tb/ariane_peripherals.sv,rom2; ariane_peripherals,"secure_reg; secure_reg write path; rom2_fuse AXI slave port, key_reg_out, jtag_key, access_ctrl_reg; secure_reg write logic; comment; key distribution",H19-045,TP,Sufficient,high,no,no,no,no,no,Correctly identifies writable ROM2 secure registers exposed through AXI.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,F-002,h19_aes_rom2_security_scope,"AES encryption key is readable via the APB register interface, allowing any bus master to extract the secret key.",src/aes/aes_wrapper.sv; tb/ariane_peripherals.sv,aes_wrapper; ariane_peripherals,key_big readback via external_bus_io.rdata; key_big assignment from key_in; read side case statement; key_big assignment; AES key connection,H19-010,TP,Sufficient,high,no,no,no,no,no,Correct AES key readout finding.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,F-003,h19_aes_rom2_security_scope,"ROM2 secure registers are readable via AXI bus, allowing complete extraction of all stored keys (AES, JTAG, access control).",src/rom2/rom2.sv,rom2,"rdata_o read path, raddr_q, secure_reg; read path; read data output",H19-045,Duplicate,Sufficient,high,no,no,no,no,no,Duplicate ROM2 secure-register exposure already counted in F-001.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,F-004,h19_aes_rom2_security_scope,"Access control configuration for AXI bus permissions is stored in writable ROM2 registers, allowing privilege escalation through key modification.",src/rom2/rom2.sv; tb/ariane_peripherals.sv; tb/ariane_testharness.sv; src/axi_node/src/axi_node_intf_wrap.sv,rom2; ariane_peripherals; ariane_testharness; axi_node_intf_wrap,mem initialization values for access control (indices 2 and 3); access_ctrl_reg derived from key_reg_out[2] and [3]; access_ctrl derived from access_ctrl_reg; access_ctrl_i input to axi_node; connectivity_map_o derivation from access_ctrl_i; mem initialization; access control extraction; access_ctrl unpacking; connectivity_map_o,H19-058,TP,Sufficient,high,no,no,no,no,no,Correctly identifies access-control configuration sourced from writable ROM2 registers.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,F-001,h19_aes_rom2_security_scope,Security-critical keys in ROM2 secure_reg are writable by any AXI bus master without access-control enforcement.,src/rom2/rom2.sv; tb/ariane_peripherals.sv; src/aes/aes_wrapper.sv,rom2; ariane_peripherals; aes_wrapper,"secure_reg; key_reg_out, jtag_key, access_ctrl_reg; key_in (AES key from key_reg_out[0]); secure_reg write logic; mem constant (fuse emulation); key_reg_out usage; Read path for AES key",H19-045,TP,Sufficient,high,no,no,no,no,no,Correct ROM2 secure registers writable and feeding keys/access-control.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,F-002,h19_aes_rom2_security_scope,AES encryption key is readable by any APB bus master through the aes_wrapper read interface.,src/aes/aes_wrapper.sv; tb/ariane_peripherals.sv,aes_wrapper; ariane_peripherals,external_bus_io.rdata (key readback); i_aes_wrapper.key_in; rdata case items 16-21,H19-010,TP,Sufficient,high,no,no,no,no,no,Correct AES key readout through APB read interface.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,PERM-001,h19_aes_rom2_security_scope,ROM2 secure registers are writable through the AXI-facing memory path and directly drive the SoC access-control permission matrix.,src/rom2/rom2.sv; tb/ariane_peripherals.sv; tb/ariane_testharness.sv; src/axi_node/src/axi_node_intf_wrap.sv,rom2; ariane_peripherals; ariane_testharness; connectivity_mapping,secure_reg; rdata_o; key_reg_out/access_ctrl_reg/jtag_key; access_ctrl; connectivity_map_o; ROM2 purpose comment; output logic [3:0][191:0] secure_reg; secure_reg <= mem; secure_reg[addr_i[$clog2(RomSize)-1+3:3]] <= wdata_i; assign rdata_o = (raddr_q < RomSize) ? secure_reg[raddr_q] : '0; i_axi2rom2 and i_rom2 connections; jtag_key/access_ctrl_reg assignments from key_reg_out; assign access_ctrl[i][j] = access_ctrl_reg[i][4*j +: 4]; connectivity_map_o assignment,H19-058,TP,Sufficient,high,no,no,no,no,no,Correctly identifies writable ROM2 secure registers directly driving access-control matrix; also related to H19-045 but counted as H19-058.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,PERM-002,h19_aes_rom2_security_scope,The AES wrapper exposes the full ROM2-derived 192-bit AES key through normal readable registers.,tb/ariane_peripherals.sv; src/aes/aes_wrapper.sv,ariane_peripherals; aes_wrapper,key_reg_out[0]; key_big; external_bus_io.rdata; .key_in (key_reg_out[0]); assign key_big = key_in; external_bus_io.rdata = key_big[...] cases 16 through 21; external_bus_io.ready/error assignments,H19-010,TP,Sufficient,high,no,no,no,no,no,Correctly identifies AES full key readback.
