run_id,finding_id,input_scope,claimed_summary,claimed_files,claimed_modules,claimed_signals,matched_case_id,detection_match,evidence_quality,confidence_label,wrong_localization,insufficient_evidence,fabricated_evidence,unsupported_claim,overconfidence,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,F-01,h21_dma_pkt_scope,"acct_wrapper uses out-of-bounds reglk_ctrl[13] for write protection on acct_mem[3], [4], [5] making them permanently writable.",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,"reglk_ctrl[13]; reglk_ctrl_i port declaration; reglk_ctrl internal signal; Write-side case items for addresses 3,4,5",,FP,Insufficient,high,yes,yes,no,no,yes,ACCT lock issue not visible DMA/PKT GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,F-02,h21_dma_pkt_scope,reglk_wrapper write to reglk_mem[2] locks against incorrect source reglk_mem[3] instead of reglk_mem[2].,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[2]; Write-side case block,,FP,Insufficient,high,yes,yes,no,no,yes,reglk wrapper aliasing not visible DMA/PKT GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,F-03,h21_dma_pkt_scope,dma_wrapper receives reglk_ctrl_i but never uses it; DMA registers are unprotected by register locks.,piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv,dma_wrapper,reglk_ctrl_i; en; reglk_ctrl_i port; en assignment; Write-side always block for DMA registers,H21-031,TP,Sufficient,high,no,no,no,no,no,Correctly identifies DMA registers not protected by register locks.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,F-04,h21_dma_pkt_scope,"we_flag is OR'd into the access-control output of acct_wrapper, forcing peripheral access bits high when asserted.",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,acc_ctrl_o / we_flag; we_flag_0 -> we_flag; assign acc_ctrl_o = ...; acct_wrapper instantiation,,FP,Insufficient,high,yes,yes,no,no,yes,we_flag access override not visible DMA/PKT GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,F-05,h21_dma_pkt_scope,Read-side and write-side register-lock bit assignments are completely mismatched in both reglk_wrapper and acct_wrapper.,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv; piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,reglk_wrapper; acct_wrapper,reglk_mem write/read lock bits; acct_mem write/read lock bits; Write-side lock bits; Read-side lock bits,,FP,Insufficient,medium,yes,yes,no,no,yes,general lock mismatch not specific to DMA/PKT GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,F-001,h21_dma_pkt_scope,JTAG unlock signal bypasses all register lock protections in reglk_wrapper,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,jtag_unlock; reset condition,,FP,Sufficient,high,yes,no,no,no,no,JTAG unlock lock reset belongs to access_lock scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,F-002,h21_dma_pkt_scope,"Copy-paste bug in reglk_wrapper causes register lock aliasing: address 2 writes to reglk_mem[3] instead of reglk_mem[2], making one lock unwritable and two addresses collide",piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[2] / reglk_mem[3]; write case addresses 2 and 3,,FP,Insufficient,high,yes,yes,no,no,yes,reglk copy-paste bug not visible DMA/PKT GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,F-003,h21_dma_pkt_scope,"acct_wrapper uses undriven upper bits of reglk_ctrl for lock gating, rendering lock protections for acct_mem[3], [4], [5], [9] non-functional",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,reglk_ctrl; reglk_ctrl declaration and assignment; write case using reglk_ctrl[13] and reglk_ctrl[7],,FP,Insufficient,high,yes,yes,no,no,yes,ACCT lock issue not visible DMA/PKT GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,F-004,h21_dma_pkt_scope,"DMA wrapper registers (start, length, source/dest addresses) have no register lock protection, allowing unconstrained DMA transfers",piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv,dma_wrapper,"start_reg, length_reg, source_addr_*, dest_addr_*, done_reg, core_lock_reg, end_reg; DMA register write block; reglk_ctrl_i port declaration",H21-031,TP,Sufficient,high,no,no,no,no,no,Correct DMA programming registers lack register-lock protection.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,F-005,h21_dma_pkt_scope,"we_flag signal can force-enable access control bits, potentially bypassing software-configured access restrictions",piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,"acc_ctrl_o, we_flag; acc_ctrl_o assignment",,FP,Insufficient,medium,yes,yes,no,no,yes,we_flag issue not visible DMA/PKT GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_3,F-01,h21_dma_pkt_scope,Access-control write-lock permanently disabled for acct_mem entries 3-5 due to out-of-bounds reglk_ctrl bit index,piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,"acct_mem[03:05], reglk_ctrl[13]; reglk_ctrl_i; reglk_ctrl; acct_mem write logic",,FP,Insufficient,high,yes,yes,no,no,yes,ACCT lock issue not visible DMA/PKT GT.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_3,F-02,h21_dma_pkt_scope,DMA registers completely lack register-lock enforcement in write path,piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv,dma_wrapper,"start_reg, length_reg, source_addr_lsb_reg, source_addr_msb_reg, dest_addr_lsb_reg, dest_addr_msb_reg, done_reg, end_reg; reglk_ctrl_i; always @(posedge clk_i) write block",H21-031,TP,Sufficient,high,no,no,no,no,no,Correct DMA registers lack lock enforcement.
