finding_uid,model_family,method_name,input_scope,repetition,run_id,final_answer_path,finding_id,model_reported_status,summary,vulnerability_category,affected_locations,claimed_files,claimed_modules,claimed_signals_or_registers,evidence_items,reasoning_summary,security_impact,confidence,uncertainty_or_missing_evidence,matched_case_id,detection_match,duplicate_of_finding_uid,evidence_quality,review_notes
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-001,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-001,confirmed_finding,Hardcoded AXI PROT signals grant the debug interface unconditional access to Secure memory regions.,permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_axi_biu.sv:383-404 | adbg_axi_biu | data_o,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,data_o,"ips/adv_dbg_if/rtl/adbg_axi_biu.sv:383-404 | adbg_axi_biu | data_o | violation | The debug interface hardcodes axi_master_aw_prot to 'h0. In the AXI protocol, PROT bit 1 being 0 indicates a Secure access. This causes all debug write transactions to be treated as Secure. | Demonstrates that the debug module unconditionally requests Secure access privileges for all memory writes, bypassing non-secure domain isolation.","The debug interface acts as an AXI master generating memory transactions from external debug commands. By hardcoding `axi_master_aw_prot` to 0, the module permanently sets the AXI transaction type to Secure (PROT[1]=0). Because this module performs no local authentication checks, if an external entity issues debug commands, it can arbitrarily read and write Secure memory regions, bypassing hardware memory isolation mechanisms like TrustZone. Secure debug access should be dynamically controlled by a verified authentication state, or default to Non-Secure (e.g., 'h2).","An attacker with physical or remote access to the debug interface can perform arbitrary data modifications in Secure memory, entirely compromising the system's root of trust, cryptographic keys, and isolated enclaves.",high,"The broader SoC integration context may restrict debug access via a secure TAP controller or interconnect-level filters. However, at the IP level, issuing Secure transactions unconditionally represents an unsafe privilege elevation.",,FP,,Sufficient,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-002,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-002,confirmed_finding,"Hardcoded AXI protection (PROT) signals in the debug interface allow external debuggers to issue Secure memory transactions, potentially bypassing system security boundaries.",permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_axi_biu.sv:383-428 | adbg_axi_biu | axi_master_ar_burst,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,axi_master_ar_burst,"ips/adv_dbg_if/rtl/adbg_axi_biu.sv:383-428 | adbg_axi_biu | axi_master_ar_burst | violation | The adbg_axi_biu module hardcodes AXI master signals axi_master_aw_prot and axi_master_ar_prot to 'h0. In the AXI protocol, PROT[1] == 0 indicates a Secure transaction. | Assigning 'h0 to the PROT signals grants all debug transactions Secure system-level access by default, lacking dynamic privilege configuration or downstream gating.","The Advanced Debug Interface AXI Bus Interface Unit (adbg_axi_biu) initiates transactions on the AXI bus using hardcoded protection attributes (`aw_prot` and `ar_prot` set to `'h0`). According to the AXI specification, `PROT = 3'b000` encodes an Unprivileged, Secure, Data access (since `PROT[1] = 0` means Secure). Consequently, any external debugger connecting through this interface will implicitly be granted Secure access to the system interconnect, which can allow an attacker to read out sensitive memory (like keys) or corrupt secure configurations if debug access is not physically disabled or heavily authenticated before this block.","An unauthorized user with debug access (e.g., via JTAG) could execute arbitrary memory reads and writes in the Secure domain, bypassing intended privilege levels and compromising confidentiality and integrity of secure system assets.",high,It is unknown if there is a separate debug authentication module (like a JTAG gating mechanism or an AXI firewall) at the system level that prevents unauthorized use of the debug interface entirely.,,FP,,Sufficient,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-003,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-003,confirmed_finding,"Hardcoded AXI protection signals (PROT) in the debug interface allow external debuggers to issue Secure AXI transactions, potentially bypassing system security policies.",permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_axi_biu.sv:383-411 | adbg_axi_biu | procedural_assign:389,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,procedural_assign:389,"ips/adv_dbg_if/rtl/adbg_axi_biu.sv:383-411 | adbg_axi_biu | procedural_assign:389 | violation | The AXI master protection signals axi_master_aw_prot and axi_master_ar_prot are hardcoded to 'h0. | Tying PROT to 0 corresponds to a Secure, Unprivileged, Data access on the AXI bus. This means every debug transaction is unconditionally marked as Secure.","The Advanced Debug Interface AXI Bus Interface Unit (adbg_axi_biu) unconditionally ties the AXI master write and read protection signals (aw_prot and ar_prot) to 'h0. According to the AMBA AXI specification, a PROT[1] value of 0 indicates a Secure access. Consequently, any transaction initiated via the debug interface will be treated as Secure by the system interconnect. This permits an external debugger to read and write Secure memory and peripherals, circumventing TrustZone or other hardware-enforced isolation mechanisms without requiring proper privilege configuration or dynamic debug authentication.","An attacker with physical or remote access to the debug interface (e.g., JTAG) can issue Secure AXI transactions to extract confidential data or modify secure state, completely compromising the Trusted Execution Environment.",high,"The context does not include the system-level interconnect. It is possible (though risky and non-standard) that a downstream firewall blocks or downgrades transactions from the debug master ID, but the IP module itself inherently violates the principle of least privilege by defaulting to Secure transactions.",,FP,,Sufficient,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-004,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-004,confirmed_finding,"Hardcoded AXI protection (PROT) signals grant Secure access to the debug interface, potentially allowing unauthorized access to protected memory.",permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_axi_biu.sv:321-404 | adbg_axi_biu | rd_wrn_i,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,rd_wrn_i,"ips/adv_dbg_if/rtl/adbg_axi_biu.sv:321-404 | adbg_axi_biu | rd_wrn_i | violation | The debug interface hardcodes 'axi_master_aw_prot' to 'h0 (line 396), which translates to an AXI PROT value of 0b000 where PROT[1]=0 implies a Secure access. | By hardcoding PROT[1] to 0, all write transactions initiated by the debug interface are inherently given Secure memory privilege, bypassing intended Non-secure domain isolation.","The `adbg_axi_biu` module acts as a bus interface unit bridging debug (JTAG) commands to an AXI master port. It statically assigns 'axi_master_aw_prot = 'h0'. According to the AMBA AXI specification, AWPROT[1] = 0 signifies a 'Secure' access. Consequently, any debugger connected to this interface will automatically issue memory writes with Secure privileges. Unless strict external authentication physically locks out the JTAG pins entirely, an attacker could abuse the debugger port to compromise secure memory regions, breaking TrustZone/Secure isolation.","An attacker with physical or network JTAG/debug access can arbitrarily write to Secure memory segments, completely subverting hardware isolation boundaries.",high,"The system-level integration may place a debug authentication module ahead of this BIU that completely disables JTAG access unless authorized. However, hardcoding Secure access within the BIU violates defense-in-depth principles and forces the debugger into a trusted role.",,FP,,Sufficient,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-005,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-005,confirmed_finding,Hardcoded AXI protection attributes allow the debug interface to unconditionally issue Secure accesses.,permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_axi_biu.sv:388-404 | adbg_axi_biu | err_o,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,err_o,"ips/adv_dbg_if/rtl/adbg_axi_biu.sv:388-404 | adbg_axi_biu | err_o | violation | The AXI master write protection signal (axi_master_aw_prot) is hardcoded to 'h0. In AXI, an aw_prot value of 0 indicates a Secure, Unprivileged Data access. This forces all debug write transactions to be marked as Secure. | Demonstrates that the debug interface always bypasses the Secure/Non-Secure boundary by asserting the Secure attribute, lacking any dynamic authentication or privilege check.","In an AXI-based system, the aw_prot[1] bit determines whether a transaction is Secure (0) or Non-Secure (1). By hardcoding axi_master_aw_prot to 0, the debug interface acting as an AXI master unconditionally issues Secure write transactions. If deployed in a system with secure memory isolation (such as TrustZone), an attacker with JTAG or debug access could exploit this to arbitrarily overwrite protected Secure memory regions, bypassing hardware security boundaries since no dynamic secure-debug authentication check dictates this signal.","Allows an unauthorized or non-secure debugger to bypass system-level security protections and compromise Secure memory, potentially leading to full privilege escalation, sensitive data exposure, and arbitrary code execution in the Secure domain.",high,The exact exploitability depends on whether the SoC's AXI interconnect enforces aw_prot isolation and if physical JTAG/debug access is sufficiently gated at the top level before reaching this bus interface unit.,,FP,,Sufficient,FP: checked against gt_cases.csv and available evidence_gt hit summaries; no mechanism-specific GT match was established.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-006,confirmed_finding,"The Debug AXI Bus Interface Unit (adbg_axi_biu) hardcodes AXI protection signals (axi_master_aw_prot and axi_master_ar_prot) to 'h0, marking all debug transactions as Secure and potentially allowing unauthenticated debuggers to bypass system security boundaries.",permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_axi_biu.sv:378-428 | adbg_axi_biu | axi_master_ar_burst,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,axi_master_ar_burst,"ips/adv_dbg_if/rtl/adbg_axi_biu.sv:378-428 | adbg_axi_biu | axi_master_ar_burst | violation | The AXI protection signals `axi_master_aw_prot` and `axi_master_ar_prot` are statically assigned to 'h0 (e.g., lines 396 and 406). | Assigning 'h0 to the AXI PROT signals sets PROT[1] (the Non-secure bit) to 0, which dictates that all AXI transactions initiated by the debug module will be executed as Secure transactions, bypassing security domain checks.","The `adbg_axi_biu` module acts as a bridge from the debug interface to the system AXI bus. By hardcoding `axi_master_aw_prot` and `axi_master_ar_prot` to `0`, every AXI transaction initiated by the debugger is flagged as Secure (`PROT[1] == 0`). In a system implementing TrustZone or similar hardware-level security partitions, this behavior grants the debug interface unrestricted access to secure memory and peripherals. Unless there is an explicit external gatekeeper that authorizes debug operations before they reach this module, this design intrinsically violates privilege separation.","High. Privilege escalation and security boundary bypass. An attacker with access to the debug interface (such as JTAG) could leverage this to read sensitive secure memory, extract keys, or compromise the trusted execution environment.",high,"It is unknown if the broader System-on-Chip design mitigates this issue by employing external debug authentication (e.g., DBGEN/SPIDEN gating or an AXI firewall) before transactions from this master can reach the main system interconnect.",H18-028,TP,,Sufficient,Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-007,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-007,confirmed_finding,Unprotected JTAG debug interface allows unauthorized internal system bus access without authentication.,permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_lintonly_top.sv:9-118 | adbg_lintonly_top | DBG_TOP_MODULE_DATA_LEN,ips/adv_dbg_if/rtl/adbg_lintonly_top.sv; ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv,adbg_lintonly_top; pulp_soc,DBG_TOP_MODULE_DATA_LEN; i_lint_jtag,"ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv:730-746 | pulp_soc | i_lint_jtag | access_entry | The SoC top-level module (pulp_soc) connects external JTAG signals directly to the debug module wrapper (lint_jtag_wrap) without implementing any debug authentication, authorization, or life-cycle lockdown mechanism. | Shows the direct, unauthenticated path from external JTAG debug pins to the internal debug infrastructure.
ips/adv_dbg_if/rtl/adbg_lintonly_top.sv:9-118 | adbg_lintonly_top | DBG_TOP_MODULE_DATA_LEN | violation | The adbg_lintonly_top module unconditionally processes JTAG commands (shifting TDI into input_shift_reg) and translates them to access the LINT bus (lint_req_o, lint_add_o, lint_wdata_o) without any access control or privilege checks. | Demonstrates the absence of guards, locks, or permission states, thereby allowing arbitrary bus read/write operations via the debug interface.","The JTAG interface is connected to internal debug modules that have direct capability to read and write to the internal system bus (LINT). There is no source-code evidence of access control, challenge-response authentication, or device life-cycle management protecting these debug features. This constitutes unsafe debug behavior, as unauthorized physical access yields unrestricted control over the SoC.","An attacker with physical access to the exposed JTAG pins can bypass system security boundaries, arbitrarily read sensitive memory contents, and manipulate system state or execution flow.",high,"While the RTL provided completely lacks intrinsic JTAG protection, it is theoretically possible that external logic (e.g., a secure pad ring or a separate system controller) securely gates the JTAG pins outside of the pulp_soc hierarchy.",H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,Duplicate of ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-008,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-008,confirmed_finding,Unprotected JTAG debug interface allows arbitrary system memory and CPU state access without authentication.,permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_or1k_module.sv:63-178 | adbg_or1k_module | addr_ct_en,ips/adv_dbg_if/rtl/adbg_or1k_module.sv; ips/adv_dbg_if/rtl/adbg_top.sv,adbg_or1k_module; adbg_top,addr_ct_en; debug_select_i; DBG_TOP_MODULE_DATA_LEN,"ips/adv_dbg_if/rtl/adbg_top.sv:38-117 | adbg_top | debug_select_i | protected_resource | The debug top-level module (adbg_top) connects external JTAG signals directly to CPU debug controls and a full AXI4 Master interface. | Shows that the debug module has unrestricted access to the entire system memory space via AXI and CPU execution state.
ips/adv_dbg_if/rtl/adbg_top.sv:134-168 | adbg_top | DBG_TOP_MODULE_DATA_LEN | access_entry | The module selection (AXI or CPU) is determined directly from the JTAG input_shift_reg without any security condition or lock check. | Demonstrates the direct hardware path from JTAG instructions to critical internal module selection without authentication.
ips/adv_dbg_if/rtl/adbg_or1k_module.sv:63-178 | adbg_or1k_module | addr_ct_en | violation | adbg_or1k_module exposes CPU internal registers, stall mechanisms, and memory breakpoints to the JTAG interface unconditionally. Seed target data_from_biu reads back CPU values. | Confirms the lack of authentication or debug privilege guards before permitting CPU state modification and sensitive data readback.","The hardware debug interface (adbg_top) directly exposes an AXI4 Master and CPU debug controls to the external JTAG interface. It parses JTAG data to select between AXI and CPU debug modules and forwards read/write commands without enforcing any authentication, password challenge, or debug-enable privilege check. This missing guard allows an attacker with external JTAG access to completely control the CPU and read/write arbitrary memory.","An attacker with physical access to the JTAG pins can halt execution, arbitrarily read or modify system memory (including secure areas or keys), and bypass software protections, resulting in total system compromise.",high,"The broader SoC integration is not shown; it is possible that external JTAG pins are disabled, gated, or multiplexed at the SoC pad level based on lifecycle states. However, within the debug IP itself, there are strictly no access control mechanisms.",H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,Duplicate of ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-009,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-009,confirmed_finding,Unauthenticated JTAG debug interface allows complete system compromise by exposing CPU debug controls and AXI memory access without any access control or authorization.,permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_top.sv:152-168 | adbg_top | DBG_TOP_MODULE_DATA_LEN,ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv,adbg_top; adbg_or1k_status_reg,DBG_TOP_MODULE_DATA_LEN; debug_select_i; ctrl_reg_o,"ips/adv_dbg_if/rtl/adbg_top.sv:38-117 | adbg_top | debug_select_i | protected_resource | The top-level debug module exposes complete system access including an AXI4 Master interface and CPU control signals (stall, breakpoint, register access). | Shows that sensitive system resources are directly connected to the debug infrastructure.
ips/adv_dbg_if/rtl/adbg_top.sv:152-168 | adbg_top | DBG_TOP_MODULE_DATA_LEN | violation | The active debug module is selected directly from the JTAG input shift register without any authentication, challenge-response, or unlock mechanism. | Demonstrates the complete lack of access control or privilege checking on the JTAG interface.
ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv:62-141 | adbg_or1k_status_reg | ctrl_reg_o | impact | The debug status register directly controls CPU stall logic and breakpoints based on unauthenticated JTAG inputs, allowing arbitrary interruption of CPU execution. | Confirms the ability of an unauthenticated JTAG connection to manipulate the CPU state and potentially escalate privileges.","The debug interface (adbg_top) accepts JTAG commands and directly translates them into AXI memory transactions and CPU debug operations. There is no JTAG lock, authentication mechanism, or privilege level check implemented before granting access to these highly privileged resources. An attacker with physical access to JTAG pins can bypass all software security mechanisms, arbitrarily read or write memory via AXI, and control the CPU.","Complete compromise of system confidentiality and integrity. An attacker can extract secrets from memory, modify firmware, and control execution flow.",high,,H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,Duplicate of ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.
ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-010,gemini_3.1_pro_preview,ours_chain_context,h18_debug_jtag_scope,1,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\ours_chain_context\ours_chain_context_gemini\models\gemini_3.1_pro_preview\hackatdac18__debug_jtag_scope\rep_1\final_answer.json,F-010,confirmed_finding,Unauthenticated JTAG debug interface allows arbitrary access to CPU internal registers and execution control.,permission_related_vulnerability,ips/adv_dbg_if/rtl/adbg_or1k_module.sv:177-264 | adbg_or1k_module | DBG_OR1K_INTREG_STATUS,ips/adv_dbg_if/rtl/adbg_or1k_module.sv; ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv,adbg_or1k_module; adbg_or1k_status_reg,DBG_OR1K_INTREG_STATUS; bp_i,"ips/adv_dbg_if/rtl/adbg_or1k_module.sv:177-264 | adbg_or1k_module | DBG_OR1K_INTREG_STATUS | violation | Internal register read/write commands and burst operations are decoded directly from JTAG inputs without any authentication, privilege checking, or locking mechanism. | Shows that 'intreg_write' and 'intreg_instruction' are asserted unconditionally when the matching opcode is shifted in.
ips/adv_dbg_if/rtl/adbg_or1k_module.sv:177-264 | adbg_or1k_module | DBG_OR1K_INTREG_STATUS | guard_logic | The write enable for the sensitive internal status register ('status_reg_wr') is driven purely by the decoded JTAG instruction and load enable, lacking any security guard. | Demonstrates the absence of access control guards before altering sensitive debug states.
ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv:62-141 | adbg_or1k_status_reg | bp_i | impact | The debug interface has direct control over the CPU's stall signal ('cpu_stall_o') via the 'stall_reg_cpu' synchronized from the JTAG status register. | Illustrates the security impact: an unauthenticated JTAG user can halt the CPU at will.","The Advanced Debug interface (adbg_or1k_module) processes JTAG commands to control processor execution (e.g., stalling the CPU) and access internal registers. There is no evidence of authentication, challenge-response mechanisms, or privilege locks within the debug logic. As a result, anyone with physical or logical access to the JTAG test access port (TAP) can issue arbitrary debug commands, read sensitive data, and manipulate CPU execution, constituting an unsafe debug behavior vulnerability.","An attacker with access to the debug interface can halt the processor, read arbitrary memory or register contents, bypass software security mechanisms, and extract sensitive information (complete compromise of confidentiality and integrity).",high,"It is common for basic debug IPs to omit built-in authentication, relying instead on SoC-level mechanisms (e.g., JTAG gating or secure TAP controllers) to restrict access. Without the full SoC integration context, it is unknown if an external guard exists, but the IP itself is inherently unprotected.",H18-028,Duplicate,ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006,Sufficient,Duplicate of ours_chain_context:gemini_3.1_pro_preview:h18_debug_jtag_scope:rep_1:F-006: same run reports H18-028 again. Matched H18-028: reports unprotected JTAG/debug access path without password/authentication.
