failure_uid,model_family,method_name,input_scope,repetition,run_id,failure_object_type,related_finding_uid,related_case_id,detection_match,evidence_quality,summary,final_answer_path,tool_trace_path,candidate_reason,failure_manifestation,failure_mechanism,evidence_from_output,tool_trace_observation,likely_cause,method_implication,review_notes
E00001,deepseek_v4_pro,baseline,h18_fc_core_security_scope,2,baseline:deepseek_v4_pro:h18_fc_core_security_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h18_fc_core_security_scope:rep_2:FIND-02,H18-025,Duplicate,Sufficient,"The core is hardwired to Machine mode (M-mode) with no support for lower privilege levels (User/Supervisor/Hypervisor), and the MPP field in mstatus cannot be changed via writes, eliminating all privilege-based access control.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_fc_core_security_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h18_fc_core_security_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00002,deepseek_v4_pro,baseline,h19_access_control_fabric_scope,1,baseline:deepseek_v4_pro:h19_access_control_fabric_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h19_access_control_fabric_scope:rep_1:F-01,H19-041,Duplicate,Sufficient,"ROM2 secure registers are writable via the bus interface without any privilege-level or access-control enforcement, allowing any bus master to overwrite cryptographic keys and access control configuration.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00003,deepseek_v4_pro,baseline,h19_access_control_fabric_scope,2,baseline:deepseek_v4_pro:h19_access_control_fabric_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h19_access_control_fabric_scope:rep_2:F2,H19-041,Duplicate,Sufficient,Hardcoded default security keys in ROM2 source code expose access control and cryptographic key material in the RTL repository.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00004,deepseek_v4_pro,baseline,h19_access_control_fabric_scope,3,baseline:deepseek_v4_pro:h19_access_control_fabric_scope:rep_3,Duplicate,baseline:deepseek_v4_pro:h19_access_control_fabric_scope:rep_3:F-001,H19-041,Duplicate,Sufficient,"Hardcoded secret keys (JTAG, AES, Access Control) in ROM2 RTL source",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_3\tool_trace.jsonl,Duplicate finding,,,,,,,
E00005,deepseek_v4_pro,baseline,h19_access_control_fabric_scope,3,baseline:deepseek_v4_pro:h19_access_control_fabric_scope:rep_3,Duplicate,baseline:deepseek_v4_pro:h19_access_control_fabric_scope:rep_3:F-004,H19-041,Duplicate,Sufficient,JTAG key signal (jtag_key) in test harness appears undriven/uninitialized,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_3\tool_trace.jsonl,Duplicate finding,,,,,,,
E00006,deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,1,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_1:F002,H19-015,Duplicate,Sufficient,AES 192-bit key and intermediate state exposed on read-only APB register map,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00007,deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,2,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_2:F-003,H19-015,Duplicate,Sufficient,"AES key is fully readable via APB register interface in aes_wrapper, exposing the 192-bit encryption key.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00008,deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,3,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_3,Duplicate,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_3:AES-001,H19-015,Duplicate,Sufficient,AES encryption key is readable by any bus master through the APB register read interface,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_3\tool_trace.jsonl,Duplicate finding,,,,,,,
E00009,deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,3,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_3,Duplicate,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_3:ROM2-003,H19-015,Duplicate,Sufficient,"All cryptographic and security keys (AES key, JTAG key, access control configuration) are readable by any bus master through ROM2 AXI reads",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_3\tool_trace.jsonl,Duplicate finding,,,,,,,
E00010,deepseek_v4_pro,baseline,h19_csr_privilege_scope,2,baseline:deepseek_v4_pro:h19_csr_privilege_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h19_csr_privilege_scope:rep_2:FINDING-02,H19-020,Duplicate,Sufficient,CSR privilege check explicitly exempts MEPC from privilege-level enforcement,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_csr_privilege_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_csr_privilege_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
