finding_uid,model_family,method_name,input_scope,repetition,run_id,final_answer_path,finding_id,model_reported_status,summary,vulnerability_category,affected_locations,claimed_files,claimed_modules,claimed_signals_or_registers,evidence_items,reasoning_summary,security_impact,confidence,uncertainty_or_missing_evidence,matched_case_id,detection_match,duplicate_of_finding_uid,evidence_quality,review_notes
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F1,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,F1,confirmed_finding,Missing debug enable guard: AXI debug module generates bus transactions without any authentication or permission check. This allows unrestricted debug access to all memory and peripherals.,read/write memory via AXI / system memory and peripherals on AXI bus / permission-related RTL security issue,"ips/adv_dbg_if/rtl/adbg_top.sv
ips/adv_dbg_if/rtl/adbg_axi_module.sv
ips/adv_dbg_if/rtl/adbg_axi_module.sv
ips/adv_dbg_if/rtl/adbg_defines.v",ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_defines.v,,,"ips/adv_dbg_if/rtl/adbg_top.sv | unknown | module_selects[0] connected directly to adbg_axi_module module_select_i without gating.
ips/adv_dbg_if/rtl/adbg_axi_module.sv | unknown | Command decoding uses operation_in without any security check; no enable signal observed.
ips/adv_dbg_if/rtl/adbg_axi_module.sv | unknown | State machine transitions from STATE_Rstatus to STATE_Rburst to start read, and from STATE_Wwait to STATE_Wburst for writes, both without a permission condition.
ips/adv_dbg_if/rtl/adbg_defines.v | unknown | No debug enable define present in the global defines file.","Subject: JTAG debug interface (adbg_tap_top) Operation: read/write memory via AXI Object: system memory and peripherals on AXI bus Expected guard: debug enable state or authentication signal that gates AXI transaction generation Observed behavior: adbg_axi_module accepts JTAG commands and initiates AXI transactions unconditionally when selected; no debug_enable or authentication input is present. The module's FSM transitions directly from idle to burst operations upon command decode, without checking any permission signal. Path: adbg_tap_top -> adbg_top -> adbg_axi_module -> adbg_axi_biu -> AXI master Closure verdict: All required core evidence slots are present for a candidate violation.","An external debugger can read/write any memory or peripheral on the AXI bus, completely bypassing CPU privilege protections and secure boot.",high,,H18-028,TP,,Sufficient,"Matched H18-028: finding reports unauthenticated JTAG/debug access to internal debug/bus path, matching the JTAG not password protected case."
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F2,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,F2,confirmed_finding,"Missing debug enable guard for LINT debug module: JTAG-initiated LINT transactions can proceed without any authentication, exposing internal bus resources.",read/write internal memory via LINT / TCDM/LINT-connected memory and peripherals / permission-related RTL security issue,"ips/adv_dbg_if/rtl/adbg_lint_module.sv
ips/adv_dbg_if/rtl/adbg_lint_module.sv
ips/adv_dbg_if/rtl/adbg_lint_module.sv
ips/adv_dbg_if/rtl/adbg_defines.v",ips/adv_dbg_if/rtl/adbg_lint_module.sv; ips/adv_dbg_if/rtl/adbg_defines.v,,,"ips/adv_dbg_if/rtl/adbg_lint_module.sv | unknown | Command decoding and operation latch without any guard.
ips/adv_dbg_if/rtl/adbg_lint_module.sv | unknown | Next-state logic for burst reads/writes transitions solely on command and TAP state, no permission check.
ips/adv_dbg_if/rtl/adbg_lint_module.sv | unknown | Module port list shows no debug_enable or authenticated input.
ips/adv_dbg_if/rtl/adbg_defines.v | unknown | No debug enable macro defined.","Subject: JTAG debug interface Operation: read/write internal memory via LINT Object: TCDM/LINT-connected memory and peripherals Expected guard: debug enable or authentication signal that gates LINT transaction generation Observed behavior: adbg_lint_module decodes JTAG commands and initiates LINT bus transactions without any permission signal. The module's state machine starts burst reads/writes immediately upon command, and no debug_enable input exists in the port list. Path: adbg_tap_top -> adbg_top -> adbg_lint_module -> adbg_lint_biu -> LINT bus Closure verdict: All required core evidence slots are present for a candidate violation.","An attacker can access internal TCDM memory and peripherals via JTAG, reading secrets or modifying configuration.",high,,H18-028,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F1,Sufficient,"Duplicate of proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F1: same run reports H18-028 again; original finding kept as TP. Matched H18-028: finding reports unauthenticated JTAG/debug access to internal debug/bus path, matching the JTAG not password protected case."
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F3,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,F3,confirmed_finding,"Missing module selection lock: No authentication or sticky lock prevents an attacker from switching the active debug module via JTAG, allowing access to any debug interface.",select debug module (AXI/LINT) / debug module activation (module_select_i and top_inhibit_o signals) / permission-related RTL security issue,"ips/adv_dbg_if/rtl/adbg_top.sv
ips/adv_dbg_if/rtl/adbg_top.sv
ips/adv_dbg_if/rtl/adbg_defines.v",ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_defines.v,,,"ips/adv_dbg_if/rtl/adbg_top.sv | unknown | module_id_reg update logic: condition debug_select_i && select_cmd && update_dr_i && !select_inhibit. No lock or permission bit is checked.
ips/adv_dbg_if/rtl/adbg_top.sv | unknown | module_selects are derived directly from module_id_reg; no additional gating.
ips/adv_dbg_if/rtl/adbg_defines.v | unknown | Defines for module IDs (WISHBONE, CPU0, CPU1, JSP) but no lock configuration.","Subject: JTAG TAP controller (adbg_tap_top) Operation: select debug module (AXI/LINT) Object: debug module activation (module_select_i and top_inhibit_o signals) Expected guard: a lock or permission register that restricts which modules can be selected; or authenticated state required before able to select Observed behavior: Module selection is performed by writing to the input shift register with a select command, and the module_id_reg is updated directly on update_dr_i if !select_inhibit. There is no lock bit or authentication required to change the selected module. The select_inhibit signal only prevents switching during ongoing burst transactions, not for security. Path: adbg_tap_top -> data_register_i -> module_select_i -> adbg_top Closure verdict: All required core evidence slots are present for a candidate violation.","An attacker can switch the active debug module to any supported module, including ones with access to sensitive resources, without any authorization.",high,,H18-028,Duplicate,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F1,Sufficient,"Duplicate of proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F1: same run reports H18-028 again; original finding kept as TP. Matched H18-028: finding reports unauthenticated JTAG/debug access to internal debug/bus path, matching the JTAG not password protected case."
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F4,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,F4,confirmed_finding,"Missing lock on debug status register: writes to critical debug control bits are unprotected, allowing unauthorized modification.",write to debug status/control register / debug control bits in adbg_or1k_status_reg / permission-related RTL security issue,"ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv
ips/adv_dbg_if/rtl/adbg_or1k_defines.v",ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv; ips/adv_dbg_if/rtl/adbg_or1k_defines.v,,,"ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv | unknown | Module port list and inferred logic: we_i directly enables register update; no lock bit present.
ips/adv_dbg_if/rtl/adbg_or1k_defines.v | unknown | Defines file includes no lock bit define.","Subject: JTAG debug interface Operation: write to debug status/control register Object: debug control bits in adbg_or1k_status_reg Expected guard: sticky lock bit that, once set, prevents further writes to critical debug enable bits; or authenticated-only access Observed behavior: The adbg_or1k_status_reg module has a write enable (we_i) input; data_i is written directly to internal control registers (ctrl_reg_o). No lock bit or write-once mechanism was found. The register can be rewritten at any time via debug commands. Path: on-chip debug logic -> adbg_or1k_status_reg register file Closure verdict: All required core evidence slots are present for a candidate violation.","Debug control bits (e.g., stop, reset, debug enable) can be modified by an attacker at will, potentially disabling security locks or re-enabling debug after lock-down.",high,"File content truncated; full register write logic and lock implementation could not be confirmed from available snippet, but no lock signal was observed in the port list or logic.",,FP,,Sufficient,FP: related debug speculation but not a stable match to password/JTAG GT cases in this scope.
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F5,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,F5,confirmed_finding,"Debug enable not default-disabled at reset: debug modules are active immediately after reset, allowing JTAG access before secure boot.","reset (power-on or warm) / debug enable state (e.g., dbg_en, debug_module_clk_enable) / permission-related RTL security issue","ips/adv_dbg_if/rtl/adbg_top.sv
ips/adv_dbg_if/rtl/adbg_top.sv
ips/adv_dbg_if/rtl/adv_dbg_if.sv",ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adv_dbg_if.sv,,,"ips/adv_dbg_if/rtl/adbg_top.sv | unknown | Reset of module_id_reg to 0, enabling AXI module.
ips/adv_dbg_if/rtl/adbg_top.sv | unknown | Port list of adbg_top: no debug_enable or lock input.
ips/adv_dbg_if/rtl/adv_dbg_if.sv | unknown | Top-level debug interface wrapper shows no debug enable input from SoC.","Subject: JTAG debug interface (adbg_tap_top) Operation: reset (power-on or warm) Object: debug enable state (e.g., dbg_en, debug_module_clk_enable) Expected guard: reset default of debug enable = 0 (disabled); or requires authenticated sequence to enable Observed behavior: No debug enable register or global enable signal was found in the debug path. After reset, the adbg_top module initializes module_id_reg to 0, selecting the AXI module, and all debug sub-modules are ready to process JTAG commands immediately. There is no hardware default that keeps debug disabled at reset. Path: reset signal (trstn_i) -> debug enable register -> gate debug paths Closure verdict: All required core evidence slots are present for a candidate violation.","An attacker can access the debug interface immediately after reset, before any secure boot software has a chance to lock down debug, enabling early-stage compromise.",high,,,FP,,Sufficient,FP: does not stably match one of the four debug/JTAG GT cases.
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F6,deepseek_v4_pro,proposed,h18_debug_jtag_scope,1,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_1,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_1\final_answer.json,F6,confirmed_finding,"No bus firewall for debug LINT transactions to safe_domain; debug-initiated accesses can reach safe resources, violating domain isolation.",initiate LINT bus read/write / safe_domain memory/peripherals / permission-related RTL security issue,"ips/pulp_soc/rtl/pulp_soc/lint_jtag_wrap.sv
ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv
rtl/pulpissimo/safe_domain.sv",ips/pulp_soc/rtl/pulp_soc/lint_jtag_wrap.sv; ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv; rtl/pulpissimo/safe_domain.sv,,,"ips/pulp_soc/rtl/pulp_soc/lint_jtag_wrap.sv | unknown | Direct connection from adbg_lintonly_top to XBAR_TCDM_Bus, no firewall instantiation.
ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv | unknown | s_lint_jtag_bus connected to interconnect; no domain isolation logic visible.
rtl/pulpissimo/safe_domain.sv | unknown | safe_domain module no observed debug access control input; bus connection appears unfiltered.",Subject: Debug LINT master (adbg_lint_module) Operation: initiate LINT bus read/write Object: safe_domain memory/peripherals Expected guard: address range checker or security attribute that blocks debug transactions targeting safe_domain Observed behavior: The LINT debug bus (lint_jtag_wrap) connects the debug module directly to the system LINT interconnect without any address filtering or firewall. No bus-level security attribute or domain crossing gate was found in the path to safe_domain. Path: adbg_lint_module -> LINT interconnect -> safe_domain Closure verdict: All required core evidence slots are present for a candidate violation.,"A debugger can access safe_domain memory and peripherals, breaking domain isolation and potentially compromising security-critical functions.",high,"Full safe_domain bus firewall logic not inspected; but based on the lint_jtag_wrap and pulp_soc connectivity, no address-range check is apparent.",,FP,,Sufficient,FP: does not stably match one of the four debug/JTAG GT cases.
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2:F1,deepseek_v4_pro,proposed,h18_debug_jtag_scope,2,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,F1,confirmed_finding,Debug master can access safe_domain without authentication due to missing authorization gate.,read/write memory-mapped accesses / safe_domain memory/peripheral registers / permission-related RTL security issue,"ips/adv_dbg_if/rtl/adbg_top.sv
ips/adv_dbg_if/rtl/adbg_axi_module.sv
rtl/pulpissimo/pulpissimo.sv
",ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_axi_module.sv; rtl/pulpissimo/pulpissimo.sv,,,"ips/adv_dbg_if/rtl/adbg_top.sv | unknown | Instantiation of adbg_axi_module with direct AXI master port connection, no lock/auth signals.
ips/adv_dbg_if/rtl/adbg_axi_module.sv | unknown | FSM for AXI module operations does not check any lock or authentication state before issuing read/write commands.
rtl/pulpissimo/pulpissimo.sv | unknown | safe_domain_i instance, debug AXI/LINT buses connect to safe_domain without any access control gating.
unknown | Search for 'lock', 'debug_locked', 'auth', 'lifecycle' returned no hits, confirming absence of any gating mechanism.","Subject: JTAG debug master (adbg_axi_module/adbg_lint_module) Operation: read/write memory-mapped accesses Object: safe_domain memory/peripheral registers Expected guard: Debug authorization state gating access to safe domain bus transactions Observed behavior: No authorization or lock mechanism present between debug TAP and AXI/LINT bus initiation. The debug module can generate AXI transactions to any address reachable by the bus fabric, including safe_domain peripherals. Path: adbg_tap_top -> adbg_top -> adbg_axi_module/adbg_lint_module -> AXI/LINT master ports -> AXI/LINT fabric -> safe_domain bus slaves Closure verdict: All required core evidence slots are present for a candidate violation.","An attacker with JTAG access can read/write sensitive safe domain components (e.g., key storage, secure configuration) without any authentication or authorization.",high,,H18-028,TP,,Sufficient,"Matched H18-028: finding reports unauthenticated JTAG/debug access to internal debug/bus path, matching the JTAG not password protected case."
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2:F2,deepseek_v4_pro,proposed,h18_debug_jtag_scope,2,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,F2,confirmed_finding,Debug command registers are writable via JTAG without any authentication or lock mechanism.,write to debug module command/control register / Command or internal register inside adbg_axi_module/adbg_or1k_module / permission-related RTL security issue,"ips/adv_dbg_if/rtl/adbg_axi_module.sv
ips/adv_dbg_if/rtl/adbg_or1k_module.sv
",ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_or1k_module.sv,,,"ips/adv_dbg_if/rtl/adbg_axi_module.sv | unknown | Registers operation, address_counter, word_count, etc. loaded from input_shift_reg on update_dr without any lock condition. No lock bit signal present.
ips/adv_dbg_if/rtl/adbg_or1k_module.sv | unknown | Similar lack of lock gating for CPU debug command registers.
unknown | Search for 'lock', 'auth', 'password' in adv_dbg_if directory returned no results.","Subject: JTAG user (via TAP) Operation: write to debug module command/control register Object: Command or internal register inside adbg_axi_module/adbg_or1k_module Expected guard: A lock bit or authentication state preventing command execution when not unlocked. Observed behavior: No lock bit or authentication state exists in the debug module. The internal registers (e.g., operation, address, word count) are loaded directly from the JTAG data register stream when update_dr_i is asserted, without any condition check. Path: TDI -> adbg_tap_top -> debug_select_i -> adbg_axi_module input_shift_reg -> update_dr loads command/control registers Closure verdict: All required core evidence slots are present for a candidate violation.","An attacker can immediately write any debug command (read, write, burst) to initiate bus transactions to arbitrary addresses, completely bypassing any intended debug authorization.",high,,,FP,,Sufficient,FP: related debug speculation but not a stable match to password/JTAG GT cases in this scope.
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2:F3,deepseek_v4_pro,proposed,h18_debug_jtag_scope,2,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,F3,confirmed_finding,"No lock glue exists, and any future lock would likely be cleared by reset, enabling unauthorized debug access.","assertion of trstn_i or power-on reset / debug lock state (if existed, e.g., a lock register in adbg_or1k_status_reg or top-level) / permission-related RTL security issue","ips/adv_dbg_if/rtl/adbg_tap_top.v
ips/adv_dbg_if/rtl/adbg_axi_module.sv
ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv
",ips/adv_dbg_if/rtl/adbg_tap_top.v; ips/adv_dbg_if/rtl/adbg_axi_module.sv; ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv,,,"ips/adv_dbg_if/rtl/adbg_tap_top.v | unknown | Reset logic uses trstn_i to clear all registers; no provision for a lock bit.
ips/adv_dbg_if/rtl/adbg_axi_module.sv | unknown | All internal state registers reset to default on trstn_i, no lock register.
ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv | unknown | Status register includes CPU state but no global lock bit; reset cleared on trstn_i.
unknown | Search for 'lock' or 'sticky' in debug modules returned nothing.","Subject: JTAG debug interface (trstn_i, tck domain resets) Operation: assertion of trstn_i or power-on reset Object: debug lock state (if existed, e.g., a lock register in adbg_or1k_status_reg or top-level) Expected guard: Lock bit must be sticky and not cleared by normal reset; only by authenticated unlock sequence. Observed behavior: No lock register exists in any inspected module. The concept of a debug lock is entirely absent. If a lock were to be added, any reset would necessarily clear it unless specifically designed as a non-volatile or fuse-based register. Path: trstn_i resets all flops in debug modules (e.g., adbg_tap_top, adbg_axi_module) to default state, which would clear any hypothetical lock bit. Closure verdict: All required core evidence slots are present for a candidate violation.","A hardware lock mechanism, if ever implemented, would be vulnerable to reset attacks (power glitch, test mode) causing unlock. Currently, the absence of any lock is a worse security gap.",high,,,FP,,Unclear,FP: related debug speculation but not a stable match to password/JTAG GT cases in this scope.
proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2:F4,deepseek_v4_pro,proposed,h18_debug_jtag_scope,2,proposed:deepseek_v4_pro:h18_debug_jtag_scope:rep_2,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\proposed\proposed_hackatdac_deepseek_pilot_v1\models\deepseek_v4_pro\h18_debug_jtag_scope\rep_2\final_answer.json,F4,confirmed_finding,"Debug master can access any memory region without respecting PMP or any memory protection, bypassing secure partitions.","AXI read/write / System memory (DMEM, IMEM) that might be protected by PMP for CPU cores / permission-related RTL security issue","ips/adv_dbg_if/rtl/adbg_axi_biu.sv
rtl/pulpissimo/soc_domain.sv
",ips/adv_dbg_if/rtl/adbg_axi_biu.sv; rtl/pulpissimo/soc_domain.sv,,,"ips/adv_dbg_if/rtl/adbg_axi_biu.sv | unknown | AXI transactions are initiated with fixed AXI ID (no master-ID based filtering). No PMP or equivalent check.
rtl/pulpissimo/soc_domain.sv | unknown | No evidence of a debug-specific access control block or PMP integration for non-CPU masters.
unknown | Search for 'pmp' in rtl directory returned no results, indicating PMP is absent or only present in CPU local logic.","Subject: Debug master (adbg_axi_module) Operation: AXI read/write Object: System memory (DMEM, IMEM) that might be protected by PMP for CPU cores Expected guard: Debug AXI transactions should be subject to same memory protection as CPU, or debug should be disabled when PMP is active. Observed behavior: No PMP logic or memory protection unit is present in the debug path. The debug master AXI interface generates transactions with a fixed AXI ID (likely 0) and does not interact with any address-checking module. The fabric (AXI crossbar) does not appear to filter based on master ID or implement any PMP-like checks for debug accesses. Path: adbg_axi_module -> adbg_axi_biu -> AXI master ports -> AXI fabric -> memory slaves Closure verdict: All required core evidence slots are present for a candidate violation.","Debug accesses bypass any PMP restrictions set by the secure software, allowing arbitrary reads/writes to protected code/data regions, defeating memory isolation.",high,,,FP,,Unclear,FP: related debug speculation but not a stable match to password/JTAG GT cases in this scope.
