run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,hackatdac21,H21-031,visible,TP,F-03,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,hackatdac21,H21-059,visible,FN,,No matched finding for H21-059.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,hackatdac21,H21-078,visible,FN,,No matched finding for H21-078.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,h21_dma_pkt_scope,hackatdac21,H21-031,visible,TP,F-004,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,h21_dma_pkt_scope,hackatdac21,H21-059,visible,FN,,No matched finding for H21-059.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,h21_dma_pkt_scope,hackatdac21,H21-078,visible,FN,,No matched finding for H21-078.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_3,h21_dma_pkt_scope,hackatdac21,H21-031,visible,TP,F-02,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_3,h21_dma_pkt_scope,hackatdac21,H21-059,visible,FN,,No matched finding for H21-059.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_3,h21_dma_pkt_scope,hackatdac21,H21-078,visible,TP,F-04,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,hackatdac21,H21-031,visible,Partial,FINDING-004,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,hackatdac21,H21-059,visible,TP,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,hackatdac21,H21-078,visible,FN,,No matched finding for H21-078.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_2,h21_dma_pkt_scope,hackatdac21,H21-031,visible,Partial,PERM-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_2,h21_dma_pkt_scope,hackatdac21,H21-059,visible,FN,,No matched finding for H21-059.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_2,h21_dma_pkt_scope,hackatdac21,H21-078,visible,FN,,No matched finding for H21-078.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_3,h21_dma_pkt_scope,hackatdac21,H21-031,visible,Partial,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_3,h21_dma_pkt_scope,hackatdac21,H21-059,visible,FN,,No matched finding for H21-059.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_3,h21_dma_pkt_scope,hackatdac21,H21-078,visible,FN,,No matched finding for H21-078.,FN under current GT criteria.
