fp_cluster_id,model_family,method_name,input_scope,repetition,fp_count,representative_finding_uid,claimed_files,claimed_modules,claimed_signals_or_registers,example_summaries
FPC-0001,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-002,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,rd_wrn_i; S_AXIADDR; axi_aresetn,"The adbg_axi_biu debug module AXI FSM initiates AXI bus transactions (reads and writes) driven purely by a JTAG-domain start strobe with no privilege, authentication, or address-range check. An attacker with access to the debug TAP can cause arbitrary AXI master read/write transactions to any address in the system fabric."
FPC-0002,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-003,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,axi_master_ar_addr; rd_wrn_i; addr_i; addr_reg,"The debug AXI BIU (adbg_axi_biu) directly drives AXI master address and data channels from debug-interface registers without any privilege check, address range guard, or access-control enforcement, allowing the JTAG debug interface to issue arbitrary AXI read/write transactions to any address in the system memory map."
FPC-0003,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-004,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,axi_master_ar_burst; AXI_DATA_WIDTH,"The AXI debug bus interface unit (adbg_axi_biu) drives the AXI protection signal (ARPROT/AWPROT) permanently to zero, meaning all debug-initiated AXI transactions are issued with unprivileged, non-secure, data access attributes, bypassing any privilege or security enforcement that the downstream interconnect or memory protection units rely on the PROT field to provide."
FPC-0004,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-005,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,procedural_assign:389; axi_master_ar_size; state_update:334,"AXI master protection signals (axi_master_aw_prot and axi_master_ar_prot) are hardwired to zero, meaning all debug-initiated AXI transactions are issued with no privilege, security, or instruction/data type indication, allowing the debug interface to access any memory region without access controls enforced by downstream AXI infrastructure."
FPC-0005,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-007,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,err_o; rd_wrn_i; S_AXIADDR; axi_aresetn,"The AXI debug BIU (adbg_axi_biu) drives AXI master protection signals (axi_master_aw_prot, axi_master_aw_lock, axi_master_aw_cache, axi_master_aw_region, axi_master_aw_qos) as hardcoded zeros, permanently granting unprivileged, non-secure, non-locked, non-cached access. The debug interface issues AXI transactions with aw_prot=0 (unprivileged, non-secure data access) regardless of the privilege level or security context of the debugger, meaning debug-originated writes bypass any memory-protection scheme that relies on AXI AxPROT signaling."
FPC-0006,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-008,ips/adv_dbg_if/rtl/adbg_axi_biu.sv,adbg_axi_biu,axi_master_ar_burst; axi_master_r_data; rd_wrn_i,"The AXI debug BIU (adbg_axi_biu) issues AXI read/write transactions with all protection, privilege, and security attributes hardwired to zero, allowing the debug interface to access any memory region without privilege or security enforcement."
FPC-0007,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-009,ips/adv_dbg_if/rtl/adbg_lint_module.sv,adbg_lint_module,DBG_LINT_INTREG_ERROR; addr_ct_en; STATE_idle; STATE_Rburst; shift_dr_i; trstn_i,"The adbg_lint_module uses a blocking assignment (=) instead of non-blocking assignment (<=) inside a clocked always block for internal_reg_error, which is a RTL coding violation. More critically, the debug interface exposes data_from_biu (memory read data) through the JTAG shift register without any authentication, privilege check, or access control guard. Any JTAG-connected entity can issue burst read commands to read arbitrary memory locations."
FPC-0008,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-010,ips/adv_dbg_if/rtl/adbg_lintonly_top.sv; ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv; ips/pulp_soc/rtl/pulp_soc/lint_jtag_wrap.sv,adbg_lintonly_top; pulp_soc; lint_jtag_wrap,DBG_TOP_MODULE_DATA_LEN; i_lint_jtag; dbg_module_i; continuous_assign:153,"The JTAG debug interface (adbg_lintonly_top) is directly wired to the SoC memory fabric without any authentication, privilege check, or lifecycle-based access control. The debug_select_i/lint_select_i signal is the sole gating mechanism, and it is driven directly from an external JTAG pin (jtag_axireg_sel_i) with no hardware-enforced permission check."
FPC-0009,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-011,ips/adv_dbg_if/rtl/adbg_top.sv; ips/adv_dbg_if/rtl/adbg_or1k_module.sv; ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv,adbg_top; adbg_or1k_module; adbg_or1k_status_reg,capture_dr_i; addr_ct_en; DBG_OR1K_INTREG_STATUS; ctrl_reg_o; STATE_idle,The debug module's internal status register (data_from_internal_reg) exposes CPU stall and breakpoint state unconditionally via the JTAG debug interface without any privilege or authentication guard. Any JTAG user who can select the module and issue an internal register read command can read back the CPU status register contents.
FPC-0010,claude_sonnet_4-6,ours_chain_context,h18_debug_jtag_scope,1,1,ours_chain_context:claude_sonnet_4-6:h18_debug_jtag_scope:rep_1:F-012,ips/adv_dbg_if/rtl/adbg_or1k_module.sv; ips/adv_dbg_if/rtl/adbg_or1k_status_reg.sv,adbg_or1k_module; adbg_or1k_status_reg,state_update:535; DBG_OR1K_INTREG_STATUS; bp_i,"The internal_reg_status (CPU stall/reset status register) in the advanced debug interface is readable and writable directly via the JTAG debug interface without any authentication or privilege check. The status_reg_wr enable signal is derived purely from JTAG-controlled signals (intreg_ld_en and reg_select_data), meaning any JTAG user can stall or unstall CPU cores via the debug interface without any access control guard."
