model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
deepseek_v4_pro,baseline,h18_gpio_apb_scope,hackatdac18,H18-001,FN,,,,
deepseek_v4_pro,baseline,h18_gpio_apb_scope,hackatdac18,H18-004,TP,2;3,baseline:deepseek_v4_pro:h18_gpio_apb_scope:rep_2:F002,Sufficient,
deepseek_v4_pro,baseline,h18_gpio_apb_scope,hackatdac18,H18-005,FN,,,,
deepseek_v4_pro,baseline,h18_gpio_apb_scope,hackatdac18,H18-006,FN,,,,
deepseek_v4_pro,baseline,h18_gpio_apb_scope,hackatdac18,H18-008,FN,,,,
deepseek_v4_pro,baseline,h18_debug_jtag_scope,hackatdac18,H18-009,FN,,,,
deepseek_v4_pro,baseline,h18_debug_jtag_scope,hackatdac18,H18-010,FN,,,,
deepseek_v4_pro,baseline,h18_debug_jtag_scope,hackatdac18,H18-012,FN,,,,
deepseek_v4_pro,baseline,h18_fc_core_security_scope,hackatdac18,H18-017,TP,1;3,baseline:deepseek_v4_pro:h18_fc_core_security_scope:rep_1:FC_SEC_003,Sufficient,
deepseek_v4_pro,baseline,h18_fc_core_security_scope,hackatdac18,H18-025,TP,1;2;3,baseline:deepseek_v4_pro:h18_fc_core_security_scope:rep_1:FC_SEC_001,Sufficient,
deepseek_v4_pro,baseline,h18_fc_core_security_scope,hackatdac18,H18-027,TP,1;3,baseline:deepseek_v4_pro:h18_fc_core_security_scope:rep_1:FC_SEC_002,Sufficient,
deepseek_v4_pro,baseline,h18_debug_jtag_scope,hackatdac18,H18-028,TP,1;2;3,baseline:deepseek_v4_pro:h18_debug_jtag_scope:rep_1:F-001,Sufficient,
deepseek_v4_pro,baseline,h19_access_control_fabric_scope,hackatdac19,H19-001,FN,,,,
deepseek_v4_pro,baseline,h19_debug_jtag_scope,hackatdac19,H19-005,FN,,,,
deepseek_v4_pro,baseline,h19_csr_privilege_scope,hackatdac19,H19-009,TP,1;2;3,baseline:deepseek_v4_pro:h19_csr_privilege_scope:rep_1:H19-002,Sufficient,
deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-010,TP,2;3,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_2:F-003,Sufficient,
