run_id,input_scope,case_id_or_finding_id,failure_manifestation,failure_layer,suspected_cause,evidence_excerpt,impact_on_engineer,needs_followup,notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,H18-009/H18-010/H18-012,FN,vulnerability_semantics,The model collapsed specific password-check logic flaws into a broad missing-debug-authentication conclusion.,No cited evidence for passchk/correct/bitindex/pass logic.,Engineer may believe only a generic JTAG-authentication issue exists and miss concrete password-check implementation bugs.,yes,Representative for h18_debug_jtag_scope runs.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,RTL-JTAG-AXI-UNAUTH-002,FP,scope_integration,The model reported a conditional standalone IP risk as a separate warning although the top-level integration for that path was not established.,Output states the IP was not found instantiated in the visible PULPissimo top-level path.,Engineer may spend time auditing a conditional IP issue that is not a scored visible GT case for this input scope.,yes,Potential-warning output was scored as FP for this benchmark scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,FIND-03,FP,scope_semantics,Model reported SCM aliasing outside visible GT case set.,SCM primary and alias address ranges.,May distract review toward an unscored issue instead of FC debug/CSR/interrupt GT cases.,yes,Representative DeepSeek FP.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,H18-017/H18-025/H18-027 partials,Partial,evidence_tracing,Model identifies broad security smells but misses required source-to-sink evidence paths.,Findings mention debug/CSR/interrupt issues but omit required bridge or mediation evidence.,Engineer may receive a plausible issue without enough evidence to reproduce or localize the official bug.,yes,Common DeepSeek pattern in this scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,H18-005,FN,reset_lifecycle,Models focused on writable lock state or generic GPIO access and did not inspect reset lifecycle of r_gpio_lock.,No output cites r_gpio_lock <= 0 in reset branch.,Engineer may miss a lifecycle weakness even if writable-lock issue is reported.,yes,Observed across all six runs.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,F-001/F-002 PADOUTSET claims,FP,case_scope,Model reported an unscored lock bypass variant instead of official GT cases.,PADOUTSET/PADOUTCLR bypass claims.,May redirect review toward a non-GT issue and inflate perceived coverage.,yes,Appears in DeepSeek and GPT lock findings.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_1,h19_access_control_fabric_scope,H19-041,FN,memory_region_semantics,Models focused on PLIC/CLINT and ROM2 but did not inspect DRAM lower-privilege accessibility.,No output cites DRAM mapping/access-control bits.,DRAM privilege exposure remains missed.,yes,Across all runs.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,H19-011/H19-014/H19-015/H19-017,FN,semantic_focus,"Models focus on key readout and ROM2 exposure but miss internal AES state, crypto-oracle, hardcoded AES key, and bootrom write-protection cases.","No findings cite inter_state, AES oracle operation path, hardcoded AES ROM2 constant path, or bootrom mem write branch.",Multiple distinct crypto/ROM protection issues remain unreported.,yes,Observed across this scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,H19-024/H19-025,FN,CSR_subcase_specificity,Models detected obvious umode and MEPC privilege bugs but did not inspect SATP/TVM-specific access rules.,No findings cite CSR_SATP read/write branches or mstatus.tvm.,TVM-specific CSR access failures remain missed.,yes,Across all runs.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,H19-050/H19-056,FN,debug_path_specificity,Models detect broad debug authentication failures but miss debug-to-FUSE reachability and debug secondary reset-control exposure.,No finding cites debug SBA to ROM2/FUSE or dmcontrol.ndmreset to SoC reset path.,Important protected-resource and reset-control debug exposures remain unreported.,yes,Across all runs.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,H21-035/H21-099,FN,specific_missing_case,"Models detect fail-open ACCT reset and JTAG unlock lock clearing, but miss plain reset-disabled reglocks and unprotected CLINT path.",No finding cites reglk_mem reset to zero as default-lock-disabled case or CLINT bridge without acc_ctrl_c gate.,Important reset-default and CLINT protection gaps remain unreported.,yes,Across all runs.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,H21-013/H21-036/H21-039/H21-060/H21-075/H21-079/H21-080/H21-097,FN,crypto_state_specificity,"Models focus on debug key clearing and access-control reset, but miss concrete readback, residue, and inconsistent lock cases.","No findings cite AES2 internal state readback, SHA/AES plaintext residue, key0 default leak, HMAC reset residue, or per-register lock mismatch.",Most crypto-specific state exposure/residue/lock bugs remain missed.,yes,Across this scope.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,H21-059/H21-078,FN,pkt_specificity,DeepSeek focuses on DMA and generic lock/ACCT bugs but mostly misses PKT-specific fuse leak and fuse control lock cases.,No finding cites fuse_rdata_i default read path except GPT rep1; PKT fuse_req/fuse_addr lock issue only appears in DeepSeek rep3.,PKT fuse leakage and control exposure may be missed.,yes,Representative DMA/PKT failure.
