run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,hackatdac19,H19-009,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,hackatdac19,H19-020,visible,TP,F-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,hackatdac19,H19-024,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,hackatdac19,H19-025,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,hackatdac19,H19-009,visible,TP,F001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,hackatdac19,H19-020,visible,TP,F002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,hackatdac19,H19-024,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,hackatdac19,H19-025,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,hackatdac19,H19-009,visible,TP,H19-CSR-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,hackatdac19,H19-020,visible,TP,H19-CSR-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,hackatdac19,H19-024,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,hackatdac19,H19-025,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,hackatdac19,H19-009,visible,TP,CSR-PRIV-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,hackatdac19,H19-020,visible,TP,CSR-PRIV-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,hackatdac19,H19-024,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,hackatdac19,H19-025,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,hackatdac19,H19-009,visible,TP,CSR_PRIV_002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,hackatdac19,H19-020,visible,TP,CSR_PRIV_001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,hackatdac19,H19-024,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,hackatdac19,H19-025,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,hackatdac19,H19-009,visible,TP,FINDING-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,hackatdac19,H19-020,visible,TP,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,hackatdac19,H19-024,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,hackatdac19,H19-025,visible,FN,,No finding identifies SATP access lacking TVM mediation.,FN under current GT criteria.
